Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.378s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
90.00	2.00	1.88	2.00	2.00	2.00	0.00	0.00
91.00	1.98	1.86	2.00	2.00	2.00	0.00	0.00
92.00	2.00	1.88	2.00	2.00	1.99	0.00	0.00
93.00	2.00	1.94	1.99	1.99	2.00	0.00	0.00
94.00	2.00	1.88	2.00	2.00	2.00	0.00	0.00
95.00	2.00	1.90	2.00	2.00	2.00	0.00	0.00
96.00	2.00	1.92	2.00	2.00	2.00	0.00	0.00
97.00	1.99	1.88	2.00	2.00	2.00	0.00	0.00
98.00	2.00	1.83	2.00	2.00	1.99	0.00	0.00
99.00	2.00	1.85	1.99	2.00	2.00	0.00	0.00
100.00	2.00	1.88	2.00	1.99	2.00	0.00	0.00
101.00	1.99	1.92	2.00	2.00	2.00	0.00	0.00
102.00	2.00	1.90	2.00	2.00	2.00	0.00	0.00
103.00	1.98	1.88	2.00	2.00	2.00	0.00	0.00
104.00	2.00	1.85	2.00	2.00	2.00	0.00	0.00
105.00	2.00	1.88	1.99	2.00	1.99	0.00	0.00
106.00	1.98	1.88	2.00	1.99	2.00	0.00	0.00
107.00	1.99	1.88	2.00	2.00	2.00	0.00	0.00
108.00	2.00	1.81	2.00	2.00	2.00	0.00	0.00
109.00	1.98	1.85	2.00	2.00	1.98	1.38	1.45
110.00	1.99	1.85	2.00	2.00	2.00	1.88	2.00
111.00	1.98	1.93	2.00	2.00	2.00	1.91	1.99
112.00	2.00	1.90	1.99	1.99	1.98	1.91	2.00
113.00	1.99	1.85	2.00	2.00	1.99	1.86	1.99
114.00	2.00	1.88	2.00	2.00	1.99	1.84	2.00
115.00	1.98	1.90	2.00	2.00	1.99	1.86	1.99
116.00	1.99	1.90	2.00	2.00	1.99	1.90	1.99
117.00	1.99	1.84	2.00	2.00	2.00	1.93	2.00
118.00	2.00	1.87	1.99	1.99	1.98	1.95	2.00
119.00	1.99	1.92	2.00	2.00	2.00	1.94	2.00
120.00	2.00	1.90	2.00	2.00	2.00	1.90	1.99
121.00	1.98	1.91	2.00	2.00	2.00	1.88	2.00
122.00	2.00	1.87	2.00	2.00	1.99	1.88	1.99
123.00	1.99	1.88	2.00	2.00	2.00	1.93	2.00
124.00	2.00	1.93	1.99	1.99	2.00	1.86	2.00
125.00	2.00	1.94	2.00	2.00	1.99	1.94	1.99
126.00	1.99	1.88	2.00	2.00	2.00	1.92	2.00
127.00	1.99	1.93	2.00	2.00	2.00	1.94	1.98
128.00	1.99	1.87	2.00	2.00	1.99	1.86	2.00
129.00	2.00	1.87	2.00	2.00	1.98	1.94	2.00
130.00	2.00	1.92	1.99	1.99	1.99	1.86	2.00
131.00	1.99	1.91	2.00	2.00	1.99	1.93	2.00
132.00	2.00	1.92	2.00	2.00	2.00	1.85	2.00
133.00	1.99	1.91	2.00	2.00	2.00	1.92	1.99
134.00	2.00	1.87	2.00	2.00	2.00	1.87	1.99
135.00	1.98	1.91	2.00	2.00	1.97	1.91	1.99
136.00	1.98	1.90	1.99	1.99	1.99	1.93	2.00
137.00	2.00	1.91	2.00	2.00	2.00	1.91	2.00
