Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.371s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
80.00	2.00	1.99	1.99	2.01	2.00	1.99	1.88	1.99
81.00	2.00	2.00	1.98	1.99	1.99	2.00	1.90	2.00
82.00	2.00	1.99	2.00	2.00	2.00	2.00	1.88	2.00
83.00	1.99	1.95	1.98	2.00	2.00	2.00	1.92	2.00
84.00	2.00	1.94	1.94	2.00	2.00	2.00	1.94	2.00
85.00	2.00	1.98	1.97	2.00	2.00	2.00	1.91	1.99
86.00	1.98	1.97	1.97	2.00	2.00	2.00	1.88	2.00
87.00	2.00	1.98	1.97	1.99	1.99	1.99	1.94	2.00
88.00	2.00	1.98	1.97	2.00	2.00	2.00	1.91	2.00
89.00	1.99	1.95	1.98	2.00	2.00	2.00	1.94	2.00
90.00	2.00	1.97	1.99	2.00	2.00	2.00	1.88	1.99
91.00	2.00	1.99	1.98	2.00	2.00	2.00	1.98	2.00
92.00	2.00	1.99	1.98	2.00	2.00	1.99	1.91	2.00
93.00	2.00	1.97	1.98	1.99	1.99	2.00	1.90	2.00
94.00	2.00	1.91	2.00	2.00	2.00	2.00	1.93	2.00
95.00	1.99	1.95	1.99	2.00	2.00	2.00	1.92	2.00
96.00	1.99	1.98	1.99	2.00	2.00	2.00	1.90	1.99
97.00	2.00	1.99	1.99	2.00	2.00	2.00	1.87	2.00
98.00	2.00	1.97	2.00	2.00	2.00	1.99	1.92	1.99
99.00	2.00	1.95	1.99	1.99	2.00	2.00	1.92	2.00
100.00	2.00	1.99	1.98	2.00	1.99	2.00	1.95	2.00
101.00	1.99	1.94	1.99	2.00	2.00	2.00	1.92	2.00
102.00	1.99	1.95	1.98	2.00	2.00	2.00	1.94	2.00
103.00	2.00	1.99	1.97	2.00	2.00	2.00	1.92	1.99
104.00	1.98	1.94	1.98	2.00	2.00	2.00	1.95	1.99
105.00	2.00	1.99	2.00	1.99	2.00	1.99	1.91	2.00
106.00	2.00	1.99	1.98	2.00	1.99	2.00	1.88	2.00
107.00	1.99	2.00	2.00	2.00	2.00	1.99	1.91	1.99
108.00	1.99	1.94	1.97	2.00	2.00	2.00	1.90	2.00
109.00	2.00	1.97	2.00	2.00	2.00	2.00	1.90	1.99
110.00	2.00	1.97	1.98	2.00	2.00	2.00	1.92	2.00
111.00	2.00	1.98	2.00	2.00	2.00	1.99	1.88	2.00
112.00	2.00	1.93	1.99	1.99	1.99	2.00	1.93	2.00
113.00	1.98	1.98	1.99	2.00	2.00	2.00	1.88	1.99
114.00	1.99	1.95	1.99	2.00	2.00	2.00	1.90	2.00
115.00	2.00	1.99	1.99	2.00	2.00	2.00	1.93	1.99
116.00	2.00	1.97	1.97	2.00	2.00	2.00	1.91	1.99
117.00	2.00	1.98	2.00	2.00	2.00	1.99	1.86	2.00
118.00	2.00	1.99	2.00	1.99	1.99	2.00	1.88	2.00
119.00	1.98	1.99	1.99	2.00	2.00	2.00	1.88	1.98
