Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.245s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
65.00	2.00	0.00	0.49	0.00	0.49	2.00	0.49	0.49	0.00	0.51
66.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
67.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
68.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
69.00	0.33	0.00	0.21	0.00	0.22	1.99	0.27	0.24	0.00	0.24
70.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
71.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
72.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
73.00	1.21	0.00	1.98	0.00	0.02	2.00	1.06	0.91	0.09	0.62
74.00	2.00	0.00	1.97	0.00	0.99	2.00	1.99	1.53	0.00	0.11
75.00	1.95	0.00	1.78	0.00	0.00	1.99	1.94	2.00	0.00	1.72
76.00	1.98	0.00	1.91	0.00	0.18	2.00	1.97	1.86	0.00	1.67
77.00	2.00	0.00	1.99	0.00	1.35	2.00	2.00	1.95	0.00	1.70
78.00	1.99	0.00	2.00	0.00	2.00	2.00	1.99	2.00	0.00	2.00
79.00	2.00	0.00	2.00	0.00	1.99	2.00	2.01	1.99	0.00	2.00
80.00	2.00	0.00	2.00	0.00	2.00	2.00	1.99	2.00	0.00	2.00
81.00	2.00	0.00	2.00	0.00	1.99	1.99	2.00	2.00	0.00	2.00
82.00	2.00	0.00	1.98	0.00	0.02	2.00	2.00	2.00	0.00	2.00
83.00	1.99	1.61	1.97	0.00	0.00	2.00	2.00	2.00	0.00	1.99
84.00	2.00	2.00	1.99	0.00	0.00	2.00	2.00	1.99	0.00	2.00
85.00	1.99	1.99	1.98	0.00	0.00	2.00	1.99	2.01	0.00	2.00
86.00	2.00	1.99	1.99	0.00	0.00	2.00	2.01	1.99	0.00	1.99
87.00	2.00	2.00	2.00	0.00	0.00	1.99	1.99	2.00	0.00	1.99
88.00	2.00	2.00	1.98	0.00	0.00	2.00	1.99	2.00	0.00	2.00
89.00	2.00	2.00	2.00	0.00	0.00	2.00	1.99	1.99	0.00	1.99
90.00	2.00	1.99	1.99	0.00	0.00	2.00	2.00	2.00	0.00	2.00
91.00	2.00	1.99	1.84	0.00	0.40	2.00	1.99	0.64	0.00	1.85
92.00	2.00	1.99	1.99	0.00	1.14	2.00	1.99	0.00	0.00	1.95
93.00	1.98	2.00	2.00	1.70	1.99	1.99	2.00	0.00	0.00	2.00
94.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00	0.00	0.00	2.00
95.00	2.00	1.91	1.57	0.87	1.71	2.00	2.00	0.00	0.00	1.73
96.00	2.00	1.99	1.78	1.11	1.40	2.00	2.00	0.00	0.00	1.52
97.00	2.00	1.88	1.73	0.84	0.62	2.00	2.00	0.00	0.00	0.71
98.00	1.99	1.98	1.81	0.53	0.00	2.00	1.99	0.00	0.00	0.13
99.00	1.98	2.00	1.92	0.00	0.00	2.00	1.53	1.70	0.00	0.00
100.00	1.86	1.90	1.58	0.49	0.00	1.99	1.97	1.91	0.00	0.00
101.00	1.99	2.00	0.98	0.85	0.00	2.00	1.91	1.87	0.00	0.61
102.00	1.99	2.00	1.92	0.69	0.66	2.00	2.00	2.00	0.00	0.66
103.00	2.00	1.94	1.60	0.77	0.22	2.00	1.97	1.79	0.00	0.27
104.00	2.00	2.03	1.86	0.68	0.07	2.00	2.03	1.80	0.00	0.35
105.00	1.99	2.00	1.99	1.94	0.01	2.00	2.00	0.22	0.00	0.04
106.00	2.00	2.00	1.85	2.00	0.00	1.99	2.00	0.00	0.00	0.00
107.00	2.00	1.98	1.59	1.60	0.00	2.00	1.77	0.79	0.00	0.00
108.00	2.00	2.00	1.98	1.84	0.71	2.00	2.00	2.00	0.00	0.88
109.00	1.99	0.87	1.84	0.58	0.68	2.00	1.99	1.21	0.46	0.44
110.00	1.99	0.00	0.74	0.00	0.15	2.00	1.93	1.68	1.53	0.00
111.00	2.00	0.00	1.93	0.00	0.54	2.00	2.03	1.84	0.53	0.16
112.00	2.00	0.00	1.81	0.00	0.48	1.99	2.04	1.83	1.41	0.00
113.00	1.99	0.00	1.84	0.24	0.19	2.00	1.93	1.91	1.01	0.00
114.00	2.00	0.00	1.80	0.00	0.00	2.00	2.03	1.91	0.74	0.16
115.00	2.00	0.00	1.81	0.00	0.00	2.00	2.00	1.97	0.87	0.00
116.00	2.00	0.00	1.85	0.00	0.00	2.00	1.81	1.71	0.08	0.00
117.00	2.00	0.00	1.61	0.00	0.00	2.00	1.99	1.92	0.00	0.00
118.00	1.99	0.00	1.77	0.00	0.00	1.99	1.99	1.98	0.49	0.57
119.00	2.00	0.00	1.95	0.00	0.00	2.00	2.01	1.94	2.17	0.00
120.00	2.00	0.00	2.01	0.00	1.37	2.00	1.99	2.00	1.92	1.74
121.00	1.98	0.00	1.91	0.55	0.02	2.00	2.00	1.97	1.92	0.52
122.00	2.00	0.00	1.85	0.00	0.00	2.00	1.87	1.97	1.11	0.19
123.00	1.92	0.00	1.17	0.98	0.26	2.00	1.85	1.45	0.13	1.01
124.00	2.03	0.00	1.79	0.12	0.21	1.99	1.93	0.11	1.45	0.00
125.00	2.00	0.00	1.60	0.24	0.00	2.00	1.87	0.88	0.48	0.61
126.00	1.87	0.00	1.52	0.49	0.00	2.00	1.88	1.73	1.01	0.24
127.00	2.00	0.00	2.00	0.21	0.00	2.00	2.00	1.97	1.74	1.41
128.00	2.00	0.00	1.88	2.17	0.54	2.00	1.94	1.55	1.50	0.27
129.00	1.99	0.00	1.59	0.71	0.26	2.00	1.99	1.58	1.11	0.07
130.00	2.00	0.00	1.58	1.11	0.00	1.99	2.00	1.95	0.32	0.00
131.00	2.00	0.00	1.71	1.79	0.00	2.00	1.88	1.94	1.64	0.00
132.00	2.00	0.00	2.07	0.95	0.29	2.00	1.80	1.84	0.79	0.00
133.00	1.93	0.00	1.68	0.40	0.74	2.00	1.80	1.54	1.05	0.00
134.00	1.98	0.00	1.91	0.08	2.01	2.00	2.04	1.92	1.99	0.00
135.00	1.46	0.00	1.74	1.18	0.14	2.00	1.95	1.86	0.08	0.15
136.00	2.04	0.00	2.10	1.46	0.33	1.99	2.04	2.06	0.00	0.59
137.00	0.41	0.00	1.99	0.47	0.00	2.00	2.00	2.00	0.00	0.04
138.00	0.00	0.00	2.00	2.00	0.00	2.00	2.00	2.00	0.00	0.00
139.00	0.00	1.73	1.79	1.54	0.00	2.00	2.00	1.77	0.00	0.12
140.00	0.00	1.93	1.88	1.92	1.10	2.00	2.00	1.95	0.00	0.38
141.00	0.00	1.92	1.85	0.39	0.39	2.00	2.00	0.44	0.00	0.00
142.00	0.00	1.99	1.80	1.91	0.04	2.00	1.99	1.81	0.00	0.97
143.00	0.00	1.97	0.21	1.90	0.00	1.99	1.97	1.85	0.00	0.00
144.00	0.00	2.04	0.00	0.41	0.11	2.00	2.04	1.87	0.00	0.77
145.00	0.00	2.00	0.00	1.81	0.75	2.00	2.00	1.75	0.00	0.24
146.00	0.00	2.00	0.00	1.27	0.09	2.00	2.00	2.01	0.00	1.28
147.00	0.00	1.99	0.00	0.00	0.00	2.00	2.00	1.99	0.00	0.00
148.00	0.00	2.00	0.00	0.00	0.00	2.00	1.99	2.00	0.00	0.00
149.00	0.00	2.00	0.00	0.00	0.00	1.99	2.00	2.00	0.00	0.00
150.00	0.00	2.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00
151.00	0.00	2.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00
152.00	0.00	2.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00
153.00	1.91	1.99	0.00	0.00	0.00	2.00	1.99	1.93	1.90	0.00
154.00	2.00	2.00	0.00	0.00	0.00	2.00	2.00	1.97	2.00	0.00
155.00	1.99	2.00	0.00	0.00	0.00	1.99	1.60	1.58	1.60	0.00
156.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
157.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
158.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
159.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
160.00	1.99	1.99	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
161.00	2.00	2.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00
162.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
163.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
164.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
165.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
166.00	2.00	1.99	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
167.00	1.99	2.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00
168.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
169.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
170.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
171.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
172.00	2.00	1.99	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
173.00	1.99	2.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00
174.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
175.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
176.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
