Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.451s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
72.00	1.99	1.99	1.99	2.00	2.00	2.00	0.00	0.00	0.00
73.00	1.99	2.00	2.00	2.00	2.00	1.99	0.00	0.00	0.00
74.00	1.98	2.00	1.98	1.99	2.00	2.00	0.00	0.00	0.00
75.00	1.97	2.00	2.00	2.00	1.99	2.00	0.00	0.00	0.00
76.00	1.97	2.00	2.00	2.00	2.00	2.00	0.00	0.00	0.00
77.00	2.00	1.97	2.00	2.00	2.00	2.00	0.00	0.00	0.00
78.00	1.97	2.00	1.99	2.00	2.00	1.99	0.00	0.00	0.00
79.00	1.97	1.99	2.00	2.00	2.00	2.01	0.00	0.00	0.00
80.00	1.98	2.00	1.99	2.00	2.00	1.99	0.00	0.00	0.00
81.00	2.00	1.99	2.00	1.99	1.99	2.00	0.00	0.00	0.00
82.00	1.99	2.00	2.00	2.00	2.00	2.00	0.00	0.00	0.00
83.00	1.94	2.00	1.98	2.00	2.00	2.00	0.00	0.00	0.00
84.00	1.93	1.99	1.99	2.00	2.00	2.00	0.00	0.00	0.00
85.00	1.98	2.00	2.00	2.00	2.00	1.99	0.00	0.00	0.00
86.00	1.97	2.00	2.00	1.99	2.00	2.00	0.00	0.00	0.00
87.00	1.99	2.00	2.00	2.00	1.99	2.00	0.00	0.00	0.00
88.00	2.00	2.00	2.00	2.00	2.00	2.00	0.00	0.00	0.00
89.00	1.98	2.00	2.00	2.00	2.00	2.00	0.00	0.00	0.00
