Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.332s)
CreateVariables () DONE !!!
Creating 24 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
29.00	0.00	0.00	0.00	0.65	0.33	0.00	0.25	0.00	0.00	0.00	0.00	0.00	2.00	0.39	0.00	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00
30.00	0.00	0.00	0.00	0.31	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00
31.00	0.05	0.05	0.00	1.32	1.21	0.79	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.55	0.28	0.00	0.00	0.00	0.00	0.92	0.93	1.12	0.00	0.51
32.00	0.00	0.00	0.00	0.62	0.29	0.48	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.15	0.00	0.00	0.00	0.00	0.72	0.00	0.01	0.00	0.14
33.00	0.47	0.48	0.00	0.75	0.97	0.37	0.53	0.00	0.00	0.00	0.00	0.00	2.00	0.15	0.13	0.00	0.01	0.37	0.00	0.00	0.31	0.65	0.00	0.16
34.00	0.00	0.00	0.00	0.71	1.99	0.78	0.31	0.00	0.00	0.00	0.00	0.00	2.00	2.08	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.15	0.00	0.00
35.00	0.20	0.16	0.00	0.32	0.25	0.31	0.53	0.00	0.00	0.00	0.00	0.00	2.00	0.97	0.95	0.00	0.00	0.00	0.00	0.34	0.61	0.88	0.00	0.81
36.00	0.04	0.05	0.00	0.00	1.01	1.07	0.16	0.00	0.00	0.00	0.00	0.00	2.00	1.04	0.87	0.00	0.00	0.00	0.00	1.15	0.08	0.37	0.00	0.07
37.00	0.00	0.00	0.00	0.00	0.44	1.59	0.05	0.21	0.00	0.00	0.00	0.00	2.00	0.64	0.25	0.00	0.00	0.00	0.00	0.53	0.00	0.99	0.00	0.28
38.00	0.00	0.00	0.00	0.66	1.22	0.39	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.47	0.00	0.00	0.00	0.00	0.00	2.01	0.11	1.22	0.00	0.00
39.00	0.00	0.00	0.00	0.26	0.79	1.81	0.20	0.00	0.00	0.00	0.00	0.00	2.00	1.02	0.71	0.00	0.00	0.00	0.00	0.87	0.00	0.73	0.00	0.72
40.00	0.00	0.00	0.00	0.31	0.12	0.78	0.57	0.00	0.00	0.00	0.00	0.00	2.00	1.22	0.78	0.00	0.00	0.00	0.00	0.75	0.00	1.31	0.00	0.62
41.00	0.00	0.00	0.00	0.06	1.11	0.08	0.09	0.00	0.00	0.00	0.00	0.00	2.00	0.66	0.05	0.00	0.00	0.00	0.00	0.16	0.00	0.31	0.00	0.21
42.00	0.00	0.00	0.00	0.37	0.47	0.54	0.04	0.00	0.00	0.00	0.00	0.00	2.00	0.68	0.13	0.00	0.00	0.00	0.00	0.00	0.31	0.75	0.00	0.00
43.00	0.00	0.00	0.00	0.68	0.13	0.00	0.32	0.04	0.00	0.00	0.00	0.00	2.00	0.86	0.31	0.00	0.00	0.00	0.00	0.19	0.00	1.27	0.00	0.00
44.00	0.40	0.40	0.00	1.45	0.64	0.59	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.07	0.31	0.00	0.00	0.00	0.00	1.40	0.00	1.47	0.00	0.31
45.00	0.00	0.00	0.00	0.91	0.32	0.29	0.32	0.00	0.00	0.00	0.00	0.00	2.00	0.01	0.65	0.00	0.00	0.00	0.00	0.74	0.29	0.80	0.00	0.80
46.00	0.00	0.00	0.00	1.18	1.84	1.55	0.00	0.67	0.00	0.00	0.00	0.00	2.00	0.73	0.71	0.00	0.00	0.00	0.00	0.05	0.00	0.98	0.00	0.00
47.00	0.00	0.00	0.00	0.00	0.92	0.42	0.00	0.12	0.00	0.00	0.00	0.00	2.00	0.54	0.15	0.00	0.00	0.00	0.00	1.53	0.66	1.10	0.00	0.00
48.00	0.00	0.00	0.00	0.00	0.53	0.18	0.21	0.00	0.00	0.00	0.00	0.00	2.00	0.29	0.00	0.00	0.00	0.00	0.00	0.32	0.49	1.14	0.00	0.00
49.00	0.69	0.72	0.00	0.38	0.31	0.18	0.09	0.00	0.00	0.00	0.00	0.00	2.00	0.31	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.12	0.00	0.00
50.00	0.00	0.00	0.00	0.00	0.00	0.05	0.25	0.00	0.00	0.00	0.00	0.00	2.00	1.10	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00
51.00	0.27	0.28	0.00	0.00	1.52	0.57	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
52.00	0.00	0.00	0.00	0.00	0.98	0.15	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.38	0.46	0.00	0.00	0.00	0.00	0.11	0.00	0.57	0.00	0.21
53.00	0.00	0.00	0.00	0.00	1.08	0.46	0.07	0.00	0.00	0.00	0.00	0.00	2.00	0.04	0.40	0.00	0.00	0.00	0.00	0.31	0.00	0.16	0.00	0.12
