Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.259s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
55.00	0.28	0.00	0.28	0.85	0.00	0.29	2.00	0.87	0.00	0.00	0.00	0.00
56.00	0.82	0.00	0.22	1.01	0.00	1.20	2.00	0.19	0.22	0.00	0.00	0.00
57.00	1.59	1.37	1.37	0.64	0.00	1.59	1.99	0.00	1.37	0.00	0.00	0.00
58.00	1.95	1.95	1.83	1.48	0.00	1.86	2.00	0.34	1.92	0.00	0.00	0.00
59.00	0.09	1.63	1.73	1.95	0.00	1.70	2.00	0.60	1.14	1.31	1.15	0.00
60.00	0.00	2.00	2.00	1.99	0.00	1.99	2.00	1.22	0.31	2.00	2.00	0.00
61.00	0.00	1.57	1.53	1.75	0.89	1.84	2.00	1.99	0.57	1.97	1.47	1.02
62.00	0.00	0.80	1.45	0.73	0.81	1.10	2.00	1.01	0.57	0.82	1.12	1.10
63.00	0.47	1.24	1.68	1.91	0.74	1.40	1.99	1.74	0.00	1.30	1.05	1.05
64.00	0.68	1.88	1.91	1.78	1.12	1.24	2.00	1.92	0.04	1.75	2.08	1.27
65.00	0.27	0.77	0.95	0.93	0.21	1.41	2.00	1.01	0.26	0.37	0.84	0.89
66.00	0.00	0.79	0.75	0.73	0.94	1.81	2.00	0.87	0.09	1.05	1.31	0.26
67.00	0.39	0.97	1.48	0.31	0.64	1.83	2.00	1.35	0.33	0.35	1.78	1.46
68.00	0.29	0.68	1.24	2.01	0.18	1.47	2.00	1.18	0.91	1.44	1.61	0.31
69.00	0.00	0.00	0.98	0.49	0.29	1.41	1.99	1.25	0.20	1.00	0.98	0.05
70.00	0.77	0.00	0.85	0.93	1.26	1.68	2.00	0.66	0.99	1.58	1.55	0.51
71.00	0.00	0.00	0.02	0.09	0.16	0.82	2.00	0.02	0.26	0.15	0.20	0.00
72.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
73.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
74.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
75.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
76.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
77.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
78.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
79.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
80.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
81.00	1.32	0.00	1.32	1.32	0.00	1.31	1.99	1.32	1.32	0.00	0.00	0.00
82.00	2.00	0.00	2.00	2.00	0.00	2.00	2.00	2.00	2.00	0.00	0.00	0.00
83.00	2.00	0.00	2.00	2.00	0.00	1.97	2.00	2.00	2.00	0.00	0.00	0.00
84.00	2.00	0.00	1.99	2.00	0.00	1.98	2.00	2.00	2.00	0.00	0.00	0.00
85.00	1.99	0.00	2.00	2.00	0.00	1.98	2.00	2.00	1.98	0.00	0.00	0.00
86.00	2.01	0.00	2.00	1.99	0.00	1.99	2.00	1.99	2.00	0.00	0.00	0.00
87.00	1.99	0.00	2.00	2.00	0.00	2.00	1.99	2.00	2.00	0.00	1.50	0.00
88.00	2.00	0.00	2.00	2.00	0.00	1.98	2.00	2.00	2.00	0.00	2.00	0.00
89.00	1.99	0.00	2.00	2.00	0.00	2.00	2.00	1.99	1.99	0.00	2.00	0.00
90.00	2.00	0.00	1.99	2.00	0.00	1.99	2.00	2.01	2.00	0.00	2.00	0.00
91.00	1.97	0.00	2.00	1.98	0.00	2.00	2.00	2.00	1.99	0.00	2.00	1.17
92.00	2.01	0.00	2.00	2.00	0.00	1.99	2.00	1.99	2.00	0.00	1.99	1.99
93.00	1.99	0.00	2.00	2.00	0.00	2.00	1.99	2.00	2.00	0.00	2.00	1.95
94.00	2.00	0.00	2.00	2.00	0.00	1.98	2.00	2.00	2.00	0.00	2.00	2.00
95.00	1.98	0.00	1.99	2.00	0.00	1.99	2.00	2.00	1.99	0.00	2.00	2.00
96.00	1.99	0.00	2.01	2.00	0.00	2.00	2.00	2.00	1.99	0.00	1.99	1.98
97.00	1.98	1.19	1.99	1.99	1.18	1.99	2.00	1.99	2.00	1.18	2.01	1.93
98.00	0.69	1.20	1.63	1.48	1.24	1.46	2.00	1.38	1.20	1.64	1.55	1.34
99.00	1.07	1.52	1.21	0.57	0.99	1.75	2.00	1.34	1.18	1.21	1.61	1.35
100.00	0.12	1.21	0.99	2.04	0.21	0.35	1.99	1.32	0.02	0.31	0.18	0.52
101.00	0.04	0.40	1.73	1.97	0.57	1.66	2.00	1.98	0.31	2.00	0.64	0.31
102.00	0.00	1.64	0.22	1.12	0.52	1.32	2.00	1.10	1.06	1.61	1.67	1.06
103.00	0.00	0.40	1.30	0.88	0.00	1.68	2.00	0.39	0.00	1.28	1.64	1.01
104.00	0.65	0.00	2.00	1.39	0.00	1.99	2.00	2.48	0.31	1.97	2.00	0.00
105.00	1.08	0.00	1.99	1.98	0.00	2.00	2.00	2.00	1.99	1.97	2.00	0.40
106.00	2.00	0.00	2.00	2.00	0.00	2.00	1.99	2.00	2.00	1.99	2.00	0.00
107.00	2.00	0.00	2.00	2.00	1.45	2.00	2.00	1.99	1.87	1.98	2.00	0.00
108.00	2.00	0.00	2.00	1.98	2.00	2.00	2.00	2.00	1.80	1.98	2.00	0.00
109.00	0.88	0.71	1.15	0.78	0.66	1.18	2.00	1.21	0.66	1.27	0.89	0.00
110.00	0.00	0.47	1.65	0.52	1.20	2.03	2.00	0.24	1.38	2.00	1.57	0.00
111.00	0.26	1.54	0.86	0.00	0.00	2.05	2.00	0.00	0.00	1.84	2.04	0.00
112.00	0.00	0.31	0.05	0.64	0.00	0.82	1.99	0.64	0.00	2.00	1.48	0.00
113.00	0.92	1.33	1.28	0.44	0.48	2.26	2.00	0.46	0.14	0.80	1.02	0.64
114.00	0.82	1.17	1.58	0.61	1.32	1.41	2.00	1.14	0.34	1.37	0.54	0.00
115.00	0.88	1.83	1.81	0.00	0.35	1.34	2.00	1.11	0.00	0.41	1.57	1.44
116.00	0.00	1.90	1.94	0.95	1.72	1.95	2.00	1.06	0.46	0.55	0.42	0.61
117.00	0.45	1.85	1.35	1.12	1.77	1.87	2.00	1.32	0.00	0.81	1.93	2.17
118.00	0.05	1.55	1.54	0.89	1.34	1.48	1.99	1.79	0.61	0.58	1.05	1.22
119.00	0.00	0.31	0.80	1.13	0.29	0.21	2.00	0.32	0.00	0.00	0.64	1.05
120.00	0.00	0.54	1.99	0.19	0.00	2.59	2.00	0.00	1.13	1.99	0.78	0.95
121.00	1.01	1.65	1.70	0.32	0.00	1.52	2.00	0.46	0.04	1.60	0.01	0.07
122.00	1.11	1.57	2.01	0.00	0.00	1.99	2.00	0.04	0.00	2.00	0.00	2.83
123.00	0.00	1.19	1.64	0.33	1.24	1.88	2.00	0.00	0.00	1.83	1.53	0.46
124.00	1.50	1.93	1.99	0.01	1.99	2.00	1.99	0.00	0.00	1.99	1.98	0.00
125.00	1.99	1.98	2.01	2.01	2.00	2.00	2.00	1.85	0.00	1.98	2.03	0.00
126.00	0.75	1.48	1.54	1.71	0.60	1.17	2.00	1.75	0.00	0.55	1.33	0.00
127.00	0.08	1.65	1.45	1.92	0.61	1.68	2.00	1.57	0.00	1.32	1.42	0.00
128.00	0.39	1.14	0.09	1.67	0.05	1.46	2.00	1.64	0.00	0.12	1.42	0.00
129.00	0.31	1.35	1.22	0.41	0.05	1.07	2.00	1.44	0.00	0.92	1.75	0.00
130.00	0.00	0.31	1.91	2.01	1.34	1.72	1.99	2.06	0.00	0.62	1.68	0.00
131.00	0.00	0.61	1.48	1.77	0.19	1.74	2.00	0.08	0.00	0.00	1.42	0.00
132.00	0.00	0.61	1.40	1.73	0.46	1.64	2.00	1.61	0.00	1.04	1.21	0.00
133.00	0.00	0.00	0.79	0.22	0.00	0.32	2.00	0.61	0.00	0.00	0.91	0.00
134.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
135.00	1.70	1.68	1.70	1.66	0.00	0.59	2.00	1.68	0.00	1.59	1.68	0.00
136.00	2.00	2.00	1.99	2.00	0.00	0.00	1.99	2.00	0.00	1.84	2.00	0.00
137.00	0.66	1.52	1.54	1.42	0.04	1.86	2.00	1.55	0.73	0.66	1.85	0.00
138.00	0.00	0.39	0.41	1.84	0.01	1.79	2.00	0.42	1.90	0.00	1.80	0.00
139.00	0.73	1.71	0.47	1.97	0.09	2.00	2.00	0.40	0.08	0.00	1.51	0.00
140.00	0.00	1.35	1.70	1.90	0.00	1.66	2.00	1.71	0.00	0.00	0.31	0.00
141.00	0.00	0.44	1.52	1.28	0.12	0.99	2.00	1.00	0.00	0.00	2.17	0.00
142.00	0.79	1.33	1.71	1.18	0.07	1.50	2.00	1.13	0.13	0.00	1.42	0.00
143.00	0.78	0.69	1.45	0.08	0.32	1.99	1.99	0.00	1.33	0.00	1.55	0.00
144.00	0.38	0.39	1.37	0.00	1.13	1.67	2.00	0.00	0.60	0.00	1.60	0.00
145.00	0.49	0.66	0.34	0.00	1.53	1.74	2.00	0.00	1.12	0.00	1.77	1.34
146.00	0.26	0.86	2.01	0.00	1.81	1.98	2.00	0.01	0.00	0.00	1.92	1.94
147.00	0.00	1.86	2.00	2.10	2.08	0.71	2.00	1.80	0.00	0.00	2.07	1.99
148.00	0.00	1.99	1.99	1.99	2.00	0.00	2.00	2.00	0.31	0.00	1.99	2.00
149.00	0.77	0.87	0.01	1.99	1.00	0.00	1.99	1.70	1.71	0.00	1.81	1.83
150.00	0.99	1.70	0.00	1.95	1.10	0.00	2.00	2.00	1.83	0.00	1.99	1.98
151.00	0.00	1.99	0.00	2.00	0.00	0.00	2.00	2.00	2.03	0.00	1.99	1.99
152.00	0.00	2.01	0.00	2.00	0.31	0.00	2.00	2.00	2.03	0.00	2.03	1.99
153.00	1.45	2.00	0.00	1.85	1.21	1.85	2.00	1.54	1.88	1.39	0.42	0.68
154.00	0.51	1.92	0.00	1.99	1.86	1.99	2.00	1.98	1.99	2.00	0.00	1.66
155.00	0.81	1.63	0.00	0.40	1.42	1.80	1.99	1.31	1.42	1.68	0.00	1.37
156.00	0.22	0.09	0.00	0.72	0.12	1.00	2.00	0.75	0.72	0.45	0.00	0.46
157.00	0.00	1.15	0.98	1.10	0.02	0.72	2.00	1.38	0.00	1.72	0.00	1.63
