Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.413s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
45.00	0.00	0.29	1.26	0.00	0.00	0.11	0.77	2.00	1.59	1.47	0.34	1.26	1.83	1.58	0.00
46.00	0.00	0.00	0.91	0.00	0.00	0.05	1.25	2.00	1.19	1.30	0.64	1.05	1.31	1.34	0.00
47.00	0.00	0.00	1.51	0.00	0.00	0.26	0.49	2.00	1.42	0.69	0.39	0.27	1.12	0.64	0.00
48.00	0.00	0.16	1.18	0.00	0.00	0.14	0.77	2.00	0.85	0.13	0.16	0.19	0.69	0.47	0.00
49.00	0.00	0.05	0.52	0.00	0.00	0.93	1.45	2.00	0.91	0.66	0.14	0.99	0.00	0.39	0.00
50.00	0.00	0.00	1.46	0.00	0.00	0.95	0.11	2.00	1.71	0.80	0.08	0.38	0.75	0.52	0.00
51.00	0.00	0.31	1.21	0.00	0.00	0.40	2.40	1.99	0.34	0.57	0.11	0.69	2.24	0.00	0.00
52.00	0.00	0.00	0.12	0.00	0.00	0.24	1.31	2.00	0.53	2.14	0.00	1.18	1.58	1.64	0.00
53.00	0.00	0.91	1.63	0.00	0.00	0.05	0.75	2.00	1.88	1.68	0.07	1.93	1.17	1.08	0.00
54.00	0.00	0.00	0.34	0.00	0.61	0.09	0.27	2.00	1.10	1.04	0.04	0.19	1.13	0.72	0.00
55.00	0.00	0.00	0.28	0.00	0.00	0.49	0.82	2.00	1.08	0.52	0.01	0.73	1.44	0.58	0.00
56.00	0.00	0.16	0.25	0.00	0.00	0.21	0.41	2.00	0.21	1.10	0.93	0.48	0.38	0.00	0.00
57.00	0.00	0.00	0.41	0.00	0.00	0.00	0.00	1.99	0.57	0.06	0.00	0.16	1.07	0.31	0.00
58.00	0.00	0.31	1.32	0.00	0.00	0.79	1.60	2.00	1.32	0.31	0.11	0.54	0.97	1.59	0.00
59.00	0.00	0.00	0.75	0.00	0.00	0.69	0.93	2.00	0.42	0.06	0.38	0.37	0.91	0.65	0.00
60.00	0.00	0.51	1.20	0.00	0.00	0.33	1.91	2.00	1.24	0.19	0.00	0.31	0.73	1.20	0.00
61.00	0.00	0.95	0.59	0.00	0.00	0.00	0.80	2.00	0.46	0.24	0.00	0.00	1.66	0.67	0.00
62.00	0.00	0.31	1.13	0.00	0.00	0.35	1.05	2.00	1.11	0.22	0.06	0.65	1.05	1.33	0.00
63.00	0.00	0.88	1.10	0.00	0.00	1.46	1.25	1.99	1.34	0.87	0.32	1.15	0.55	0.65	0.00
64.00	0.00	0.00	0.05	0.00	0.00	0.28	0.65	2.00	0.80	0.47	0.00	0.75	0.53	0.31	0.00
65.00	0.00	0.00	0.34	0.00	0.00	0.07	0.07	2.00	0.74	0.32	0.27	0.00	1.00	0.34	0.00
66.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.75	0.31	0.00	0.31	0.52	0.00	0.00
67.00	0.00	1.37	1.08	0.00	0.00	0.02	0.00	2.00	1.06	1.19	0.00	0.31	1.10	1.46	0.00
68.00	0.00	0.00	0.00	0.00	0.00	0.25	0.06	2.00	0.44	0.65	0.22	0.48	0.31	0.57	0.00
69.00	0.00	0.00	1.02	0.00	0.00	0.38	1.05	1.99	0.37	0.61	0.27	0.99	1.68	0.31	0.00
70.00	0.00	0.49	0.73	0.00	0.00	0.00	0.72	2.00	0.58	0.00	0.06	0.98	1.41	1.46	0.00
71.00	0.00	0.12	0.19	0.00	0.00	0.73	1.11	2.00	0.80	0.28	2.33	1.80	0.47	0.58	0.00
72.00	0.00	0.01	0.60	0.00	0.00	0.12	0.49	2.00	1.19	0.31	0.58	1.06	0.89	0.73	0.00
73.00	0.00	0.02	0.84	0.00	0.00	0.41	0.69	2.00	0.06	0.00	0.00	0.75	0.32	0.00	0.00
74.00	0.00	0.21	0.46	0.00	0.00	0.87	0.78	2.00	0.81	1.58	0.40	0.85	1.61	0.61	0.00
75.00	0.00	0.33	0.26	0.00	0.00	0.79	0.62	1.99	0.38	0.02	0.00	1.21	1.33	0.92	0.00
76.00	0.00	0.06	0.71	0.00	0.00	0.28	1.30	2.00	1.34	0.33	0.51	0.86	0.89	0.78	0.00
77.00	0.00	0.00	0.32	0.00	0.00	0.25	0.71	2.00	1.32	0.84	0.16	0.65	0.81	0.91	0.00
78.00	0.00	0.12	0.55	0.00	0.00	0.01	0.73	2.00	1.25	0.41	0.24	0.55	0.68	0.95	0.00
79.00	0.00	0.71	1.57	0.00	0.00	0.35	0.51	2.00	1.05	0.21	0.00	0.65	0.13	0.45	0.00
80.00	0.00	0.26	0.49	0.00	0.00	0.00	1.01	2.00	1.34	0.00	0.00	0.57	0.82	0.69	0.00
81.00	0.00	1.10	1.93	0.00	0.13	1.94	1.57	1.99	1.10	0.07	0.59	1.35	1.67	0.00	0.00
82.00	0.00	0.44	0.95	0.00	0.01	0.02	1.14	2.00	0.67	0.00	0.31	0.86	0.77	0.31	0.00
83.00	0.00	0.71	1.77	0.00	0.00	0.27	0.88	2.00	1.79	1.34	0.00	0.55	0.84	1.02	0.00
84.00	0.00	0.28	0.52	0.00	0.00	0.09	1.44	2.00	0.37	0.00	0.22	0.29	1.02	0.41	0.00
85.00	0.00	0.65	0.72	0.00	0.00	0.00	0.65	2.00	1.78	0.15	0.93	0.91	1.13	1.45	0.00
86.00	0.00	2.00	1.90	0.00	0.00	0.27	1.72	2.00	1.17	0.14	1.07	1.60	1.32	0.33	0.00
87.00	0.00	0.08	0.42	0.00	0.00	0.18	1.14	1.99	1.19	1.04	0.31	0.55	0.45	0.79	0.00
88.00	0.00	0.00	1.13	0.00	0.00	0.00	1.59	2.00	0.44	0.00	0.00	0.75	0.14	1.06	0.00
89.00	0.00	0.00	1.00	0.00	0.00	0.00	0.60	2.00	1.41	0.59	0.00	1.53	0.61	0.65	0.00
90.00	0.00	1.15	0.77	0.00	0.00	0.12	0.99	2.00	0.52	1.54	0.72	0.98	0.87	0.66	0.00
91.00	0.00	1.79	1.61	0.00	0.00	0.53	1.80	2.00	0.31	0.31	0.00	1.33	0.31	0.06	0.00
92.00	0.00	0.00	1.02	0.00	0.00	0.72	1.58	2.00	0.29	0.19	0.74	1.08	1.27	1.45	0.00
93.00	0.00	0.29	0.77	0.00	0.00	0.61	0.85	1.99	1.08	1.48	0.34	0.14	0.00	0.31	0.00
94.00	0.00	0.19	0.80	0.00	0.00	0.48	1.27	2.00	1.06	0.73	0.52	0.47	1.10	1.13	0.00
95.00	0.00	0.00	1.97	0.00	0.00	0.00	1.59	2.00	0.93	1.42	0.00	0.77	0.47	0.99	0.00
96.00	0.00	0.02	0.47	0.00	0.00	0.29	0.72	2.00	1.47	0.00	0.00	0.15	1.52	0.81	0.00
97.00	0.00	0.00	0.31	0.00	0.00	0.00	0.31	2.00	1.53	1.07	0.68	3.01	1.93	0.94	0.00
98.00	0.00	0.34	0.80	0.00	0.00	1.05	0.58	2.00	0.67	0.27	0.45	1.06	0.92	0.75	0.00
99.00	0.00	0.28	0.39	0.00	0.00	0.00	0.02	2.00	0.05	0.00	0.00	0.01	1.25	1.25	0.00
100.00	0.00	0.00	0.31	0.00	0.00	0.04	0.59	1.99	1.85	1.39	0.00	1.21	1.97	0.32	0.00
101.00	0.00	0.00	0.67	0.00	0.00	0.95	0.68	2.00	0.91	0.39	0.02	0.84	0.40	0.35	0.00
102.00	0.00	0.20	0.66	0.00	0.00	0.32	1.11	2.00	0.80	0.58	0.58	0.53	1.17	0.41	0.00
103.00	0.00	0.22	1.01	0.00	0.00	0.35	0.34	2.00	0.73	1.10	0.07	0.49	0.60	0.02	0.00
104.00	0.00	0.00	0.42	0.00	0.00	0.71	1.42	2.00	0.05	0.21	0.74	0.42	1.00	0.72	0.00
105.00	0.00	0.00	1.11	0.00	0.00	0.00	1.24	2.00	0.00	0.00	0.00	0.31	2.00	1.13	0.00
106.00	0.24	0.07	1.11	0.49	0.00	0.57	0.25	1.99	0.44	0.01	0.41	0.55	0.80	0.00	0.00
107.00	0.62	0.00	0.42	0.37	0.00	0.52	0.79	2.00	0.64	0.06	0.33	0.87	0.74	0.08	0.05
108.00	1.27	0.00	0.15	0.00	0.00	0.87	0.73	2.00	0.00	0.08	0.62	0.16	0.14	0.28	0.00
109.00	0.01	0.53	0.78	1.02	0.00	0.44	0.92	2.00	1.13	0.68	0.38	0.97	0.00	0.91	0.06
110.00	0.26	0.00	0.79	0.31	0.00	0.37	0.91	2.00	0.73	0.20	0.49	0.48	0.86	0.08	0.52
111.00	0.00	0.00	0.00	0.79	0.00	0.57	1.08	2.00	0.46	0.45	0.82	1.44	0.69	0.64	0.00
112.00	0.80	0.00	0.34	1.44	0.00	1.11	1.32	1.99	0.92	0.21	0.75	0.48	1.78	0.00	0.00
113.00	0.39	0.14	1.99	0.00	0.00	1.06	1.26	2.00	0.87	0.15	0.00	0.19	1.05	0.60	0.00
114.00	0.31	0.00	0.99	0.00	0.00	0.75	0.87	2.00	0.82	0.87	0.00	0.48	0.85	1.10	0.00
115.00	0.39	0.00	0.58	0.42	0.00	0.35	0.40	2.00	1.41	0.53	0.45	0.25	0.67	0.87	0.00
116.00	0.00	0.38	0.97	1.20	0.16	0.48	0.24	2.00	0.82	0.98	0.00	0.31	0.02	0.35	0.00
117.00	0.49	0.00	0.58	0.14	0.00	0.59	1.28	2.00	0.44	0.04	0.75	1.27	1.68	0.73	0.00
118.00	0.00	0.00	0.00	0.31	0.00	0.22	0.37	1.99	0.58	0.12	0.00	0.18	0.69	0.47	0.08
119.00	0.31	0.00	0.61	0.53	0.00	0.12	0.72	2.00	1.01	0.20	0.00	0.48	0.51	1.25	0.00
120.00	0.78	0.00	0.60	0.92	0.00	0.74	0.59	2.00	1.40	0.94	0.26	0.21	1.00	0.80	0.61
121.00	0.19	0.31	1.02	0.39	0.00	0.12	1.13	2.00	0.81	0.07	0.05	0.53	0.05	0.40	0.00
122.00	0.00	0.58	1.55	0.93	0.00	0.77	1.12	2.00	0.31	0.00	0.99	0.29	1.77	1.37	0.61
123.00	0.80	0.51	0.84	0.31	0.00	0.52	1.51	2.00	0.95	0.85	0.53	0.86	0.57	0.79	0.22
124.00	0.92	0.02	1.48	1.14	0.00	0.97	1.01	1.99	0.00	0.00	0.07	0.75	0.87	0.00	0.00
125.00	0.13	0.02	0.08	0.31	0.00	0.00	1.53	2.00	0.54	0.00	0.06	1.10	1.04	1.24	0.00
126.00	0.39	0.00	0.00	0.31	0.00	0.05	1.19	2.00	1.63	0.25	0.26	1.60	1.22	0.48	0.00
127.00	0.47	0.00	0.07	0.54	0.00	0.47	0.77	2.00	1.12	0.53	0.00	1.51	1.44	1.04	0.12
128.00	0.00	0.00	0.51	0.52	0.00	0.00	0.62	2.00	0.87	0.00	0.00	0.71	0.93	0.53	0.16
129.00	0.00	0.00	0.21	0.93	0.00	0.61	0.35	2.00	0.48	0.31	0.02	0.61	1.46	0.91	0.07
130.00	0.49	0.00	0.00	0.80	0.00	0.84	1.91	1.99	1.84	1.22	0.00	0.87	1.41	1.54	0.28
131.00	0.19	0.15	0.15	0.86	0.00	0.78	0.46	2.00	1.02	0.87	0.00	1.00	2.12	0.66	0.74
132.00	0.47	0.19	0.41	0.00	0.00	0.65	0.18	2.00	0.75	0.19	0.28	0.53	0.40	0.35	0.05
133.00	0.00	0.00	0.04	0.88	0.19	0.00	0.64	2.00	0.09	0.31	0.31	1.00	1.48	0.52	0.13
134.00	0.51	0.00	0.41	0.46	0.00	0.11	0.41	2.00	0.67	0.24	0.52	1.34	0.79	0.80	0.00
135.00	0.00	0.45	0.78	1.35	0.00	0.62	0.89	2.00	0.18	0.95	0.02	1.24	0.62	0.44	0.00
136.00	1.63	0.45	0.52	0.92	0.00	0.29	0.75	1.99	0.52	1.05	0.00	0.58	1.04	0.16	0.00
137.00	0.00	0.00	0.65	0.92	0.00	0.21	0.92	2.00	1.01	0.26	0.27	1.15	1.19	0.16	0.21
138.00	0.00	0.00	0.31	1.34	0.00	1.22	1.77	2.00	1.11	0.26	0.34	1.19	0.89	1.05	0.00
139.00	0.00	0.02	2.06	0.78	0.00	0.00	1.41	2.00	0.72	0.00	0.00	0.81	1.50	0.52	0.00
140.00	0.00	0.00	0.00	0.18	0.00	0.57	0.19	2.00	0.91	0.34	0.40	0.98	0.39	0.60	0.00
141.00	0.00	0.00	0.00	0.40	0.00	1.04	0.22	2.00	0.60	0.41	0.11	0.84	0.80	0.92	0.28
142.00	0.00	1.79	1.46	0.15	0.00	0.72	1.57	2.00	1.32	0.42	0.31	0.95	0.73	1.07	0.00
143.00	0.48	0.00	0.07	0.32	0.00	0.22	1.02	1.99	1.26	0.00	0.52	0.32	0.68	1.41	0.60
144.00	0.09	0.49	0.66	0.00	0.00	0.33	0.42	2.00	0.64	0.69	0.00	0.48	1.21	0.58	0.29
145.00	0.01	0.00	1.28	0.00	0.00	0.75	1.68	2.00	0.46	0.00	0.42	1.73	1.60	1.58	0.00
146.00	0.06	0.20	0.92	0.13	0.00	0.00	1.18	2.00	0.64	0.57	0.00	1.19	1.32	0.48	0.00
147.00	0.31	0.00	1.45	0.00	0.04	0.49	1.50	2.00	1.28	1.01	0.78	1.98	1.15	0.99	0.49
148.00	0.05	0.81	0.61	0.00	0.00	0.12	0.52	2.00	0.05	0.00	0.13	0.80	0.79	0.00	0.00
149.00	0.28	0.61	1.11	1.21	0.00	0.25	0.57	1.99	0.00	0.28	0.99	0.65	0.20	0.28	0.00
150.00	0.31	0.00	0.84	0.47	0.00	0.93	1.32	2.00	2.36	0.92	0.09	0.31	0.34	0.02	0.00
151.00	0.87	0.00	0.61	1.22	0.00	0.01	0.48	2.00	0.81	0.20	0.29	1.06	1.25	1.78	0.08
152.00	0.20	0.00	0.78	0.40	0.00	0.58	1.41	2.00	0.91	0.21	0.24	0.32	1.92	0.80	0.09
153.00	0.00	0.24	0.69	0.22	0.00	0.59	0.21	2.00	0.54	0.18	0.01	1.15	0.73	0.48	0.05
154.00	0.00	0.84	0.99	0.59	0.00	0.32	1.07	2.00	0.65	0.11	0.59	0.13	0.60	0.26	0.00
155.00	0.00	0.00	0.00	1.25	0.00	0.00	0.82	1.99	0.74	0.60	0.27	0.53	1.93	0.40	0.00
156.00	0.00	0.35	1.18	0.00	0.59	0.24	0.75	2.00	0.60	0.28	0.00	0.20	1.27	0.05	0.31
157.00	0.12	0.00	0.99	1.42	0.00	0.26	1.10	2.00	0.99	1.17	0.07	1.07	1.58	1.25	0.98
158.00	0.45	0.85	1.15	0.66	0.00	0.52	0.42	2.00	0.15	0.00	0.31	0.95	0.68	0.48	0.00
159.00	0.00	0.00	0.61	0.72	0.00	0.00	1.44	2.00	0.64	0.52	0.00	0.32	1.02	0.89	0.35
160.00	0.07	0.29	0.41	1.37	0.00	0.68	0.41	2.00	0.85	1.10	0.18	0.44	1.05	1.21	0.00
161.00	0.00	0.00	0.78	0.66	0.00	0.00	0.94	1.99	0.00	0.00	0.60	1.18	0.77	0.31	0.00
162.00	0.25	0.01	0.20	0.61	0.00	0.11	0.87	2.00	0.19	0.00	0.25	0.47	1.10	0.24	0.00
163.00	0.00	0.00	0.00	0.31	0.00	0.21	0.24	2.00	0.02	0.00	0.20	0.54	0.33	0.37	0.00
164.00	0.00	0.00	0.31	0.61	0.00	0.41	0.86	2.00	0.34	0.01	0.00	0.00	0.54	0.67	0.00
165.00	0.01	0.00	0.46	0.31	0.00	0.31	0.60	2.00	0.79	0.18	0.01	0.95	0.89	1.32	0.53
166.00	0.12	0.00	0.40	0.99	0.00	0.29	1.05	2.00	0.24	0.08	0.84	0.55	1.27	0.35	0.12
167.00	0.91	0.00	0.98	0.95	0.00	0.14	1.05	1.99	0.58	0.39	0.44	0.29	0.82	0.42	0.00
168.00	0.21	0.07	0.24	0.31	0.00	0.80	0.99	2.00	0.66	0.24	0.65	0.44	0.67	0.33	0.14
169.00	0.00	0.00	0.00	0.45	0.00	0.00	0.00	2.00	1.00	1.14	0.29	0.27	0.34	0.65	0.37
170.00	0.00	0.00	0.31	0.45	0.00	0.37	0.62	2.00	1.86	0.31	0.07	1.19	2.10	0.51	0.00
171.00	0.00	0.15	1.00	0.37	0.00	0.57	0.79	2.00	0.09	0.33	0.34	0.68	0.19	0.22	0.00
172.00	0.29	0.00	0.71	1.34	0.00	0.72	1.04	2.00	0.25	0.05	0.00	0.33	1.31	0.80	0.00
173.00	0.87	0.31	1.44	0.14	0.00	0.48	0.19	1.99	0.77	0.47	0.00	0.29	0.64	1.27	0.71
174.00	0.00	0.00	1.04	0.00	0.00	0.04	0.68	2.00	0.53	0.46	0.00	0.00	0.24	0.67	0.57
175.00	0.13	0.00	0.02	0.08	0.00	0.42	1.22	2.00	0.35	0.22	0.60	0.93	1.04	0.73	0.00
176.00	0.00	0.00	0.31	0.93	0.00	0.84	0.77	2.00	0.06	0.34	0.80	0.40	0.04	0.47	0.00
177.00	0.00	0.00	0.00	1.22	0.00	0.32	0.81	2.00	0.31	0.00	0.92	0.38	0.98	1.26	0.99
178.00	0.00	0.09	1.38	0.21	0.00	0.35	1.02	2.00	0.62	0.33	0.00	0.61	0.86	1.00	0.00
179.00	1.06	0.00	0.00	0.16	0.00	0.02	0.12	1.99	0.39	0.18	0.28	0.15	1.45	0.45	0.02
10.1.1.1	0.11	426980.90
10.1.1.2	0.27	410083.76
10.1.1.3	0.78	167290.65
10.1.1.4	0.24	170208.43
10.1.1.5	0.03	675123.74
10.1.1.6	0.41	180865.52
10.1.1.7	0.91	106886.10
10.2.1.2	2.04	8.49
10.1.1.9	0.84	91222.37
10.1.1.10	0.48	186793.22
10.1.1.11	0.30	271722.24
10.1.1.12	0.74	149618.20
10.1.1.13	0.98	134180.77
10.1.1.14	0.72	127389.64
10.1.1.15	0.06	373788.56
