Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.266s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
90.00	1.99	1.92	2.00	2.00	2.00	1.90	2.00
91.00	1.99	1.97	2.00	2.00	1.99	1.90	1.99
92.00	2.00	1.94	2.00	2.00	1.98	1.87	2.00
93.00	2.00	1.92	1.99	1.99	1.99	1.93	2.00
94.00	2.00	1.83	2.00	2.00	2.00	1.88	2.00
95.00	1.99	1.92	2.00	2.00	2.00	1.90	2.00
96.00	1.97	1.94	2.00	2.00	1.99	1.87	1.99
97.00	1.99	1.90	2.00	2.00	2.00	1.91	1.98
98.00	2.00	1.91	2.00	2.00	1.98	1.86	2.00
99.00	1.97	1.87	1.99	2.00	2.00	1.93	1.99
100.00	2.00	1.87	2.00	1.99	1.99	1.88	2.00
101.00	2.00	1.85	2.00	2.00	2.00	1.93	1.98
102.00	2.00	1.88	2.00	2.00	1.99	1.92	2.00
103.00	2.00	1.92	2.00	2.00	2.00	1.88	1.98
104.00	1.99	1.87	2.00	2.00	1.99	1.88	2.00
105.00	1.99	1.92	2.00	2.00	2.00	1.93	1.99
106.00	1.98	1.92	1.99	1.99	2.00	1.92	1.98
107.00	1.98	1.88	2.00	2.00	2.00	1.93	2.00
108.00	2.00	1.87	2.00	2.00	2.00	1.92	2.00
109.00	1.99	1.87	2.00	2.00	2.00	1.91	1.99
