Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.718s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
2.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	1.77	0.00
4.00	0.00	0.00	2.00	0.00
5.00	1.74	1.73	2.00	1.74
6.00	2.00	1.99	2.00	1.99
7.00	1.99	2.00	2.00	1.98
8.00	2.00	2.00	1.99	1.99
9.00	2.00	2.00	2.00	1.98
10.00	2.00	2.00	2.00	1.98
11.00	2.00	2.00	2.00	1.99
12.00	2.00	1.99	2.00	1.99
13.00	1.99	2.00	2.00	1.95
14.00	2.00	2.00	1.99	1.98
15.00	2.00	1.98	2.00	1.98
16.00	2.00	1.99	2.00	2.00
17.00	2.00	2.00	2.00	1.97
18.00	2.00	1.99	2.00	1.98
19.00	2.00	2.00	2.00	1.99
20.00	1.99	2.00	1.99	1.97
21.00	2.00	2.00	2.00	1.98
22.00	2.00	2.00	2.00	1.99
23.00	2.00	2.00	2.00	2.00
24.00	2.00	1.99	2.00	1.97
25.00	2.00	2.00	2.00	1.98
26.00	1.99	2.00	1.99	1.99
27.00	2.00	2.00	2.00	2.00
28.00	2.00	2.00	2.00	1.99
29.00	2.00	1.99	2.00	1.98
30.00	2.00	2.00	2.00	1.97
31.00	2.00	1.99	2.00	1.98
32.00	1.99	2.00	1.99	1.99
33.00	2.00	2.00	2.00	1.97
34.00	2.00	2.00	2.00	2.00
35.00	2.00	1.99	2.00	1.99
36.00	2.00	1.99	2.00	1.97
37.00	2.00	1.99	2.00	1.98
38.00	1.99	2.00	1.99	1.98
39.00	2.00	2.00	2.00	2.00
40.00	2.00	2.00	2.00	1.98
41.00	2.00	1.99	2.00	2.00
42.00	2.00	2.00	2.00	1.99
43.00	2.00	1.99	2.00	1.97
44.00	1.99	2.00	1.99	1.99
45.00	2.00	2.00	2.00	2.00
46.00	2.00	2.00	2.00	2.00
47.00	2.00	2.00	2.00	1.98
48.00	2.00	2.00	2.00	1.98
49.00	2.00	1.99	2.00	1.93
50.00	1.99	2.00	2.00	1.98
51.00	2.00	1.99	1.99	1.99
52.00	2.00	2.00	2.00	2.00
53.00	2.00	2.00	2.00	1.98
54.00	2.00	2.00	2.00	2.00
55.00	2.00	1.98	2.00	1.99
56.00	1.99	2.00	2.00	1.98
57.00	2.00	1.99	1.99	2.00
58.00	2.00	2.00	2.00	2.00
59.00	2.00	2.00	2.00	1.99
60.00	2.00	2.00	2.00	2.00
61.00	2.00	1.99	2.00	1.98
62.00	2.00	2.00	2.00	1.94
63.00	1.99	2.00	1.99	1.99
64.00	2.00	2.00	2.00	2.00
65.00	2.00	2.00	2.00	2.00
66.00	2.00	2.00	2.00	2.00
67.00	2.00	1.99	2.00	1.99
68.00	2.00	2.00	2.00	1.98
69.00	1.99	2.00	1.99	2.00
70.00	2.00	2.00	2.00	1.98
71.00	2.00	1.99	2.00	1.99
72.00	2.00	2.00	2.00	1.98
73.00	2.00	2.00	2.00	1.99
74.00	2.00	1.99	2.00	1.98
75.00	1.99	2.00	1.99	1.97
76.00	2.00	2.00	2.00	1.98
77.00	2.00	2.00	2.00	2.00
78.00	2.00	2.00	2.00	1.98
79.00	2.00	1.99	2.00	1.99
80.00	2.00	2.00	2.00	1.98
81.00	1.99	2.00	1.99	1.99
82.00	2.00	2.00	2.00	1.98
83.00	2.00	2.00	2.00	2.00
84.00	2.00	2.00	2.00	1.99
85.00	2.00	2.00	2.00	2.00
86.00	2.00	1.99	2.00	2.00
87.00	1.99	2.00	1.99	1.98
88.00	2.00	2.00	2.00	2.00
89.00	2.00	1.99	2.00	2.00
90.00	2.00	2.00	2.00	1.99
91.00	2.00	2.00	2.00	1.99
92.00	2.00	1.99	2.00	2.00
93.00	1.99	2.00	1.99	1.98
94.00	2.00	2.00	2.00	1.97
95.00	2.00	2.00	2.00	1.98
96.00	2.00	2.00	2.00	2.00
97.00	2.00	2.00	2.00	1.99
98.00	2.00	1.99	2.00	1.99
