Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.216s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
103.00	0.00	0.00	2.00	2.00	1.92	1.99
104.00	0.00	0.00	2.00	2.00	1.91	1.99
105.00	0.00	0.00	2.00	2.00	1.91	1.99
106.00	0.00	0.00	1.99	1.99	1.91	2.00
107.00	1.55	0.00	2.00	2.00	1.86	2.00
108.00	2.00	0.00	2.00	2.00	1.93	2.00
109.00	1.97	1.57	2.00	2.00	1.97	2.00
110.00	2.00	1.85	2.00	2.00	2.00	1.99
111.00	1.98	1.84	2.00	2.00	1.98	1.99
112.00	2.00	1.85	1.99	1.99	1.99	2.00
113.00	1.99	1.84	2.00	2.00	0.73	2.00
114.00	2.00	1.77	2.00	2.00	0.00	2.00
115.00	2.00	1.80	2.00	2.00	0.00	2.00
116.00	1.98	1.78	2.00	2.00	0.00	2.00
117.00	2.00	1.83	2.00	2.00	1.07	1.99
118.00	2.00	1.88	1.99	1.99	2.00	1.99
119.00	1.99	1.90	2.00	2.00	1.99	1.99
120.00	2.00	1.93	2.00	2.00	0.38	0.38
121.00	2.00	1.94	2.00	2.00	0.00	0.00
122.00	1.99	1.94	2.00	2.00	0.00	0.00
123.00	1.99	1.93	2.00	2.00	0.00	0.00
124.00	2.00	1.93	1.99	1.99	0.00	0.00
125.00	2.00	1.97	2.00	2.00	0.00	0.00
126.00	1.98	1.97	2.00	2.00	0.00	0.00
127.00	1.98	1.92	2.00	2.00	0.00	0.00
128.00	1.99	1.95	2.00	2.00	0.00	0.00
129.00	1.99	1.95	2.00	2.00	0.00	0.00
130.00	2.00	1.94	1.99	1.99	0.00	0.00
131.00	2.00	1.93	2.00	2.00	0.00	0.00
132.00	2.00	1.91	2.00	2.00	0.00	0.00
