Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.840s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
36.00	4.04	3.60	3.44	0.04	0.01	2.99	0.02	0.00	0.16	0.00	2.40	3.20	2.26	0.66	0.00	0.25	0.20	1.51	1.82
37.00	4.05	3.59	3.45	0.00	0.00	3.01	0.00	0.39	0.36	0.00	2.40	2.40	2.25	0.00	0.00	0.00	0.21	1.49	0.47
38.00	4.04	3.60	3.45	1.44	0.54	0.40	0.22	0.00	0.57	0.00	2.40	0.70	2.25	0.00	0.00	0.12	1.42	1.51	0.99
39.00	4.05	3.60	3.45	0.65	1.29	0.00	1.77	1.03	0.00	0.00	0.59	0.27	2.25	0.00	0.00	0.80	0.00	1.49	0.47
40.00	4.05	3.60	3.45	1.18	2.61	0.00	0.00	0.17	0.15	0.00	0.00	0.32	2.25	0.25	0.00	0.89	2.51	1.51	1.54
41.00	4.04	3.59	3.44	1.61	0.00	2.99	0.09	0.00	0.37	0.00	0.51	0.90	0.08	0.00	2.90	0.00	0.08	1.49	0.00
42.00	4.05	3.60	3.45	2.00	0.37	1.05	0.06	0.00	0.21	2.00	0.00	0.00	0.00	0.73	0.53	2.60	0.06	1.51	0.82
43.00	4.05	3.60	3.45	3.30	1.59	2.00	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.67	0.00	1.81	1.25	1.49	0.44
44.00	4.04	3.60	3.45	0.12	0.00	0.05	0.00	0.00	1.59	0.75	0.00	0.09	2.71	0.26	0.00	0.05	0.00	1.50	0.72
45.00	4.05	3.60	3.45	0.38	0.00	0.21	0.26	0.19	0.00	2.79	3.32	0.35	2.25	0.53	0.00	0.69	2.45	1.50	0.00
46.00	4.04	3.59	3.45	0.11	0.00	0.57	0.04	0.15	0.00	2.55	2.41	0.70	2.25	0.08	0.07	0.63	1.64	0.31	0.37
47.00	4.05	3.60	3.44	0.14	0.00	1.03	0.00	0.29	0.13	0.09	0.01	0.45	2.25	1.47	1.97	0.24	1.63	1.62	0.15
48.00	4.05	3.60	3.45	0.16	0.00	0.95	0.00	0.65	0.00	0.00	0.00	0.54	2.25	0.16	2.02	0.00	1.67	1.49	1.80
49.00	4.04	3.60	3.45	0.06	0.00	0.84	0.00	0.17	0.81	0.99	0.00	0.00	2.26	0.16	1.55	0.82	1.65	1.51	1.52
50.00	4.05	3.59	3.45	2.80	0.00	1.92	0.00	0.21	0.50	0.00	0.00	0.00	2.25	0.07	0.91	0.09	1.65	1.49	0.56
51.00	4.05	3.60	3.45	0.61	0.48	0.43	0.00	0.36	0.48	0.28	0.00	1.17	2.25	2.40	2.78	0.65	1.64	1.51	0.00
52.00	4.05	3.60	3.45	3.25	0.15	0.00	0.00	0.57	0.00	0.09	0.00	1.23	2.25	0.00	1.95	0.42	1.66	1.49	0.07
53.00	4.05	3.60	3.44	1.21	0.14	0.06	0.00	0.92	0.01	2.02	0.00	0.03	0.61	0.51	0.00	0.18	1.64	1.51	0.78
54.00	4.04	3.59	3.45	1.37	0.08	0.29	0.00	0.00	0.17	0.91	1.81	0.00	0.16	0.04	1.69	2.43	1.66	1.49	0.58
55.00	4.05	3.60	3.45	0.00	0.60	0.00	0.00	0.93	0.41	2.46	0.00	0.48	0.29	0.12	0.69	1.29	1.64	1.51	2.02
56.00	4.05	3.60	3.45	1.93	1.85	0.66	0.00	0.79	0.00	0.61	0.36	2.19	0.42	0.84	0.98	0.51	1.66	1.49	1.31
57.00	4.04	3.60	3.45	1.04	0.01	0.00	0.53	2.43	0.19	0.00	1.24	2.41	0.00	0.00	0.00	0.31	1.64	1.51	0.12
58.00	4.05	3.60	3.44	2.21	0.03	0.03	1.22	0.01	0.16	0.00	0.03	2.17	0.67	0.15	0.00	1.20	1.63	1.49	0.00
59.00	4.04	3.59	3.45	0.10	0.19	3.14	0.00	0.18	0.45	1.12	0.17	0.00	2.44	0.00	1.47	0.10	0.04	1.51	0.00
60.00	4.05	3.60	3.45	0.62	0.43	0.95	0.00	0.03	0.27	0.06	1.50	0.19	0.82	0.63	0.67	0.00	1.09	1.49	0.46
61.00	4.05	3.60	3.45	3.61	0.33	0.34	0.23	1.78	0.04	0.00	1.84	0.00	0.37	0.00	0.45	2.52	0.32	1.16	0.00
62.00	4.04	3.60	3.45	1.21	0.00	0.06	0.00	0.00	0.61	0.37	0.04	2.50	0.54	1.16	0.00	0.73	0.47	1.84	2.38
63.00	4.05	3.59	3.45	2.16	0.28	0.13	0.00	0.72	0.98	1.07	0.00	1.03	0.00	1.42	0.00	0.90	1.19	1.51	1.51
64.00	4.05	3.60	3.44	3.30	0.14	0.00	0.00	0.00	0.59	0.00	0.69	0.00	2.50	1.83	0.23	0.15	1.64	1.49	1.49
65.00	4.04	3.60	3.45	3.29	0.07	0.00	0.00	0.00	0.00	0.00	0.06	0.71	2.25	0.00	0.00	0.00	1.30	1.51	1.18
66.00	4.05	3.60	3.45	1.95	0.57	0.00	0.00	0.00	0.00	2.13	0.36	2.41	2.25	1.44	0.51	0.63	2.00	0.20	0.05
67.00	4.04	3.60	3.45	0.24	0.24	0.64	0.00	0.56	0.00	0.32	2.66	2.40	2.26	1.04	0.10	2.28	1.64	0.24	1.05
68.00	4.05	3.59	3.45	0.00	0.30	0.62	0.00	0.00	0.00	0.00	2.40	2.41	2.25	0.00	0.39	0.05	0.07	0.15	0.52
69.00	4.05	3.60	3.45	0.00	2.34	0.15	0.00	0.80	0.00	0.00	2.17	2.40	2.25	0.00	0.00	0.00	0.33	0.09	0.00
70.00	4.04	3.60	3.44	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.40	2.25	0.00	0.00	0.00	0.40	0.00	0.59
71.00	4.05	3.60	3.45	1.80	3.00	0.69	0.00	0.03	0.02	0.00	0.00	2.40	2.25	0.00	0.00	0.18	0.00	0.00	2.19
72.00	4.05	3.59	3.45	0.00	0.85	0.00	0.00	0.80	0.68	0.00	0.00	2.40	2.25	0.00	0.11	0.69	0.52	0.00	1.49
73.00	4.04	3.60	3.45	3.25	0.28	3.64	0.00	0.07	0.45	0.00	0.00	2.41	2.25	0.40	0.52	0.00	0.19	0.00	1.51
74.00	4.05	3.60	3.45	0.52	0.00	1.22	0.00	0.18	0.46	0.45	0.00	2.40	2.25	1.67	0.00	0.97	0.73	0.00	1.49
75.00	4.04	3.60	3.45	0.10	0.21	0.38	0.00	0.00	0.09	2.17	0.00	2.40	2.26	0.00	0.93	1.71	0.72	0.00	1.51
76.00	4.05	3.60	3.44	2.16	0.84	3.66	0.00	0.00	0.06	0.00	0.00	2.40	2.25	0.00	0.00	1.80	0.36	0.93	1.49
77.00	4.05	3.59	3.45	1.19	0.79	0.96	0.19	0.00	0.03	0.00	0.48	2.40	2.25	0.66	2.10	0.49	0.26	0.62	1.51
78.00	4.04	3.60	3.45	0.28	0.00	0.24	0.00	0.93	0.18	0.00	0.36	1.60	2.25	0.18	1.95	0.97	1.86	0.20	1.49
79.00	4.05	3.60	3.45	1.78	0.76	0.00	0.00	0.90	0.47	0.00	0.24	0.00	2.26	0.00	1.95	0.32	1.64	0.56	0.30
80.00	4.04	3.60	3.45	1.83	0.00	0.67	0.00	0.00	0.12	0.61	0.61	0.00	2.25	0.11	1.10	0.51	1.66	0.72	0.52
81.00	4.05	3.59	3.44	0.15	0.00	0.29	0.79	0.00	0.00	0.59	0.48	1.84	2.25	0.86	1.17	0.73	1.65	1.58	0.00
82.00	4.05	3.60	3.45	3.40	0.00	0.53	0.00	0.00	0.07	0.40	1.17	2.40	2.25	0.00	0.41	0.49	1.65	1.49	0.00
83.00	4.04	3.60	3.45	3.30	0.00	0.83	0.00	0.00	0.00	0.00	1.00	2.40	2.25	0.03	0.46	1.15	1.64	1.51	0.00
84.00	4.05	3.60	3.45	2.11	0.00	0.67	0.00	1.45	0.00	0.00	1.27	2.41	2.26	0.13	0.00	0.09	1.66	1.49	0.48
85.00	4.05	3.59	3.45	0.15	1.66	0.00	0.00	0.17	0.40	0.00	0.69	2.40	2.25	0.17	0.00	0.41	0.08	1.51	1.80
86.00	4.04	3.60	3.45	0.04	0.00	2.39	0.00	1.94	0.00	0.82	0.95	0.66	0.03	0.18	0.00	0.00	0.40	1.49	0.42
