Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.823s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
33.00	4.34	3.75	3.60	3.14	0.60	0.00	0.00	0.06	0.00	0.69	2.54	0.00	0.00	0.33	2.24	0.93	1.11	0.82	0.07	0.06	0.00
34.00	4.36	3.74	3.60	3.15	0.00	0.00	0.00	0.00	0.00	0.27	2.56	0.00	0.00	2.27	2.26	0.26	0.04	0.78	0.08	0.75	0.00
35.00	4.34	3.75	3.60	2.15	0.01	0.00	0.00	0.80	0.45	0.00	2.56	0.00	0.00	0.00	1.30	0.50	0.00	0.18	0.00	0.17	0.00
36.00	4.36	3.75	3.60	0.00	1.25	0.00	0.00	0.00	0.65	0.01	2.55	0.00	0.00	0.52	0.87	1.79	0.00	1.71	0.00	0.33	0.00
37.00	4.34	3.75	3.59	0.00	1.65	0.00	0.00	0.58	0.04	1.09	2.55	0.00	0.00	0.53	0.00	1.95	0.52	1.64	0.00	0.14	0.00
38.00	4.36	3.74	3.60	0.18	0.00	0.00	0.00	1.28	0.00	0.13	2.55	0.00	0.00	0.00	0.00	1.71	0.00	1.66	0.00	1.24	0.00
39.00	4.34	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.55	0.00	0.00	0.00	1.05	0.00	0.00	1.64	0.00	0.00	0.00
40.00	4.36	3.75	3.60	0.00	0.63	0.00	0.00	0.44	0.00	0.00	2.55	0.00	0.00	0.00	1.18	2.34	0.01	1.65	0.00	1.99	0.00
41.00	4.34	3.74	3.59	1.34	0.05	0.00	0.00	2.30	1.89	1.23	0.95	0.00	0.00	0.00	2.26	0.32	0.13	0.61	0.08	0.41	0.00
42.00	4.36	3.75	3.60	2.13	1.35	0.00	0.00	1.82	1.44	0.13	0.92	0.00	0.00	0.00	1.52	0.52	0.53	2.00	0.57	0.00	0.00
43.00	4.34	3.75	3.60	0.67	0.69	0.00	0.00	0.32	2.05	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.88	0.00	0.00	0.00
44.00	4.36	3.75	3.60	1.93	0.35	0.00	0.00	0.00	0.00	0.37	1.63	0.00	0.00	0.49	0.00	0.00	0.00	1.82	0.00	0.00	0.00
45.00	4.34	3.74	3.60	0.02	0.32	0.00	0.00	0.78	0.00	0.00	2.19	0.00	0.00	0.00	0.00	0.00	0.33	1.66	0.00	0.00	0.00
46.00	4.36	3.75	3.59	0.04	0.29	0.00	0.00	0.00	0.00	0.00	2.40	0.00	0.00	3.07	0.00	0.29	1.02	1.64	0.00	1.93	0.00
47.00	4.34	3.75	3.60	0.29	1.16	0.00	0.48	0.27	0.14	0.82	1.54	0.00	0.00	2.40	0.00	1.43	0.00	1.19	0.00	0.00	0.00
48.00	4.36	3.74	3.60	0.90	0.04	0.00	0.30	0.24	0.07	0.00	0.46	0.00	0.00	2.40	0.00	1.95	0.00	0.14	0.00	1.93	0.00
49.00	4.34	3.75	3.60	1.45	0.00	0.23	0.00	1.14	0.00	0.00	0.71	0.00	0.00	0.02	0.00	0.53	0.48	1.26	0.00	0.19	0.00
50.00	4.36	3.75	3.59	3.16	0.64	0.01	0.81	1.77	0.95	0.01	0.00	0.00	0.00	0.00	1.67	0.00	0.45	0.31	0.00	0.00	0.00
51.00	4.34	3.75	3.60	3.15	0.00	0.00	2.96	0.00	0.00	0.99	2.43	0.00	0.00	0.00	2.26	0.00	0.51	0.56	0.00	0.02	0.00
52.00	4.36	3.74	3.60	0.24	0.00	0.00	1.57	0.10	0.80	0.47	2.55	0.00	0.00	0.52	2.25	2.06	0.00	2.27	0.00	0.02	0.00
53.00	4.34	3.75	3.60	0.00	0.52	2.35	0.00	0.21	0.00	0.00	1.11	0.00	0.00	0.45	1.56	1.95	0.00	1.12	0.28	1.85	0.00
54.00	4.36	3.75	3.59	0.00	0.00	2.41	3.48	0.59	0.22	1.54	0.24	0.00	0.00	0.60	0.00	1.95	0.00	1.29	0.00	0.00	0.00
55.00	4.34	3.75	3.60	0.18	0.96	0.00	0.27	0.57	0.75	2.56	0.19	0.00	0.00	0.06	0.00	1.95	0.00	1.64	0.00	0.00	0.00
56.00	4.36	3.75	3.60	0.29	0.16	0.00	0.53	0.00	0.00	2.02	2.17	0.00	0.00	1.01	0.00	1.20	0.00	1.66	0.01	0.00	0.00
57.00	4.35	3.75	3.60	1.30	0.62	1.58	0.04	0.00	1.47	0.00	1.92	0.00	0.00	0.73	0.00	0.54	0.00	1.16	0.02	1.94	0.00
58.00	4.35	3.75	3.60	3.09	0.98	2.97	0.03	0.00	0.00	3.52	0.00	0.00	0.00	0.37	0.00	0.18	0.43	2.13	0.00	0.00	0.00
59.00	4.36	3.74	3.59	0.00	0.00	0.00	0.00	0.00	0.62	1.68	0.44	0.00	0.00	0.00	0.00	0.00	0.00	1.66	0.00	0.50	0.00
60.00	4.34	3.75	3.60	0.60	0.79	0.00	0.87	0.00	0.00	0.07	0.10	0.00	0.00	1.63	0.41	0.56	2.77	1.64	0.38	1.59	0.00
61.00	4.36	3.75	3.60	0.17	0.36	0.19	0.06	0.00	1.87	0.98	0.18	0.00	0.00	2.26	0.97	2.16	1.93	1.66	0.54	1.05	0.00
62.00	4.34	3.75	3.60	1.90	0.00	0.39	0.00	0.00	0.58	0.00	0.79	0.00	0.00	1.56	0.00	1.95	0.03	1.08	0.00	0.68	0.00
63.00	4.36	3.74	3.59	0.59	0.30	0.00	1.22	0.00	1.30	0.10	0.22	0.00	0.00	1.34	0.04	1.07	0.00	1.75	0.00	1.19	0.00
64.00	4.34	3.75	3.60	0.87	0.11	0.00	2.26	0.00	0.08	0.29	3.03	0.00	0.00	0.83	0.39	1.58	0.48	1.64	0.00	1.05	0.00
65.00	4.36	3.75	3.60	0.90	1.50	0.00	0.00	0.00	0.20	0.53	1.17	0.00	0.00	0.62	0.00	1.36	0.04	1.62	1.05	1.03	0.00
66.00	4.34	3.74	3.60	0.01	0.32	0.00	0.01	0.00	2.06	0.06	2.39	0.00	0.00	0.00	0.15	1.31	0.00	1.68	0.04	1.07	0.00
67.00	4.36	3.75	3.60	1.20	0.27	0.00	0.00	0.00	0.67	0.65	2.55	0.00	0.00	0.80	1.67	0.78	0.00	0.63	0.29	1.05	0.00
68.00	4.34	3.75	3.59	2.06	1.20	0.00	0.00	0.00	0.00	0.35	2.55	0.00	0.00	0.00	1.49	0.11	1.22	0.70	0.14	0.65	0.00
69.00	4.36	3.75	3.60	0.14	2.64	3.99	0.97	0.00	0.05	0.00	2.55	0.00	0.00	0.00	0.00	0.76	1.43	0.33	1.46	0.04	0.00
70.00	4.34	3.74	3.60	0.00	0.20	2.57	0.48	0.33	1.56	0.00	2.55	0.00	0.00	0.11	0.00	0.53	0.00	0.00	1.19	0.00	0.00
71.00	4.36	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.29	0.00	0.00
