Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.751s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
42.00	3.75	0.59	0.00	0.00	0.49	0.66	0.00	0.73	1.33	0.00	2.04	0.00	0.80	0.20	1.64	0.09
43.00	3.75	0.15	0.00	3.53	0.52	0.00	0.15	0.00	0.49	0.48	1.96	0.00	1.67	1.04	1.66	0.00
44.00	3.75	0.21	0.00	2.57	0.27	1.76	0.02	0.00	0.12	0.00	1.46	0.00	1.80	0.21	1.64	0.34
45.00	3.74	0.00	0.00	0.00	0.74	0.40	0.25	0.26	0.18	2.51	0.00	0.00	1.42	0.00	0.38	0.24
46.00	3.75	0.00	0.00	0.75	0.46	0.95	0.00	0.62	0.00	0.01	0.52	0.00	1.22	0.00	2.10	0.09
47.00	3.75	2.55	0.00	0.50	2.30	0.80	0.00	0.00	0.07	0.98	0.92	0.00	0.00	1.41	1.66	2.42
48.00	3.74	0.28	0.00	0.22	1.17	0.96	0.27	1.73	0.48	0.09	1.52	0.00	0.00	1.64	1.53	0.09
49.00	3.75	3.34	0.52	0.18	0.00	0.00	0.00	0.00	0.00	0.00	1.96	0.00	0.00	1.64	0.00	0.06
50.00	3.75	3.15	0.09	0.41	0.06	0.00	0.15	1.39	0.00	0.13	1.95	0.00	0.19	0.36	0.45	0.07
51.00	3.75	1.77	0.25	0.00	0.11	0.00	0.58	0.00	1.11	0.15	1.09	0.00	1.61	0.96	0.45	0.00
52.00	3.74	1.33	2.84	1.12	0.01	0.82	1.26	0.00	2.00	0.07	0.97	0.00	0.00	0.00	0.00	1.68
