Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.791s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
45.00	4.81	1.33	1.33	1.34	0.00	0.00	0.00	0.00	1.03	0.10	0.92	0.00	0.00	0.18	1.87
46.00	4.80	1.78	0.00	0.09	0.66	0.88	0.02	0.00	0.09	0.70	0.86	0.00	0.00	1.76	1.49
47.00	4.80	0.33	1.71	3.20	0.00	0.00	0.13	0.00	0.00	0.00	0.22	0.62	0.66	0.00	1.51
48.00	4.81	0.00	0.06	0.35	0.00	1.14	0.00	0.00	0.00	1.93	0.00	0.27	0.00	2.58	0.05
49.00	4.80	0.03	0.11	0.00	0.00	0.21	0.00	0.02	0.00	0.09	2.86	0.96	0.00	0.79	0.80
50.00	4.80	0.40	0.66	0.91	0.48	0.00	0.27	0.00	0.00	1.30	0.89	2.15	0.00	0.56	1.72
51.00	4.81	0.66	0.35	0.09	0.42	0.00	0.00	0.00	0.00	0.61	0.17	2.53	0.00	0.00	1.51
52.00	4.80	0.00	0.70	1.48	0.46	0.00	0.00	0.00	1.88	0.00	0.00	2.25	0.00	0.81	1.49
53.00	4.80	0.03	0.25	0.39	0.00	0.29	0.00	0.00	2.40	0.00	0.06	2.26	0.00	0.78	1.51
54.00	4.81	0.32	3.21	0.00	0.00	1.23	0.00	0.00	1.17	0.49	1.61	2.25	0.00	1.74	0.70
55.00	4.80	0.00	3.45	3.51	0.00	0.00	0.00	0.00	0.00	0.00	0.18	2.25	0.00	1.96	0.17
56.00	4.81	0.00	3.45	1.63	0.00	0.81	0.00	0.04	0.00	0.00	0.00	1.63	0.00	1.10	1.48
57.00	4.80	0.12	3.44	0.22	0.00	3.38	0.00	0.24	0.18	0.00	0.00	0.04	0.00	0.23	0.31
58.00	4.80	0.00	0.44	2.14	0.00	0.24	0.10	0.00	1.73	0.64	0.03	1.33	0.00	0.00	1.51
59.00	4.81	0.00	0.91	0.08	0.00	2.09	0.30	0.00	2.17	0.00	0.03	0.49	0.00	1.65	1.07
60.00	4.80	0.00	0.36	0.16	0.00	0.00	0.69	0.21	0.25	3.15	0.00	1.42	0.00	2.94	0.40
61.00	4.80	0.00	0.00	0.07	0.00	0.06	0.00	0.06	2.68	2.39	0.30	0.25	0.00	0.50	0.88
62.00	4.81	0.00	0.46	0.49	0.00	0.13	0.00	0.06	2.01	2.42	1.04	2.40	0.00	0.90	0.06
63.00	4.80	0.00	0.88	0.12	0.00	0.00	0.00	0.00	2.81	0.41	0.13	2.24	0.00	0.83	0.00
64.00	4.80	0.99	0.03	0.00	0.00	0.15	0.00	0.00	2.40	0.00	0.75	2.25	0.00	0.00	0.00
65.00	4.81	0.22	0.00	1.39	0.00	0.20	0.34	0.01	0.26	0.00	2.54	0.72	0.00	1.47	2.12
66.00	4.80	0.00	0.00	2.60	0.00	0.96	0.00	0.00	0.31	0.00	2.26	0.44	0.77	0.00	0.86
67.00	4.81	0.07	0.00	0.41	0.03	0.87	0.00	2.83	0.25	0.02	0.50	1.21	0.00	0.77	0.10
68.00	4.80	1.91	3.01	0.24	0.15	0.20	0.13	0.03	0.00	0.33	0.51	0.39	0.00	0.41	0.00
69.00	4.80	0.86	1.28	0.09	2.47	0.00	0.93	0.21	0.61	0.00	0.00	0.00	0.11	0.00	0.16
70.00	4.81	0.00	0.00	3.00	0.00	0.03	0.35	1.13	0.18	0.00	0.64	0.00	0.93	0.89	2.02
71.00	4.80	0.00	0.39	0.00	0.00	0.48	0.00	0.00	0.62	3.36	1.32	0.00	0.00	0.72	1.51
72.00	4.80	0.00	0.00	0.62	0.00	0.00	0.01	0.06	0.12	2.25	0.54	0.11	0.31	0.01	1.49
73.00	4.81	0.00	0.00	0.09	0.00	0.00	0.01	1.16	1.89	0.39	0.00	2.10	0.10	0.05	1.51
74.00	4.80	0.00	2.94	0.18	0.00	0.11	0.65	0.00	0.00	0.46	0.15	1.04	0.00	2.32	1.49
75.00	4.80	0.00	0.20	0.00	0.30	0.16	0.00	0.42	0.00	0.00	1.66	0.00	0.27	1.95	1.51
76.00	4.81	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.43	0.00	0.00	1.96	1.49
77.00	4.80	0.00	0.15	0.24	0.98	0.00	0.00	0.47	0.00	0.00	0.78	0.00	0.00	1.95	1.51
78.00	4.81	0.00	0.51	0.37	2.28	0.00	0.00	0.00	0.00	2.42	0.00	0.48	2.09	1.58	1.37
79.00	4.80	0.00	0.00	0.52	0.10	0.19	0.00	1.10	0.00	2.31	2.83	1.39	0.06	0.76	0.19
80.00	4.80	0.00	0.00	0.54	1.78	0.21	0.00	0.00	0.02	2.40	1.27	0.86	0.68	0.04	2.01
81.00	4.81	0.00	0.48	0.00	0.48	0.72	2.11	0.00	0.34	2.40	0.00	0.00	0.00	0.21	1.49
82.00	4.80	0.00	0.00	0.42	0.00	0.16	2.56	0.00	0.20	2.26	0.36	0.00	0.33	0.07	1.51
83.00	4.80	0.00	0.00	0.00	0.00	0.00	0.77	0.00	0.20	0.00	0.34	0.00	1.98	0.00	1.51
84.00	4.81	0.11	2.03	0.74	0.00	0.00	0.11	0.00	0.65	0.23	0.38	0.00	2.24	0.37	1.49
85.00	4.80	0.00	2.75	0.13	0.00	0.00	0.16	0.00	1.50	0.00	0.09	0.00	0.00	0.11	1.51
86.00	4.80	0.00	0.13	0.02	0.00	0.00	0.78	0.00	0.00	0.00	0.49	0.00	0.00	0.57	1.49
87.00	4.81	0.99	0.87	0.00	1.75	0.00	2.66	0.00	0.00	0.00	0.36	0.02	0.00	0.61	1.51
88.00	4.80	0.00	1.78	0.00	1.52	0.00	2.56	0.00	0.00	0.00	1.46	0.09	0.33	0.00	0.25
89.00	4.81	0.06	0.00	0.00	0.00	0.00	2.55	0.00	0.15	0.00	0.00	0.66	0.16	0.15	1.47
90.00	4.80	0.00	0.31	0.00	0.00	0.00	2.33	0.00	0.51	0.00	0.06	0.00	0.27	2.36	0.29
91.00	4.80	0.00	0.89	0.00	0.21	0.00	0.14	0.00	0.00	0.44	2.56	0.00	0.00	0.76	0.36
92.00	4.81	0.00	1.02	0.00	0.00	0.03	0.40	0.00	0.00	3.37	0.86	0.00	0.34	1.22	0.32
93.00	4.80	0.00	0.00	3.27	1.62	0.21	0.00	0.00	0.00	1.51	0.00	0.00	0.81	0.19	0.00
94.00	4.80	0.00	0.00	0.24	0.15	0.00	0.00	2.19	0.03	0.21	0.23	1.67	2.78	0.90	1.21
95.00	4.81	0.00	0.00	1.24	0.71	0.00	0.00	1.45	2.21	1.28	0.00	1.22	0.00	0.00	0.04
96.00	4.80	0.00	0.00	0.90	2.19	0.66	0.00	1.90	2.40	1.54	2.41	0.10	0.42	0.03	0.16
97.00	4.80	0.00	0.50	0.00	0.13	0.00	0.00	0.00	2.40	2.40	1.93	1.05	0.00	0.07	0.09
98.00	4.80	0.00	0.00	0.18	0.00	0.00	0.00	0.00	2.40	2.40	0.62	1.11	0.00	0.00	0.66
99.00	4.80	0.00	0.00	0.90	0.34	0.34	0.00	0.00	1.20	1.96	2.10	1.38	0.00	0.88	0.06
100.00	4.81	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.29	0.33	2.25	0.30	0.00	0.04	0.00
101.00	4.80	0.00	0.33	3.72	0.91	0.00	0.00	0.00	0.22	0.30	0.78	2.54	0.00	0.67	0.00
102.00	4.80	0.00	0.57	1.27	1.59	0.03	0.00	0.04	0.27	2.29	0.42	2.25	0.00	0.00	1.51
103.00	4.81	0.00	0.00	0.00	2.85	0.07	0.00	0.09	0.40	2.40	1.32	2.25	0.00	0.03	0.00
104.00	4.80	0.19	0.00	0.89	0.25	0.69	0.00	0.27	1.64	2.40	0.18	2.25	0.00	0.69	0.00
105.00	4.80	0.39	0.00	0.00	0.03	0.92	0.00	0.69	2.40	2.40	0.90	1.34	0.00	0.00	0.17
106.00	4.81	0.00	0.53	0.00	0.18	0.00	0.00	0.00	2.41	2.41	0.41	0.51	0.00	0.00	0.69
107.00	4.80	0.77	0.06	0.38	0.42	0.03	0.00	0.00	2.40	1.97	0.66	0.00	0.00	0.03	0.61
108.00	4.81	1.58	0.40	0.88	0.00	0.00	0.00	0.00	2.40	0.00	1.56	0.00	0.00	0.60	0.24
109.00	4.80	0.00	1.69	0.00	0.00	0.00	0.00	0.00	2.40	1.57	0.27	0.00	0.00	0.62	0.00
110.00	4.80	0.01	2.41	0.51	0.00	0.00	0.00	0.00	2.40	0.44	0.16	0.30	0.00	0.00	2.29
111.00	4.81	0.00	3.45	0.00	0.75	0.75	0.00	0.00	1.84	2.19	0.00	0.67	0.75	0.00	0.28
112.00	4.80	0.00	3.45	0.00	2.79	0.81	0.00	0.00	0.39	2.41	3.02	0.09	0.18	0.00	0.09
113.00	4.80	0.00	0.08	0.17	0.06	0.00	0.00	0.00	0.00	2.40	0.01	0.00	0.53	0.00	1.53
114.00	4.81	0.00	3.72	1.61	0.20	0.06	0.00	0.17	0.90	0.31	0.77	0.00	0.58	2.12	1.59
115.00	4.80	0.00	2.18	2.04	0.56	0.00	0.00	0.00	1.04	0.45	0.15	1.12	1.59	0.29	1.49
116.00	4.80	0.00	2.31	0.00	1.87	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.39	0.18	1.51
117.00	4.81	0.00	3.44	0.13	2.85	0.15	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	1.49
118.00	4.80	0.00	2.38	0.18	2.73	0.37	0.00	0.53	0.67	0.00	0.95	0.00	0.19	0.00	1.51
119.00	4.81	0.00	0.68	0.84	0.29	2.27	0.00	0.18	0.02	0.00	0.00	0.67	0.93	0.00	0.37
10.1.1.1	5.32	24.56
10.1.1.2	0.32	1694.40
10.1.1.3	0.97	883.11
10.1.1.4	0.67	591.14
10.1.1.5	0.78	802.44
10.1.1.6	0.34	4876.75
10.1.1.7	0.38	1227.61
10.1.1.8	0.29	1368.21
10.1.1.9	0.78	700.51
10.1.1.10	0.90	681.41
10.1.1.11	0.85	3727.30
10.1.1.12	0.90	2029.13
10.1.1.13	0.31	1414.90
10.1.1.14	0.73	925.84
10.1.1.15	1.01	1044.93
