Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.730s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
51.00	3.90	0.00	0.00	4.03	0.00	3.16	0.30	0.72	0.00	0.16	0.00	0.00	0.00
52.00	3.90	3.98	0.00	2.77	0.00	2.71	0.54	0.00	0.00	0.00	0.00	0.00	0.00
53.00	3.89	3.60	0.00	0.76	0.00	2.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00
54.00	3.90	2.12	0.00	0.00	0.00	2.90	3.59	0.11	0.00	0.00	0.00	1.73	1.20
55.00	3.90	0.00	0.00	3.46	0.00	2.70	2.57	0.97	0.00	0.00	0.00	1.96	0.51
56.00	3.89	0.07	0.00	1.09	0.00	2.70	0.00	0.21	0.00	0.00	0.00	0.63	0.00
57.00	3.90	0.87	0.00	0.00	0.00	2.11	2.45	0.00	0.00	0.00	0.01	0.54	1.98
58.00	3.90	0.69	0.09	0.00	0.00	1.08	0.03	0.00	0.00	0.00	0.70	0.00	1.80
59.00	3.89	0.00	0.48	1.50	0.00	0.00	0.25	0.00	0.00	0.00	1.17	0.00	1.80
60.00	3.90	0.00	0.76	0.63	0.00	0.43	2.14	0.00	0.00	0.00	1.41	0.10	0.31
61.00	3.90	1.91	2.08	0.00	0.00	0.00	0.93	0.99	0.00	0.00	2.25	0.00	0.22
62.00	3.89	2.39	3.30	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.74	0.00	0.00
63.00	3.90	0.00	3.30	0.03	0.00	0.81	2.11	0.00	0.72	0.00	0.22	0.00	0.12
64.00	3.90	0.00	0.35	2.21	0.00	2.64	0.00	0.00	0.00	0.00	0.00	1.62	0.00
65.00	3.89	0.21	0.11	1.05	0.00	1.02	0.21	0.00	0.00	0.00	1.32	1.20	0.00
66.00	3.90	3.13	0.35	0.90	0.00	3.13	0.00	0.00	0.00	0.00	0.00	0.24	0.00
67.00	3.90	3.60	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.78	0.00
68.00	3.89	1.50	1.65	0.04	0.00	2.64	0.30	0.00	0.00	0.00	1.81	1.96	0.00
69.00	3.90	1.99	0.00	0.17	0.00	2.70	1.78	0.00	0.00	0.00	2.25	1.95	0.00
70.00	3.90	3.60	0.59	1.24	0.00	0.87	1.51	0.00	0.00	0.09	1.19	1.01	0.20
71.00	3.89	1.18	0.38	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.53	0.35	0.54
72.00	3.90	0.99	2.46	0.43	0.00	0.00	1.63	0.00	0.00	0.00	2.62	0.18	0.50
73.00	3.90	0.00	3.30	2.69	0.00	0.00	0.33	0.00	0.00	2.24	2.25	0.00	0.02
74.00	3.90	0.54	1.26	1.47	0.00	0.00	0.00	0.00	0.00	0.82	1.20	0.00	0.30
75.00	3.90	0.47	3.59	0.08	2.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38
