Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.150s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
40.00	3.75	0.00	0.18	0.00	0.00	1.67	1.07	0.36	0.00	0.15	0.00	2.26	0.62	0.00	0.00	0.00	0.00
41.00	3.74	0.78	1.41	0.12	1.90	0.00	0.48	0.00	0.88	0.41	0.00	2.25	0.00	0.00	0.00	0.00	0.00
42.00	3.75	0.32	3.45	0.00	0.28	0.00	0.00	0.00	0.44	0.00	0.00	2.25	0.03	0.00	0.00	0.00	0.00
43.00	3.75	0.00	3.45	0.00	3.21	0.00	0.45	0.00	0.77	0.00	0.30	2.25	0.35	0.00	0.00	0.00	0.00
44.00	3.75	0.00	3.45	0.00	3.00	0.00	0.00	0.00	0.15	0.00	0.44	2.25	0.20	0.00	0.00	0.00	0.00
45.00	3.74	0.00	1.74	0.00	1.48	0.00	0.00	0.21	1.75	0.00	1.00	2.26	0.00	0.00	0.00	0.00	0.00
46.00	3.75	0.00	0.02	0.00	0.19	0.00	0.46	0.44	0.00	0.00	0.00	2.25	0.00	0.00	0.00	0.00	1.62
47.00	3.75	0.00	3.29	0.00	0.43	0.05	0.60	1.12	1.47	0.00	0.00	2.25	0.00	0.00	0.00	0.00	0.15
48.00	3.74	0.00	0.46	0.01	0.00	0.07	0.01	2.54	0.00	1.28	0.00	2.25	0.22	0.00	0.00	0.00	0.48
49.00	3.75	0.67	1.99	0.00	0.43	0.04	3.59	0.00	0.08	0.20	0.00	2.26	0.67	0.00	0.00	0.00	0.00
50.00	3.75	0.00	1.52	0.00	0.00	0.28	1.27	0.72	0.08	1.02	0.00	2.25	0.00	0.00	0.00	0.00	0.00
51.00	3.75	0.00	0.00	0.56	0.00	0.60	0.00	1.01	0.32	1.02	0.17	2.25	0.00	0.00	0.00	0.00	0.00
52.00	3.74	0.00	2.39	0.36	1.82	0.00	3.42	0.00	0.20	0.00	0.00	2.25	0.17	0.00	0.00	0.00	0.00
53.00	3.75	0.00	0.00	0.00	0.78	0.00	2.04	0.00	0.52	0.00	0.00	2.26	0.15	0.00	0.00	0.00	0.00
54.00	3.75	0.00	1.01	2.41	0.00	0.00	0.86	0.14	2.57	0.00	0.00	1.30	0.30	0.00	0.00	0.00	0.00
55.00	3.75	0.48	0.15	0.00	0.00	1.44	1.19	3.16	0.00	0.46	0.00	1.53	0.00	0.00	0.00	0.00	0.46
56.00	3.75	0.04	0.63	0.00	0.16	0.00	3.04	1.09	0.00	1.91	0.00	2.06	0.90	0.00	0.00	0.00	0.00
57.00	3.75	2.07	0.00	0.00	0.32	0.87	0.02	1.38	1.57	0.88	0.00	0.66	0.48	0.00	0.00	0.00	0.04
58.00	3.75	0.01	0.27	0.00	0.19	0.00	2.14	2.85	0.00	0.10	1.23	0.04	0.43	0.00	0.00	0.00	0.00
59.00	3.74	1.53	0.25	0.00	0.00	0.00	0.31	0.01	0.81	0.00	1.46	0.08	1.26	0.00	0.00	0.00	0.00
60.00	3.75	0.45	1.04	0.00	0.24	0.00	2.98	0.85	1.93	0.00	0.73	1.78	0.25	0.00	0.00	0.00	0.00
61.00	3.75	0.53	0.26	0.00	0.45	0.00	2.85	0.00	1.92	0.00	1.80	3.06	0.12	0.00	0.00	0.00	0.00
62.00	3.75	0.00	0.30	0.00	0.80	0.00	1.54	0.00	0.37	0.00	0.80	1.31	0.00	1.06	0.00	0.00	0.00
