Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.815s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
28.00	4.95	1.45	1.37	0.40	0.00	0.00	0.00	0.66	1.38	0.28	0.32	0.00	1.48	0.90	0.00	0.00	0.00	0.61	0.00	0.61	1.44	0.00	0.00	0.00	0.00
29.00	4.95	0.00	0.00	1.45	0.00	0.00	1.48	0.51	0.21	0.00	0.01	1.49	0.24	0.00	0.00	0.00	0.00	0.53	1.15	0.98	0.05	0.00	0.00	0.00	0.00
30.00	4.96	0.26	0.00	0.23	0.00	0.00	2.33	1.33	0.10	0.00	0.36	0.83	0.71	0.03	0.00	1.22	0.19	0.35	0.00	0.00	0.03	0.00	0.00	0.00	0.00
31.00	4.95	0.15	0.61	2.47	0.00	0.00	1.28	0.11	0.03	0.00	1.27	0.48	2.02	1.85	0.00	0.07	0.45	0.03	0.33	0.13	0.00	0.00	0.00	0.00	0.00
32.00	4.95	0.52	0.00	0.46	0.00	0.00	1.99	0.54	1.39	0.00	0.00	0.51	0.00	0.00	0.00	1.28	1.14	0.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00
33.00	4.96	0.00	2.09	0.00	0.00	0.66	1.84	0.14	0.88	0.00	0.00	1.61	1.94	0.00	0.00	1.52	0.13	0.01	0.00	0.00	0.00	0.26	0.00	0.00	0.00
34.00	4.95	0.78	0.00	0.00	0.00	1.82	0.00	0.90	0.00	0.00	0.62	0.00	0.34	0.00	0.00	0.09	0.55	0.00	0.53	0.00	0.00	1.29	0.00	0.00	0.00
35.00	4.95	0.00	0.00	0.00	0.00	1.49	0.00	0.60	0.00	0.10	0.22	0.00	0.00	0.00	0.00	1.44	1.25	0.51	1.52	2.34	0.00	0.00	0.00	0.00	0.00
36.00	4.95	0.09	0.00	2.25	0.00	0.00	0.00	0.74	2.24	1.01	0.36	0.57	0.05	0.71	0.19	0.76	0.27	0.00	0.61	0.27	0.00	0.00	0.00	0.00	0.00
37.00	4.96	0.00	2.26	0.24	1.22	0.55	0.00	0.29	1.93	0.00	0.11	0.42	0.52	0.00	0.03	1.47	0.96	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.00
38.00	4.95	0.13	0.00	0.00	0.00	2.83	0.00	0.21	0.63	0.00	0.07	0.17	2.00	0.00	0.02	0.38	0.00	0.98	1.28	0.00	0.00	0.00	0.00	0.00	0.00
39.00	4.95	0.00	4.06	0.00	0.00	0.00	0.00	1.15	1.18	0.00	0.18	0.34	0.82	0.00	0.00	0.62	0.00	0.00	1.36	0.53	0.00	0.00	0.00	0.00	0.00
40.00	4.96	0.00	1.55	0.15	0.18	0.00	0.00	0.04	1.46	0.00	0.00	0.06	0.73	0.69	0.00	0.00	0.15	0.00	0.88	0.00	0.01	0.00	0.00	0.00	0.00
41.00	4.95	0.00	0.15	2.86	0.00	0.00	3.67	0.07	1.14	0.00	3.03	1.73	1.83	0.13	0.00	0.06	0.08	0.00	0.06	0.20	0.00	0.30	0.00	0.00	0.00
42.00	4.95	0.00	0.00	0.00	0.00	0.14	1.96	0.00	0.27	0.00	0.43	0.46	0.39	0.00	0.00	0.13	0.03	0.00	1.10	1.86	0.51	0.69	0.00	0.00	0.00
43.00	4.96	0.00	0.00	0.63	0.00	0.37	0.01	0.00	0.67	0.00	1.33	0.18	0.00	0.69	0.00	1.16	0.61	0.00	0.06	0.16	1.53	0.00	0.00	0.00	0.00
44.00	4.95	0.00	0.99	0.22	1.80	2.29	0.68	0.00	3.28	0.00	0.00	0.00	1.24	0.06	0.00	0.74	0.22	0.00	2.33	0.00	0.00	0.00	0.00	0.00	0.00
45.00	4.95	0.30	0.00	0.03	0.38	0.00	0.00	0.76	1.48	0.00	3.16	1.72	0.72	0.13	0.00	1.12	0.00	0.00	1.34	1.40	0.30	0.00	0.00	0.00	0.00
46.00	4.96	1.17	4.10	0.38	0.00	0.00	0.00	0.00	0.00	0.00	2.41	0.21	0.06	0.06	0.00	1.58	0.00	0.00	0.62	1.32	0.00	0.00	0.00	0.00	0.00
47.00	4.95	0.00	0.13	3.01	0.39	0.00	0.11	0.00	0.62	0.00	0.37	0.00	0.00	0.86	0.00	0.00	0.34	0.00	0.00	0.00	0.05	1.26	0.00	0.20	0.00
48.00	4.95	1.14	0.08	0.00	0.00	0.00	0.00	0.00	1.28	0.00	1.01	0.00	1.04	0.87	0.00	0.03	1.11	0.00	0.92	0.37	1.25	0.00	0.00	0.00	0.00
49.00	4.96	0.00	0.91	0.21	0.00	0.00	0.00	0.00	3.04	0.00	1.55	0.34	1.87	0.00	0.00	0.70	0.05	0.00	0.00	1.53	0.05	0.00	0.03	0.00	0.00
50.00	4.95	0.00	0.00	0.01	0.00	0.00	0.02	0.62	2.70	0.00	2.00	1.12	1.55	0.00	0.00	0.03	0.00	0.00	0.03	1.00	0.02	0.19	0.03	0.00	0.00
51.00	4.95	1.95	0.13	0.00	1.20	0.00	1.17	0.49	0.07	0.00	0.00	2.46	1.74	0.00	0.00	0.57	0.00	0.00	0.80	0.00	0.00	0.62	0.00	0.00	0.00
52.00	4.95	0.21	0.00	0.22	0.00	0.01	2.42	0.10	2.56	0.00	0.00	0.96	1.59	0.00	1.40	0.00	0.00	0.00	0.03	0.32	0.30	0.00	0.00	0.00	0.00
53.00	4.96	0.34	1.63	0.16	0.00	0.63	1.15	0.00	0.00	0.00	0.27	1.85	0.12	0.00	0.00	0.10	0.00	0.00	0.77	0.38	0.09	0.00	0.00	0.03	0.00
54.00	4.95	0.04	0.18	1.51	0.34	1.46	0.03	0.14	0.00	0.00	0.00	2.43	0.44	0.00	0.00	1.35	0.00	0.61	0.00	0.00	0.01	0.00	0.01	0.00	0.48
55.00	4.95	0.86	0.00	1.04	0.00	0.14	0.57	0.15	0.32	0.00	0.49	0.19	1.88	0.17	0.00	0.00	0.00	0.00	0.81	0.11	0.90	0.00	1.75	0.00	0.09
56.00	4.96	0.30	0.00	0.90	0.00	0.04	2.46	0.32	0.27	0.00	0.89	2.69	0.42	0.32	0.00	1.19	0.00	0.00	1.48	0.01	0.31	0.10	0.06	0.00	0.00
57.00	4.95	2.77	0.11	0.51	0.00	0.00	0.35	0.00	0.00	0.00	1.24	1.02	1.58	0.12	0.00	0.42	0.32	0.00	0.52	0.82	1.08	0.00	0.00	0.00	0.00
58.00	4.95	2.79	0.00	0.00	0.00	0.11	0.90	0.22	0.00	0.00	2.40	0.79	0.32	0.00	0.11	0.00	0.01	0.00	1.88	0.40	0.00	0.00	0.00	0.00	0.19
59.00	4.96	0.03	3.24	0.03	0.00	0.03	0.06	1.62	0.48	0.00	0.68	0.23	0.84	0.53	0.00	0.33	0.00	0.00	0.36	0.69	0.00	0.00	0.00	0.00	0.00
60.00	4.95	0.48	0.85	0.15	0.00	0.32	0.00	0.18	2.08	0.00	0.11	0.24	0.00	0.50	0.00	1.84	0.48	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00
61.00	4.95	0.99	0.00	0.51	0.20	0.73	0.07	0.00	2.68	0.00	0.78	0.94	0.76	0.23	0.01	0.24	0.00	0.75	0.00	0.35	0.00	1.51	0.00	0.00	0.00
62.00	4.96	1.29	0.18	0.38	0.00	1.38	1.46	0.00	0.25	0.00	0.43	0.00	0.37	2.21	0.01	2.05	0.00	0.00	0.00	0.36	0.00	0.14	0.00	0.00	0.48
63.00	4.95	0.33	2.68	0.00	0.00	0.32	1.22	0.00	0.04	0.00	1.71	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.19	0.98	0.00	0.00	0.00	0.00	0.41
64.00	4.95	0.00	0.00	1.89	0.00	1.33	0.95	0.00	0.00	0.00	0.24	0.00	0.00	0.94	0.00	1.85	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.00	0.99
65.00	4.96	0.00	3.31	0.09	0.00	0.00	0.00	0.00	1.81	0.00	0.00	2.93	0.03	0.22	0.00	0.00	0.54	0.00	0.00	0.51	0.10	0.01	0.00	0.00	0.57
66.00	4.95	2.41	0.22	0.14	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.27	2.34	1.57	0.00	0.07	0.00	0.00	1.60	0.00	0.25	0.00	0.00	0.00	0.02
67.00	4.95	2.10	0.06	1.60	0.00	0.03	2.72	0.00	0.11	0.00	1.28	0.12	0.80	0.37	0.00	0.58	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.71
68.00	4.95	1.03	1.20	0.00	1.32	0.00	2.53	0.00	0.09	0.00	0.14	0.06	0.15	0.29	0.02	0.89	0.00	0.00	0.18	0.19	0.00	0.00	0.00	0.00	0.00
69.00	4.95	2.60	0.00	0.06	0.00	0.00	0.42	0.00	1.52	0.00	1.36	0.51	0.04	0.07	0.18	0.00	0.33	0.00	0.38	0.07	0.00	0.00	0.00	0.00	0.96
70.00	4.95	0.00	0.00	0.04	0.00	0.77	2.19	0.00	1.68	0.00	2.19	0.00	0.21	0.92	1.25	0.51	1.14	0.61	0.00	0.15	0.00	0.00	0.00	0.00	0.00
71.00	4.95	0.13	0.00	2.42	0.00	0.55	1.68	0.00	0.29	0.00	2.40	1.95	0.76	0.56	0.00	0.09	0.00	0.00	0.00	0.83	0.00	0.00	0.00	0.00	0.00
72.00	4.96	0.06	0.61	1.49	0.00	0.29	0.00	0.00	0.00	0.00	2.40	0.00	1.33	0.00	0.04	1.01	0.00	0.00	0.22	0.42	0.00	0.00	0.00	0.00	0.00
73.00	4.95	0.20	1.24	0.04	0.00	0.00	1.90	0.00	3.24	0.00	1.90	0.28	1.09	0.00	1.04	0.18	0.01	0.00	0.00	1.17	0.12	0.00	0.00	0.00	0.00
74.00	4.95	2.55	1.34	1.36	0.00	1.77	0.50	0.00	0.14	0.00	0.19	0.00	0.00	0.18	0.00	1.89	0.00	0.00	0.00	1.36	0.00	0.00	0.00	0.00	0.00
75.00	4.96	0.56	0.30	0.00	0.00	0.94	1.11	0.00	0.00	0.00	0.00	0.00	1.93	0.83	0.00	0.27	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00
76.00	4.95	1.81	0.49	0.00	0.00	0.00	1.40	0.48	1.27	0.00	1.28	0.00	0.34	0.06	0.00	0.00	0.00	0.00	1.68	0.00	0.00	0.00	0.00	0.00	1.09
77.00	4.95	0.00	0.06	1.14	0.00	0.90	0.01	1.27	0.14	0.00	1.58	0.00	0.02	3.08	0.71	0.55	0.30	0.00	0.02	0.61	0.03	0.00	0.00	0.00	0.05
78.00	4.96	0.00	0.00	0.00	0.00	2.05	0.06	1.52	1.23	0.00	0.31	1.57	0.50	0.95	0.00	1.22	0.00	0.00	0.48	0.66	0.18	0.00	0.00	0.00	0.00
79.00	4.95	0.00	0.00	0.00	0.00	0.27	0.00	1.81	0.14	0.00	1.18	1.99	0.00	0.04	0.00	0.52	0.00	0.00	0.00	0.71	1.32	0.00	0.00	0.00	0.00
80.00	4.95	0.01	0.82	0.06	0.00	0.00	0.29	0.92	3.08	0.00	0.09	0.00	0.03	1.17	0.04	0.06	0.25	0.00	0.11	1.81	0.92	0.02	0.00	0.00	0.00
81.00	4.96	0.30	2.38	0.21	0.00	0.30	0.32	0.00	0.00	0.00	0.94	0.16	1.43	1.18	0.08	1.17	0.21	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00
82.00	4.95	3.55	3.21	1.32	0.00	1.08	0.01	0.00	0.83	0.00	0.00	0.37	0.38	1.38	0.00	1.06	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.00
