Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.945s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	3.74	3.59	1.21	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00
3.00	3.75	3.60	2.59	0.29	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.84	0.00	2.53	0.00	0.00	0.00
4.00	3.75	3.60	3.45	0.06	0.53	0.00	0.00	0.00	3.64	2.98	0.00	0.00	0.00	1.95	0.00	0.00	0.00
5.00	3.74	3.60	0.07	0.04	1.75	0.04	0.00	0.00	2.70	0.07	1.49	0.09	0.04	0.09	0.69	0.00	0.00
6.00	3.75	3.59	0.41	0.00	3.00	0.51	0.00	0.00	2.70	3.08	1.40	2.51	0.00	0.49	0.00	0.00	0.00
7.00	3.75	3.60	0.09	3.75	1.74	0.15	0.00	0.00	1.62	0.78	2.70	2.25	0.00	0.23	0.00	0.00	0.00
8.00	3.75	3.60	1.43	3.45	0.92	0.08	0.00	0.01	0.21	0.21	0.62	2.25	0.00	0.13	0.72	0.00	0.04
9.00	3.74	3.60	0.00	3.32	0.00	0.21	0.00	1.33	3.19	1.32	0.33	2.25	0.00	0.47	0.00	0.00	0.00
10.00	3.75	3.59	3.87	1.04	1.08	0.98	0.00	0.39	0.82	2.70	0.31	2.26	0.00	0.00	0.00	0.00	0.00
11.00	3.75	3.60	3.45	1.01	2.52	0.00	0.00	0.00	0.92	0.02	0.51	2.25	0.00	0.39	0.00	0.00	0.00
12.00	3.74	3.60	3.44	0.12	3.00	0.00	0.00	0.00	1.23	0.54	0.41	2.25	0.00	0.12	0.00	0.00	0.00
13.00	3.75	3.60	3.45	0.00	3.00	0.48	0.00	0.00	2.70	0.00	0.04	2.25	0.00	0.13	0.00	0.00	0.00
14.00	3.75	3.60	0.87	0.16	0.79	0.51	0.00	0.00	2.54	0.61	1.40	2.25	0.28	0.29	0.00	0.00	0.00
15.00	3.75	3.59	0.59	3.30	0.00	0.07	0.00	0.00	0.00	0.14	0.95	2.25	0.00	0.29	0.00	0.00	0.00
16.00	3.74	3.60	0.32	0.14	0.00	0.00	0.00	0.00	3.43	0.00	0.00	2.25	2.93	0.00	0.00	0.00	0.00
17.00	3.75	3.60	0.00	0.00	0.23	0.00	0.00	0.80	2.71	2.42	0.00	0.62	1.96	1.33	0.06	0.00	0.91
18.00	3.75	3.60	0.00	0.00	0.41	0.64	0.00	0.17	2.70	2.70	0.00	2.62	1.71	0.00	0.18	0.00	0.00
19.00	3.75	3.59	0.22	0.78	1.16	0.12	0.00	2.74	2.69	2.70	1.04	2.25	0.00	0.00	0.62	0.00	0.15
20.00	3.75	3.60	4.38	0.20	0.00	0.00	0.00	0.00	0.02	1.30	0.46	2.26	0.00	0.78	0.45	0.00	0.06
21.00	3.75	3.60	0.82	1.67	0.56	0.00	0.00	0.14	0.54	0.00	0.90	2.25	0.06	0.00	1.12	0.00	0.40
22.00	3.75	3.60	0.43	0.07	0.60	0.00	0.00	0.42	0.61	3.51	0.00	2.25	1.67	0.00	0.00	0.00	0.04
23.00	3.74	3.60	0.66	1.76	0.64	0.00	0.00	1.53	0.50	2.70	0.00	2.26	1.95	0.00	0.00	0.00	0.00
24.00	3.75	3.59	0.00	0.00	0.48	0.27	0.00	1.90	0.05	1.70	0.00	2.25	1.95	1.46	0.00	0.00	0.61
25.00	3.75	3.60	0.00	1.02	1.88	0.03	0.00	1.37	0.45	0.27	0.00	2.25	1.96	0.24	0.00	0.00	0.00
26.00	3.75	3.60	0.77	0.00	1.07	0.00	0.00	0.92	0.84	2.71	0.72	2.25	0.51	0.13	0.00	0.00	0.00
27.00	3.74	3.60	0.00	1.38	1.57	0.00	0.00	0.00	0.00	0.52	0.36	2.26	0.22	1.29	0.00	0.00	1.56
28.00	3.75	3.59	0.00	0.94	1.10	0.11	0.00	1.22	3.17	1.23	0.86	2.25	0.54	0.15	0.00	0.00	0.71
29.00	3.75	3.60	0.11	0.32	0.63	0.00	0.00	0.00	2.70	0.00	0.16	2.25	0.81	1.58	0.22	0.00	0.02
30.00	3.74	3.60	0.77	2.33	0.42	0.00	0.00	0.05	2.70	3.57	0.00	2.21	0.00	0.00	1.17	0.00	0.00
31.00	3.75	3.60	1.33	0.90	1.11	0.61	0.00	0.33	0.18	2.71	0.48	0.04	0.14	2.19	0.02	0.00	0.00
32.00	3.75	3.59	0.00	0.64	1.79	0.00	0.00	0.00	0.51	1.22	0.00	2.86	0.92	0.89	0.00	0.00	0.00
33.00	3.75	3.60	0.00	0.00	3.01	0.17	0.00	0.00	0.38	0.04	0.48	2.25	0.15	1.17	0.00	0.00	0.00
34.00	3.74	3.60	2.83	0.03	0.78	0.00	0.00	0.67	0.00	0.00	0.41	2.25	0.89	0.00	0.00	0.00	0.00
35.00	3.75	3.60	3.44	0.00	0.15	0.00	0.00	0.00	1.54	1.45	0.00	2.25	0.33	0.59	0.00	0.00	0.00
36.00	3.75	3.60	3.45	0.00	0.61	0.52	0.00	0.31	0.87	0.00	1.61	1.30	0.04	0.51	0.00	0.00	0.00
37.00	3.75	3.59	3.45	0.00	0.31	0.00	0.00	0.00	0.00	2.63	2.69	0.43	2.58	0.17	0.00	0.00	0.00
38.00	3.75	3.60	3.45	0.00	3.65	0.96	0.00	0.03	0.86	0.43	0.78	0.10	1.96	0.58	0.34	0.00	0.00
39.00	3.75	3.60	3.45	0.10	3.00	0.00	0.00	0.66	0.76	1.26	0.00	1.03	1.95	0.00	0.00	0.00	0.52
40.00	3.75	3.60	1.40	0.72	2.46	1.39	0.00	0.39	1.94	0.99	0.00	0.80	0.73	1.95	0.57	0.00	0.00
41.00	3.74	3.59	0.00	1.54	3.00	0.00	0.00	0.10	0.82	0.22	2.71	0.00	0.37	1.15	0.00	0.00	0.00
42.00	3.75	3.60	0.00	0.30	3.00	0.47	0.00	0.00	2.09	0.98	0.05	0.00	0.97	0.04	0.00	0.00	0.09
43.00	3.75	3.60	0.00	0.89	2.99	0.04	0.00	0.69	2.70	1.50	0.00	2.06	0.19	0.46	0.00	0.00	0.00
44.00	3.75	3.60	0.00	0.13	1.96	0.00	0.00	1.54	0.78	2.03	0.00	2.25	0.10	0.58	0.00	0.00	0.00
45.00	3.74	3.60	0.00	1.76	0.00	0.63	0.00	0.00	0.07	0.00	0.00	2.26	0.63	0.00	1.73	0.00	0.00
46.00	3.75	3.59	0.00	3.44	0.00	0.12	0.00	0.00	1.05	0.96	0.45	2.25	0.15	0.12	1.80	0.00	0.00
47.00	3.75	3.60	0.59	0.10	0.28	0.40	0.00	0.00	2.90	1.11	0.71	2.25	0.00	0.78	0.00	0.00	0.00
48.00	3.74	3.60	1.26	0.85	0.00	0.00	0.00	0.00	2.70	1.10	0.15	1.49	2.40	0.00	0.21	0.00	0.00
49.00	3.75	3.60	1.55	0.00	0.00	0.62	0.00	0.00	2.70	2.93	0.34	2.43	1.96	0.00	0.00	0.00	0.00
50.00	3.75	3.59	0.00	0.00	0.00	0.35	0.00	0.00	2.70	2.70	0.04	1.07	1.95	0.00	0.00	0.00	0.10
51.00	3.75	3.60	0.30	0.11	0.27	0.36	0.00	0.00	2.70	2.51	1.28	0.00	1.95	0.01	0.00	0.00	0.16
52.00	3.74	3.60	0.19	0.00	0.00	2.53	0.00	0.00	2.71	0.00	1.94	0.00	1.96	0.00	0.00	0.00	0.00
53.00	3.75	3.60	0.00	0.00	0.26	0.04	0.00	0.00	2.70	0.52	1.21	0.94	1.95	0.00	0.00	0.00	1.35
54.00	3.75	3.59	1.35	0.00	0.21	0.00	0.00	0.00	2.70	1.54	0.42	0.00	1.95	0.00	0.00	0.00	0.90
55.00	3.75	3.60	3.45	1.35	0.00	0.00	0.00	0.00	2.70	0.00	0.53	0.28	0.02	0.00	1.93	0.00	0.90
56.00	3.74	3.60	2.64	2.11	0.15	0.11	0.00	0.00	1.35	0.33	2.28	0.00	0.19	0.11	1.27	0.00	0.90
57.00	3.75	3.60	3.82	3.21	0.60	0.00	0.00	0.00	0.00	0.88	0.17	0.62	0.21	0.00	0.45	0.00	0.49
58.00	3.75	3.60	3.01	0.00	0.57	0.00	0.00	0.00	2.80	0.32	0.70	0.37	1.69	0.00	1.92	0.00	0.94
59.00	3.74	3.59	0.02	1.85	0.65	0.00	0.00	0.05	2.24	0.06	0.56	0.09	1.61	0.00	0.00	0.00	0.04
60.00	3.75	3.60	0.89	0.00	2.20	0.00	0.00	0.00	3.16	3.28	0.00	0.54	0.00	0.00	0.41	0.00	0.48
61.00	3.75	3.60	0.00	0.00	3.00	0.61	0.00	0.00	2.70	2.71	3.09	0.00	0.51	0.52	0.31	0.00	0.30
62.00	3.75	3.60	0.06	0.00	3.00	0.00	0.00	0.00	1.05	0.88	2.70	0.95	0.21	0.42	0.00	0.00	0.01
63.00	3.74	3.59	0.06	0.00	3.00	0.16	0.00	0.32	0.00	0.91	2.70	0.46	0.10	0.42	0.00	0.00	0.15
64.00	3.75	3.60	0.53	0.27	3.00	0.00	0.00	0.06	1.00	0.00	2.70	0.16	0.60	0.24	0.08	0.00	0.00
65.00	3.75	3.60	1.04	1.93	1.46	0.69	0.00	0.00	0.00	0.16	2.71	0.00	0.15	0.00	0.61	0.00	0.47
66.00	3.74	3.60	0.56	0.84	0.20	0.00	0.00	1.13	0.85	1.57	1.38	0.07	0.12	0.64	0.00	0.00	0.24
67.00	3.75	3.60	0.14	0.43	0.00	0.17	0.00	0.00	2.32	0.00	0.91	0.52	2.95	1.48	1.39	0.00	0.59
68.00	3.75	3.59	0.70	0.38	1.73	0.00	0.00	0.00	2.70	0.00	0.00	1.71	1.95	0.62	0.86	0.00	0.00
69.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	2.70	1.96	0.29	0.94	1.95	0.00	0.06	0.00	0.00
70.00	3.74	3.60	0.00	0.87	0.00	0.02	0.00	2.05	2.70	1.02	0.04	0.19	0.92	1.13	0.00	0.00	0.00
71.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	2.70	0.00	0.38	0.38	2.05	0.00	0.34	0.00	0.10
72.00	3.75	3.59	0.00	0.00	0.12	0.00	0.00	0.64	2.70	0.00	0.44	0.85	1.95	0.00	0.00	0.00	0.84
73.00	3.75	3.60	0.00	0.70	0.00	0.33	0.00	0.42	2.70	1.11	0.51	0.00	1.96	1.97	0.19	0.00	0.15
74.00	3.74	3.60	0.00	0.15	0.00	0.00	0.00	0.52	0.72	0.73	1.17	0.06	1.95	0.00	0.01	0.00	0.00
75.00	3.75	3.60	0.00	0.34	0.37	0.00	0.00	0.00	1.13	0.29	0.81	2.19	1.95	0.00	1.80	0.00	0.87
76.00	3.75	3.60	0.00	0.00	0.00	0.46	0.00	0.00	0.83	0.17	0.53	2.25	1.96	0.00	0.14	0.00	0.88
77.00	3.74	3.59	0.00	1.11	3.77	0.00	0.00	0.06	0.00	0.07	0.00	1.45	0.99	0.00	0.75	0.00	0.00
78.00	3.75	3.60	0.00	0.78	3.00	0.00	0.00	0.42	3.26	0.00	0.00	1.07	0.00	0.00	0.00	0.00	1.50
79.00	3.75	3.60	0.00	1.96	3.00	0.00	0.00	0.00	2.69	0.16	0.92	1.98	0.00	0.00	0.00	0.00	0.00
80.00	3.75	3.60	0.00	0.00	1.01	0.00	0.00	0.00	0.01	2.82	3.13	0.00	0.00	0.35	0.00	0.00	1.39
81.00	3.74	3.59	0.00	0.06	0.00	0.00	0.00	0.00	0.67	2.70	2.69	2.04	0.54	0.00	0.24	0.00	0.90
82.00	3.75	3.60	0.00	0.72	0.00	0.00	0.00	0.00	1.18	2.70	1.11	2.25	0.19	0.52	0.11	0.00	0.37
83.00	3.75	3.60	0.00	2.01	0.00	0.00	0.00	0.00	0.00	2.70	0.99	2.26	0.04	0.81	0.60	0.00	0.00
84.00	3.74	3.60	0.71	3.45	0.05	0.00	0.00	0.00	0.03	2.70	1.51	2.25	0.96	0.10	0.00	0.00	0.17
85.00	3.75	3.59	0.56	0.25	0.26	0.00	0.00	0.71	0.15	0.24	1.02	2.25	2.33	0.00	0.00	0.00	0.00
86.00	3.75	3.60	0.00	1.09	0.15	0.00	0.00	2.50	0.18	0.37	0.62	0.61	0.52	1.17	0.00	0.00	0.72
87.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	2.66	1.24	0.00	1.78	0.02	0.28	0.00	0.00	0.00	0.00
88.00	3.74	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.22	0.00	2.62	0.80	0.00	0.00
89.00	3.75	3.60	0.00	0.00	3.05	0.00	0.00	1.10	0.00	0.30	0.39	2.81	0.27	0.51	0.00	0.00	0.00
90.00	3.75	3.59	0.00	1.94	3.00	0.00	0.00	0.00	0.96	0.65	0.00	2.25	0.30	0.00	0.00	0.00	0.00
91.00	3.75	3.60	0.00	3.19	2.87	0.00	0.00	0.00	2.66	0.00	0.00	2.25	0.40	0.69	0.02	0.00	0.00
92.00	3.74	3.60	0.17	0.00	0.00	0.00	0.00	0.00	0.00	1.56	1.80	2.26	0.14	0.13	1.42	0.00	0.00
93.00	3.75	3.60	1.52	0.00	0.00	0.00	0.00	0.00	0.00	2.48	2.70	2.25	0.71	0.00	1.81	0.00	0.48
