Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.754s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	4.49	3.59	3.44	0.00	0.00	0.04	0.00	0.00	0.04	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	4.49	3.60	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.01	0.00	0.03	0.00	0.00	0.00	1.71	0.00	0.00	0.43	0.04	0.00
4.00	4.51	3.60	3.45	0.10	2.87	0.41	0.00	0.00	0.86	0.24	0.00	3.16	0.00	0.00	0.00	0.82	0.36	0.00	0.00	2.05	0.00	0.00
5.00	4.49	3.60	3.45	0.00	0.05	0.00	0.00	1.29	0.00	0.64	0.00	2.25	0.00	0.21	0.00	0.28	0.93	0.00	0.64	1.80	0.00	0.45
6.00	4.51	3.59	3.45	0.00	0.47	3.78	0.00	0.84	0.51	0.00	0.00	2.09	1.16	0.04	0.00	0.03	0.00	0.00	0.90	1.80	0.00	1.07
7.00	4.49	3.60	3.44	0.13	0.00	2.86	0.00	0.00	0.68	0.78	0.00	2.25	1.53	0.91	0.00	0.42	0.00	0.01	1.52	1.81	0.00	0.16
8.00	4.51	3.60	3.45	0.00	0.00	0.72	0.00	0.56	0.41	0.06	0.54	0.56	1.06	0.00	0.46	0.42	2.19	0.82	1.11	1.80	0.46	0.37
9.00	4.49	3.60	3.45	0.00	0.68	1.57	0.00	0.64	2.45	0.61	0.54	0.70	1.05	1.13	1.15	1.04	1.95	0.00	1.36	0.22	0.00	0.25
10.00	4.51	3.59	3.45	0.02	0.00	0.19	0.00	0.00	0.49	2.37	0.33	0.98	0.01	0.22	1.18	0.95	1.12	0.49	1.58	0.20	0.00	0.52
11.00	4.49	3.60	3.45	0.00	0.00	1.58	2.69	0.09	0.00	0.34	0.00	1.17	0.55	0.09	0.09	0.00	1.45	0.72	0.08	0.01	1.44	0.17
12.00	4.51	3.60	3.45	2.16	0.04	0.00	0.00	0.65	0.00	0.00	0.05	1.19	0.00	0.22	0.24	2.83	1.95	1.30	0.09	0.28	0.98	0.93
13.00	4.49	3.60	3.44	0.03	0.00	1.63	3.13	2.04	0.00	1.55	0.66	0.00	0.42	0.14	0.12	0.22	1.95	0.00	0.00	0.03	0.00	0.06
14.00	4.51	3.60	3.45	0.12	0.00	2.71	2.65	0.66	0.58	0.00	1.62	0.54	0.00	0.47	0.00	0.41	0.50	0.00	0.51	0.60	2.22	1.89
15.00	4.49	3.59	3.45	1.24	0.82	0.36	0.00	0.37	0.00	2.98	0.00	2.67	0.00	0.30	0.01	0.00	0.60	1.14	0.00	0.51	0.07	0.34
16.00	4.49	3.60	3.45	0.00	1.36	0.75	2.59	1.72	0.00	2.40	0.00	0.00	0.54	0.33	1.43	0.00	2.52	0.00	0.00	0.00	2.09	0.00
17.00	4.51	3.60	3.45	0.25	0.04	0.00	0.41	0.02	0.19	2.41	0.32	0.12	1.09	0.28	1.35	1.70	0.24	0.16	0.34	0.00	1.37	0.00
18.00	4.49	3.60	3.45	1.29	0.30	0.24	0.06	0.48	0.58	1.59	0.35	0.00	2.25	1.46	1.16	0.00	0.49	1.07	0.00	0.00	0.59	1.92
19.00	4.51	3.59	3.44	0.00	0.00	2.57	0.29	2.55	0.09	0.87	2.18	0.45	2.25	0.00	1.15	0.00	0.12	0.15	0.98	0.00	0.88	1.34
20.00	4.49	3.60	3.45	0.00	0.93	0.85	0.46	0.74	0.00	0.41	0.02	1.82	2.26	3.07	0.01	0.15	0.45	0.00	0.00	0.00	0.52	1.36
21.00	4.51	3.60	3.45	0.00	0.20	0.29	0.00	0.21	0.00	2.48	0.00	0.93	1.21	2.25	0.00	0.27	0.12	0.00	0.27	0.00	0.63	1.33
22.00	4.49	3.60	3.45	0.00	1.08	0.00	0.45	1.57	0.00	1.10	0.00	1.12	0.48	2.25	0.03	0.42	0.00	0.00	0.46	0.17	0.00	1.37
23.00	4.51	3.60	3.45	0.18	0.29	0.13	0.87	3.50	0.00	0.34	1.88	0.00	0.77	0.30	0.66	0.00	2.62	0.00	2.02	0.00	0.06	1.34
24.00	4.49	3.59	3.44	0.00	0.00	0.59	0.00	2.55	0.00	0.00	0.72	0.00	1.91	0.83	0.41	0.80	1.08	0.00	0.62	0.07	1.17	1.19
25.00	4.51	3.60	3.45	0.02	0.65	0.06	0.00	2.55	0.00	0.00	0.57	1.30	2.25	0.00	0.00	0.17	1.52	0.00	0.86	0.00	0.12	0.00
26.00	4.49	3.60	3.45	0.00	0.00	0.07	0.19	0.85	0.57	0.03	0.04	1.48	1.86	1.08	2.18	0.70	1.95	0.00	0.21	0.00	1.51	1.78
27.00	4.51	3.60	3.45	0.00	0.00	0.00	1.23	1.80	0.00	3.38	0.07	0.00	0.04	0.00	0.23	0.75	1.95	0.00	0.81	0.00	0.00	1.36
28.00	4.49	3.59	3.45	1.04	0.30	0.75	2.85	0.47	1.15	0.02	0.00	2.95	0.00	0.27	0.00	0.39	1.96	0.00	0.52	0.00	0.24	1.34
29.00	4.51	3.60	3.45	0.00	0.69	0.86	1.17	0.12	0.27	1.22	0.00	1.91	0.18	0.10	0.00	0.10	1.95	0.00	0.00	0.00	1.82	1.35
30.00	4.49	3.60	3.44	0.00	1.75	0.51	2.30	0.00	0.00	0.43	0.00	0.00	0.00	2.01	0.28	0.00	1.95	0.00	0.36	0.00	0.22	1.35
31.00	4.50	3.60	3.45	1.00	0.15	0.00	1.11	0.07	0.00	0.01	0.11	2.61	0.91	2.25	1.76	0.46	0.25	0.00	0.54	0.11	0.40	0.16
32.00	4.50	3.59	3.45	0.00	3.27	0.14	0.00	0.36	1.55	2.38	0.52	1.83	0.09	0.82	0.00	0.84	0.08	0.00	0.00	0.30	0.08	0.15
33.00	4.49	3.60	3.45	0.09	0.00	0.42	2.13	0.52	2.63	1.54	0.24	0.00	3.10	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00
34.00	4.51	3.60	3.45	0.13	3.45	0.00	1.03	0.00	0.22	2.40	0.00	0.00	2.25	0.14	0.00	0.37	1.39	0.30	0.00	0.11	0.00	0.00
35.00	4.49	3.60	3.44	0.43	1.34	0.45	0.62	0.81	0.08	0.27	0.00	1.91	2.25	2.81	0.00	1.03	1.67	0.00	1.03	0.00	1.25	1.40
36.00	4.51	3.60	3.45	0.00	0.70	2.82	0.00	0.04	0.00	0.56	0.00	0.88	2.26	0.19	0.77	0.13	0.53	0.93	0.24	0.98	0.33	1.25
37.00	4.49	3.59	3.45	0.07	0.59	2.85	0.36	0.00	0.02	0.35	0.00	0.98	2.25	2.01	1.02	1.51	0.00	0.35	0.00	1.18	0.94	1.36
38.00	4.51	3.60	3.45	2.02	0.39	0.95	0.58	0.75	0.11	1.71	0.15	0.23	2.25	0.00	1.77	0.00	2.47	0.46	0.46	0.00	0.69	1.11
39.00	4.49	3.60	3.45	0.00	0.46	0.10	2.46	0.22	0.02	0.02	0.25	0.37	2.25	0.00	0.43	0.58	0.85	0.38	0.30	1.03	0.80	0.10
40.00	4.51	3.60	3.45	0.00	0.00	1.23	2.03	0.00	0.02	0.57	0.00	0.00	1.67	1.08	0.00	1.97	0.00	0.00	0.96	0.52	0.34	0.00
41.00	4.49	3.59	3.44	0.00	0.48	2.31	0.00	2.46	0.00	0.62	0.00	0.00	2.70	0.29	0.00	0.00	0.15	0.00	0.00	0.13	0.00	0.52
42.00	4.51	3.60	3.45	0.00	0.00	1.18	0.92	0.25	2.79	0.09	0.00	3.16	2.25	0.14	0.00	0.23	0.13	0.00	0.00	0.24	0.00	0.04
43.00	4.49	3.60	3.45	0.00	0.45	0.09	0.96	0.61	2.40	0.62	0.00	0.90	2.25	0.04	0.00	0.12	0.64	1.67	0.00	0.04	0.00	1.01
44.00	4.51	3.60	3.45	2.01	0.50	0.38	0.12	0.17	1.16	0.00	0.18	0.85	0.74	0.00	2.73	0.52	0.35	1.37	0.00	0.68	2.22	0.50
45.00	4.49	3.60	3.45	0.00	0.15	1.20	3.79	0.00	0.46	0.55	0.00	0.00	2.11	0.64	0.00	2.51	0.08	0.00	0.00	0.50	1.66	0.00
46.00	4.50	3.59	3.45	0.00	0.13	0.41	1.31	0.19	0.75	0.00	0.00	0.33	2.25	1.29	0.06	2.10	0.00	0.00	1.58	0.15	1.64	0.90
47.00	4.50	3.60	3.44	0.60	0.18	2.48	1.45	0.00	0.06	0.23	0.00	0.32	1.71	0.35	1.25	1.52	0.61	0.11	0.59	1.29	1.45	0.27
48.00	4.49	3.60	3.45	0.11	2.71	2.85	2.85	0.00	0.75	0.06	0.22	0.08	0.00	0.57	0.00	0.00	1.76	0.00	0.43	0.00	0.00	0.00
49.00	4.51	3.60	3.45	1.00	3.00	0.86	1.77	0.03	0.00	1.14	1.84	0.00	0.86	0.58	0.20	0.00	1.46	0.47	0.00	0.18	0.67	0.17
50.00	4.49	3.59	3.45	0.00	2.58	1.13	0.00	0.32	0.43	0.12	0.00	1.07	0.00	2.26	0.08	0.25	0.18	2.45	0.00	1.96	0.75	0.49
51.00	4.51	3.60	3.45	0.00	0.00	0.54	0.00	0.00	2.26	0.06	0.00	2.34	0.65	0.00	0.00	0.14	0.51	1.81	0.54	1.81	0.38	0.04
52.00	4.49	3.60	3.45	0.00	2.01	2.24	0.00	1.23	0.90	0.84	0.00	0.24	0.00	1.34	0.58	1.48	0.00	0.31	0.00	0.20	0.34	0.59
53.00	4.51	3.60	3.44	0.00	2.48	1.52	1.68	0.77	0.70	1.37	0.00	1.26	1.31	0.57	0.32	0.11	0.00	0.76	1.03	0.30	0.06	1.00
54.00	4.49	3.59	3.45	0.00	1.87	1.79	0.00	0.00	0.17	0.04	0.00	0.00	0.91	0.48	3.09	0.00	0.00	0.00	1.02	0.19	0.18	0.59
55.00	4.51	3.60	3.45	0.20	0.33	0.80	0.00	0.00	1.92	0.00	2.45	0.00	0.00	0.14	2.10	2.26	0.60	0.00	0.00	1.13	0.18	0.15
56.00	4.49	3.60	3.45	0.00	1.58	1.69	0.31	1.01	1.96	0.69	0.59	0.08	0.00	0.12	1.73	1.64	0.07	0.00	0.78	1.53	0.00	0.32
57.00	4.51	3.60	3.45	0.00	0.00	2.92	0.30	2.13	0.00	0.33	0.00	0.00	0.54	0.45	2.46	0.00	2.17	0.00	0.00	1.19	0.00	0.00
58.00	4.49	3.60	3.44	1.19	0.78	0.58	2.53	0.00	0.00	1.98	0.00	0.27	0.76	0.48	0.03	0.35	1.42	0.00	0.00	1.13	2.28	0.38
59.00	4.51	3.59	3.45	0.00	0.44	0.14	0.48	0.64	0.00	1.94	0.10	0.00	0.60	0.11	0.00	1.89	0.38	0.00	0.00	0.11	1.66	0.18
60.00	4.49	3.60	3.45	0.00	0.42	1.66	0.00	3.10	2.77	0.00	0.18	0.07	3.18	0.71	0.00	0.00	0.04	0.00	0.00	1.01	1.45	0.07
61.00	4.50	3.60	3.45	0.00	0.42	2.66	3.47	1.12	0.21	0.56	0.00	0.00	0.64	0.84	0.00	1.02	2.60	1.32	0.00	0.00	0.00	0.00
62.00	4.50	3.60	3.45	0.35	0.00	3.25	0.00	0.05	3.00	0.00	0.42	0.00	0.54	0.66	0.00	2.30	0.32	0.08	0.00	0.06	2.47	1.12
63.00	4.49	3.59	3.45	1.01	0.69	2.85	0.65	0.00	0.22	0.00	0.21	0.00	0.53	0.90	0.00	2.10	0.33	1.48	0.11	0.00	1.66	0.09
64.00	4.51	3.60	3.44	0.40	0.91	2.31	0.84	2.76	0.00	0.00	0.18	0.62	0.54	0.00	0.00	2.10	0.62	0.28	0.27	0.00	1.64	1.62
