Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.902s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
31.00	3.75	0.30	0.06	1.02	1.87	0.00	0.04	0.83	0.00	0.84	0.54	0.00	0.01	0.06	1.44	0.00	0.14	0.06	0.00	0.99	0.38	0.18
32.00	3.75	0.09	0.19	0.35	0.28	0.00	0.05	0.09	0.23	0.70	1.67	0.00	0.69	0.14	1.47	0.00	0.32	0.00	0.00	0.00	0.00	0.00
33.00	3.75	0.05	1.44	1.94	0.27	0.00	1.94	0.97	1.20	0.00	0.00	0.22	0.00	0.00	1.20	1.08	0.50	0.00	0.00	1.23	0.23	0.00
34.00	3.74	0.76	0.58	0.92	0.53	0.00	0.00	0.00	1.55	0.62	0.00	0.45	0.56	1.21	1.03	2.27	0.00	0.20	0.00	0.00	0.46	0.60
35.00	3.75	0.00	1.57	0.45	0.11	0.00	0.39	0.28	0.81	0.03	1.01	0.00	0.28	0.00	1.72	0.34	0.00	0.87	0.00	0.00	0.42	1.24
36.00	3.75	0.00	0.00	0.90	2.16	0.00	0.35	1.31	0.00	0.07	0.23	0.00	0.04	0.00	1.54	0.11	1.36	0.00	0.00	0.48	0.00	0.07
37.00	3.75	0.00	0.63	0.00	0.82	1.62	0.00	0.00	0.00	0.45	0.50	0.00	0.00	0.00	0.29	0.13	1.26	0.07	0.00	0.00	0.68	0.83
38.00	3.74	0.00	0.77	0.03	0.46	0.00	0.92	0.00	0.87	1.12	2.89	1.03	1.14	0.00	0.00	0.01	0.00	0.05	0.00	0.66	0.64	0.45
39.00	3.75	0.00	0.35	2.59	1.26	1.21	0.04	0.13	0.00	0.12	1.46	0.81	0.06	0.00	0.03	0.12	0.60	0.33	0.00	0.12	0.22	0.34
40.00	3.75	0.00	0.00	0.90	0.85	0.13	0.07	0.00	0.15	0.44	0.03	0.00	0.00	0.00	2.32	0.03	1.41	0.00	0.00	0.00	0.57	0.37
41.00	3.74	0.01	0.00	0.15	0.01	0.00	0.18	0.00	0.90	0.00	0.00	0.00	0.43	0.00	1.95	2.13	0.00	0.00	1.17	0.00	0.06	0.00
42.00	3.75	0.00	1.72	1.46	0.00	0.00	0.00	0.11	0.00	1.68	0.00	0.19	0.25	0.00	1.48	0.12	1.06	1.52	1.10	0.42	0.00	1.09
43.00	3.75	0.92	0.00	2.95	0.00	0.00	0.01	0.00	0.00	1.69	1.17	0.00	0.00	0.12	1.39	1.51	1.08	0.47	0.47	0.00	0.52	0.13
44.00	3.75	0.00	0.00	1.71	0.10	0.57	0.71	0.00	0.52	1.40	0.03	0.00	0.16	0.09	0.00	0.09	0.06	0.13	0.04	0.09	1.47	0.00
45.00	3.74	0.00	1.95	0.08	0.60	0.00	0.33	2.28	0.47	2.65	0.16	0.57	0.09	0.00	0.03	0.00	0.00	1.04	0.00	1.50	0.63	0.00
46.00	3.75	0.86	0.13	1.02	0.00	0.00	0.18	0.00	0.61	0.00	0.00	1.40	0.00	1.14	0.08	0.45	0.00	0.21	0.00	0.12	1.47	0.00
47.00	3.75	0.03	0.83	0.00	0.00	0.00	0.04	0.28	0.67	3.15	0.38	0.06	0.00	0.00	0.32	0.60	0.00	0.79	0.82	0.00	0.49	0.00
48.00	3.74	0.01	1.04	2.00	0.77	0.53	0.00	2.75	0.00	0.00	1.11	0.00	0.00	0.00	1.43	0.00	0.00	2.11	0.09	0.00	0.24	0.00
49.00	3.75	0.48	0.13	2.43	0.45	0.57	0.00	0.80	0.54	3.44	0.15	0.00	1.23	0.00	0.08	0.00	0.00	0.15	0.00	0.00	0.63	0.00
50.00	3.75	0.15	0.84	0.85	0.32	0.71	0.00	1.27	0.00	0.70	0.00	0.00	0.20	0.00	2.51	0.18	0.00	0.00	1.84	0.00	0.00	1.19
51.00	3.75	0.38	0.00	0.00	1.96	0.87	0.00	2.20	0.45	0.79	0.88	0.29	0.00	0.00	1.95	0.00	1.20	1.07	0.21	0.00	0.42	0.45
52.00	3.74	0.90	0.00	0.00	0.09	0.00	0.00	0.59	0.04	0.00	1.77	0.66	0.03	0.00	0.58	2.01	0.28	0.28	1.81	0.00	0.00	0.45
53.00	3.75	0.45	0.00	0.00	0.15	0.67	0.00	0.00	0.64	0.84	0.96	0.04	0.20	1.03	2.63	0.00	1.40	0.08	1.66	1.86	0.35	0.44
54.00	3.75	0.63	2.76	0.39	0.00	0.51	0.18	1.26	0.00	0.00	2.50	0.00	0.45	0.00	0.01	0.00	0.03	0.30	1.51	0.16	1.25	0.45
55.00	3.75	0.43	1.37	0.03	1.52	0.00	0.04	0.03	0.00	1.98	1.22	0.08	0.08	0.00	0.00	0.00	0.00	1.03	0.21	0.12	0.83	0.02
56.00	3.74	0.00	0.16	1.46	0.20	0.00	0.00	2.23	0.01	0.00	0.00	0.14	0.00	0.00	0.01	0.00	1.43	0.66	0.00	0.54	0.03	0.82
57.00	3.75	0.00	4.07	2.00	0.00	0.00	1.36	0.00	0.00	0.00	0.28	0.69	0.51	0.00	0.24	0.00	0.00	1.98	0.00	0.24	0.00	0.14
58.00	3.75	0.00	0.71	0.96	0.00	2.43	1.59	0.01	0.00	1.64	0.24	0.92	0.24	0.00	0.45	0.00	0.23	0.45	0.00	0.00	0.67	0.82
