Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.870s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
29.00	4.05	3.45	0.14	0.00	0.00	0.00	0.19	0.13	0.00	0.00	0.24	0.00	0.00	0.90	0.00	0.00	0.28	0.06	0.85	0.85	1.62	0.32	0.00	0.00
30.00	4.04	3.44	1.16	0.01	0.34	0.00	1.70	0.07	0.00	0.69	0.63	0.00	0.47	0.06	0.00	0.13	0.00	0.41	0.00	0.00	1.05	0.24	0.00	0.00
31.00	4.05	3.45	0.00	0.45	0.28	0.00	1.73	0.55	0.00	0.82	1.30	0.18	0.00	0.00	0.00	0.48	0.00	0.00	0.00	1.57	1.05	1.13	0.23	0.41
32.00	4.05	3.45	3.92	0.12	0.03	0.00	0.00	0.10	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.32	0.00	0.00	0.03	1.20	1.04	0.00	0.55	0.00
33.00	4.04	3.45	0.00	0.78	0.69	0.00	0.04	0.12	0.00	2.63	0.78	0.63	0.41	0.00	0.00	1.51	0.52	0.53	0.39	0.47	0.56	0.00	0.15	0.00
34.00	4.05	3.45	0.21	0.29	0.00	0.00	0.00	0.58	0.00	0.00	0.13	0.41	2.45	2.68	0.01	0.00	1.32	0.00	0.22	0.00	1.08	0.00	1.00	1.64
35.00	4.05	3.45	3.01	0.09	0.00	0.00	0.08	0.49	0.00	0.16	0.00	0.22	0.45	1.82	0.03	0.00	0.00	0.00	0.00	0.94	0.01	0.15	1.60	0.75
36.00	4.04	3.44	0.00	0.54	0.10	0.00	0.69	0.11	0.00	0.61	0.00	0.66	0.27	1.60	0.00	0.00	0.00	2.25	0.31	0.37	0.62	0.60	0.34	0.32
37.00	4.05	3.45	0.60	0.28	0.22	0.00	0.73	0.03	0.00	0.00	1.49	0.89	0.55	0.00	1.45	0.00	0.25	1.42	0.52	0.00	0.00	0.61	1.25	0.33
38.00	4.04	3.45	3.03	0.00	0.00	0.00	3.18	0.00	0.00	0.45	0.24	0.00	0.21	0.11	0.19	0.20	2.43	0.00	1.54	0.94	0.00	0.00	0.00	0.77
39.00	4.05	3.45	0.15	0.70	1.26	0.00	0.92	0.00	0.00	1.29	0.78	0.04	0.24	0.00	0.00	0.61	1.49	0.00	0.27	0.00	0.00	0.60	1.50	0.00
40.00	4.05	3.45	0.09	0.18	0.00	0.00	0.16	0.00	0.00	0.21	0.42	0.00	0.00	0.00	0.00	0.00	1.09	1.06	0.15	0.83	2.03	1.59	0.00	0.72
41.00	4.04	3.44	0.00	0.89	0.41	0.00	0.38	0.20	0.00	0.00	0.00	0.00	0.60	2.75	0.00	0.00	0.00	0.00	0.00	0.29	1.05	0.27	0.00	0.28
42.00	4.05	3.45	0.49	0.00	0.00	0.00	0.67	1.07	0.00	0.03	1.02	0.91	0.00	0.58	0.00	0.00	0.00	0.00	0.77	2.09	1.05	0.12	0.10	0.00
43.00	4.05	3.45	0.30	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.71	0.70	0.00	0.57	0.00	0.25	0.17	1.19	1.04	0.24	0.71	1.67
44.00	4.04	3.45	0.00	0.06	0.00	0.00	0.33	0.01	0.00	0.64	0.42	0.00	1.60	0.24	0.00	0.00	0.00	1.20	0.00	1.20	1.05	0.40	0.00	0.60
45.00	4.05	3.45	0.00	0.00	0.72	0.00	2.76	0.81	0.00	0.59	0.00	0.82	0.00	0.00	0.00	0.00	0.00	0.97	0.26	0.52	1.05	0.75	0.04	0.60
46.00	4.04	3.45	0.78	0.00	2.48	0.00	2.39	0.00	0.00	0.00	0.23	0.00	0.37	0.00	0.00	0.43	0.00	0.00	0.65	0.00	1.03	0.06	0.24	0.00
47.00	4.05	3.44	0.11	0.00	0.18	0.00	1.52	0.00	0.00	3.10	0.00	0.60	0.12	0.00	0.21	0.00	0.00	0.00	0.12	1.02	1.07	0.51	0.00	0.08
48.00	4.05	3.45	0.55	0.00	0.00	0.00	0.28	0.00	0.00	2.00	0.00	1.04	0.00	0.00	0.69	0.00	0.00	1.44	0.00	0.00	1.05	0.00	0.39	0.25
49.00	4.04	3.45	0.35	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.78	0.00	2.26	0.00	0.00	1.51	1.44	0.00	0.01	1.10	1.55	0.21
50.00	4.05	3.45	0.00	0.61	0.00	0.00	0.34	0.00	0.00	0.00	0.10	0.00	0.36	0.00	1.22	0.49	0.00	1.30	0.70	0.49	0.44	0.01	0.89	0.29
51.00	4.05	3.45	1.68	0.41	0.91	0.00	0.00	0.00	0.00	0.00	0.94	0.00	0.00	0.85	0.00	1.58	0.00	0.00	0.00	0.10	1.25	1.69	0.74	0.22
52.00	4.04	3.45	3.44	0.00	0.00	0.00	0.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.00	0.00
53.00	4.05	3.44	1.69	0.06	0.00	0.00	1.71	0.00	0.00	0.18	0.51	0.98	0.00	0.18	0.00	0.00	0.00	1.82	1.45	1.58	1.57	0.20	0.13	0.00
