Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.832s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
30.00	3.90	3.30	0.00	2.85	0.00	0.19	0.78	0.11	0.38	0.00	0.04	0.22	0.56	2.22	0.00	2.15	0.00	0.00	0.00	0.65	0.35	0.00	0.03
31.00	3.90	3.30	0.27	1.47	0.81	0.00	0.04	0.48	0.57	0.66	0.97	0.26	0.32	1.21	0.10	1.95	0.00	0.00	0.00	0.56	0.00	0.00	0.73
32.00	3.89	3.30	0.44	0.00	0.00	0.00	1.27	0.00	0.51	0.16	0.00	2.81	0.00	0.53	1.20	1.96	0.00	0.00	0.50	1.18	1.54	0.00	0.00
33.00	3.90	3.30	0.04	0.00	0.00	0.00	2.24	0.04	0.54	0.56	0.28	0.47	2.35	0.14	0.61	0.44	0.00	0.00	0.00	1.49	0.42	0.00	0.00
34.00	3.90	3.29	0.00	0.00	0.00	0.02	2.57	0.24	0.05	0.14	0.32	0.18	0.09	0.09	0.75	0.29	0.10	0.00	0.18	1.51	0.70	0.00	0.00
35.00	3.89	3.30	3.75	0.00	0.48	0.00	2.55	0.58	0.00	0.43	0.16	0.77	0.00	0.00	1.57	0.23	0.66	0.00	0.00	1.49	0.20	0.00	0.00
36.00	3.90	3.30	0.00	0.00	0.00	0.00	0.00	0.22	0.00	1.13	0.00	1.69	0.00	0.27	1.23	0.50	0.68	0.00	0.00	1.49	0.64	0.00	0.00
37.00	3.90	3.30	0.00	0.00	1.30	0.56	0.19	1.26	0.00	0.13	0.00	0.00	0.00	0.07	0.00	0.00	0.04	0.00	0.76	1.51	0.00	0.00	0.00
38.00	3.89	3.30	0.00	0.52	2.55	0.56	1.46	0.04	0.00	0.37	0.31	2.16	0.00	0.00	0.00	1.62	0.52	0.27	0.00	1.37	0.18	0.00	0.00
39.00	3.90	3.30	0.00	1.05	1.37	2.24	0.14	0.85	0.00	0.07	0.27	0.00	0.71	0.00	1.76	0.00	0.00	0.06	0.06	0.20	1.80	0.00	0.00
40.00	3.90	3.30	0.00	0.15	0.68	1.15	0.59	0.00	0.00	1.24	0.00	0.00	0.00	0.53	1.56	2.76	1.10	0.00	0.00	0.44	0.63	0.00	0.00
