Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.731s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	3.74	3.14	2.99	1.70	1.52	0.00	0.00	2.02	0.76	0.00	0.00
3.00	3.75	3.15	3.00	1.14	0.31	0.73	0.00	0.78	1.48	0.06	0.00
4.00	3.75	3.15	3.00	2.88	1.91	1.98	0.00	0.00	1.34	0.00	0.00
5.00	3.74	3.15	3.00	2.85	2.70	2.55	0.00	0.00	2.40	0.00	0.00
6.00	3.75	3.15	3.00	2.86	2.34	2.55	0.00	0.00	2.40	0.61	0.00
7.00	3.75	3.15	3.00	2.85	0.00	2.55	0.00	0.00	2.41	0.00	0.00
8.00	3.75	3.15	3.00	0.75	0.34	0.64	0.00	2.22	0.65	0.10	0.00
9.00	3.74	3.15	3.00	0.00	0.73	0.00	0.00	1.61	1.87	0.08	0.00
10.00	3.75	3.15	3.00	0.00	0.00	0.00	0.00	0.00	1.42	0.94	1.95
11.00	3.75	3.15	3.00	0.00	0.00	0.00	0.06	0.00	2.40	0.00	1.49
12.00	3.74	3.15	3.00	0.00	0.00	0.00	0.53	1.93	2.40	0.00	1.51
13.00	3.75	3.15	3.00	0.00	0.00	0.00	0.00	2.55	2.41	0.00	1.49
14.00	3.75	3.15	3.00	0.00	0.00	0.00	0.00	2.55	2.40	0.00	0.38
15.00	3.75	3.14	3.00	0.34	0.30	0.08	0.15	1.24	1.10	0.11	0.15
16.00	3.74	3.15	3.00	0.00	0.09	2.92	1.39	0.06	2.32	0.33	1.26
17.00	3.75	3.15	3.00	3.33	0.00	2.55	2.55	0.00	2.40	0.00	1.49
18.00	3.75	3.15	3.00	2.85	0.00	2.56	2.55	0.73	2.41	0.00	0.56
19.00	3.75	3.15	3.00	2.85	0.19	2.55	2.56	0.00	2.40	0.00	0.37
20.00	3.75	3.15	3.00	2.85	0.00	2.55	1.54	0.00	2.40	0.88	0.19
21.00	3.75	3.15	3.00	2.85	3.36	2.55	0.00	1.10	2.40	0.00	0.73
22.00	3.75	3.15	3.00	2.85	2.70	2.55	0.00	0.51	2.40	0.55	0.00
23.00	3.74	3.15	3.00	0.75	2.70	2.55	0.43	0.38	2.40	0.04	0.00
24.00	3.75	3.15	3.00	0.87	1.38	1.41	0.71	1.54	1.81	0.00	0.16
25.00	3.75	3.15	3.00	1.50	0.88	1.85	0.00	0.00	1.33	0.00	0.75
26.00	3.75	3.15	3.00	0.27	0.00	2.55	0.00	2.80	0.00	0.00	0.76
27.00	3.74	3.15	3.00	0.29	0.38	2.55	0.00	2.57	0.00	0.73	0.00
28.00	3.75	3.15	3.00	0.00	0.70	2.55	0.00	2.55	2.66	1.31	0.00
29.00	3.75	3.14	3.00	0.39	0.04	2.55	0.00	2.55	2.41	0.04	1.60
30.00	3.74	3.15	3.00	0.42	0.17	2.55	0.00	2.55	2.40	0.00	1.51
31.00	3.75	3.15	3.00	0.08	0.76	2.31	0.27	0.98	1.12	1.50	1.36
32.00	3.75	3.15	3.00	0.00	2.32	0.94	0.00	1.83	0.47	2.29	0.21
33.00	3.75	3.15	3.00	2.57	0.08	0.00	0.00	0.11	0.00	0.19	1.76
34.00	3.74	3.15	3.00	0.00	0.35	0.61	0.00	2.26	0.00	0.00	1.32
35.00	3.75	3.15	3.00	0.02	1.09	0.16	0.00	1.34	0.91	0.26	0.00
36.00	3.75	3.15	3.00	1.09	2.54	0.12	0.00	2.55	0.00	0.00	0.87
37.00	3.75	3.15	3.00	0.78	2.70	0.00	0.00	2.55	0.00	0.05	2.10
38.00	3.75	3.15	3.00	0.21	2.70	0.00	0.00	2.55	0.00	1.14	1.51
39.00	3.75	3.15	3.00	0.24	1.32	0.57	0.00	1.25	0.00	0.00	1.49
40.00	3.75	3.15	3.00	0.16	0.00	2.03	0.00	1.09	0.00	0.00	0.83
41.00	3.74	3.15	3.00	2.12	0.00	2.55	0.00	0.41	0.00	0.00	0.00
42.00	3.75	3.14	3.00	2.63	0.39	1.84	0.00	0.30	1.65	0.17	0.07
43.00	3.75	3.15	3.00	0.00	0.81	0.08	0.00	0.49	2.40	0.00	0.03
44.00	3.75	3.15	3.00	0.00	0.00	2.41	0.00	2.47	2.40	0.00	0.83
45.00	3.74	3.15	3.00	0.00	0.00	2.55	0.00	2.55	2.40	0.00	0.14
46.00	3.75	3.15	2.99	0.00	0.00	2.55	0.00	2.55	2.41	0.00	1.57
47.00	3.75	3.15	3.00	0.00	0.05	0.64	0.00	2.55	0.60	0.03	1.51
48.00	3.74	3.15	3.00	0.00	0.00	0.00	0.00	2.56	0.00	0.00	1.49
49.00	3.75	3.15	3.00	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.31
50.00	3.75	3.15	3.00	0.00	0.32	2.44	0.00	2.54	0.00	0.00	0.29
51.00	3.75	3.15	3.00	0.91	0.38	2.55	0.00	2.02	0.01	0.34	0.13
52.00	3.74	3.15	3.00	0.00	0.40	2.55	0.00	0.00	0.32	0.20	0.94
53.00	3.75	3.15	3.00	0.00	0.42	2.55	0.00	0.43	0.66	0.00	0.00
54.00	3.75	3.15	3.00	0.00	0.88	2.55	0.00	2.89	0.00	1.02	0.00
55.00	3.74	3.15	3.00	0.00	0.00	2.55	0.00	2.55	0.00	0.57	0.27
56.00	3.75	3.14	3.00	0.00	0.37	2.55	0.00	2.55	0.00	0.00	0.21
57.00	3.75	3.15	3.00	0.00	0.65	1.11	0.00	1.11	0.59	0.00	0.55
58.00	3.75	3.15	3.00	1.85	0.84	0.23	0.00	2.48	0.00	0.00	0.00
59.00	3.74	3.15	3.00	0.72	0.82	0.00	0.00	0.65	0.00	1.24	1.59
60.00	3.75	3.15	3.00	0.00	0.00	0.48	0.00	0.73	2.73	0.46	1.49
61.00	3.75	3.15	3.00	0.00	0.00	0.01	0.00	0.04	2.40	0.00	1.51
62.00	3.75	3.15	3.00	1.76	0.23	1.99	0.00	0.01	2.41	0.00	1.49
63.00	3.74	3.15	3.00	0.00	0.56	2.56	0.00	0.00	2.40	0.00	1.51
64.00	3.75	3.15	3.00	0.00	2.55	2.55	0.00	0.00	2.40	0.00	1.49
65.00	3.75	3.15	3.00	0.00	2.71	2.55	0.00	0.00	2.40	0.00	1.51
66.00	3.74	3.15	3.00	0.00	2.70	2.55	0.00	0.00	2.40	0.00	1.49
67.00	3.75	3.15	3.00	0.00	2.70	2.55	0.00	0.00	2.40	0.00	1.51
68.00	3.75	3.15	3.00	0.00	2.70	2.55	0.00	0.00	2.41	0.00	1.49
69.00	3.75	3.15	3.00	0.00	2.70	2.55	0.00	0.00	2.40	0.00	1.51
70.00	3.74	3.14	3.00	0.00	2.70	2.55	0.00	0.00	2.40	0.00	1.49
71.00	3.75	3.15	3.00	0.00	2.70	2.56	0.00	0.00	2.40	0.00	1.50
72.00	3.75	3.15	3.00	0.00	2.70	2.55	0.00	0.00	2.40	0.00	1.50
73.00	3.75	3.15	3.00	0.00	2.70	2.55	0.00	0.00	2.41	0.00	1.51
74.00	3.74	3.15	3.00	0.00	0.70	0.78	0.00	0.00	2.40	0.00	0.41
75.00	3.75	3.15	3.00	0.00	0.00	0.00	0.00	0.00	2.40	0.00	2.11
76.00	3.75	3.15	3.00	0.00	0.00	0.00	0.00	0.00	2.40	0.00	1.49
