Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.713s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
59.00	3.74	1.64	0.66	0.08	1.46	0.00	0.06	0.36	1.22	0.00	0.00
60.00	3.75	0.00	1.17	1.24	0.00	0.38	0.01	1.57	0.00	1.42	0.00
61.00	3.75	2.99	1.37	0.00	0.00	0.65	0.83	0.00	0.00	0.00	0.00
62.00	3.75	0.46	0.00	0.56	0.94	0.00	0.28	0.92	0.14	0.00	1.59
63.00	3.74	1.22	0.87	1.49	0.00	0.18	0.00	0.00	0.14	0.22	0.75
64.00	3.75	0.00	0.00	0.96	1.36	0.30	0.33	0.09	0.73	1.05	0.00
65.00	3.75	0.00	0.00	2.14	0.00	0.06	0.00	0.00	0.00	1.01	0.87
66.00	3.74	0.00	0.93	0.03	0.00	0.00	0.03	2.49	0.00	0.75	0.54
67.00	3.75	0.00	0.64	0.23	1.41	0.07	0.00	3.32	1.76	0.04	0.19
68.00	3.75	0.00	0.00	0.00	2.70	0.00	0.00	2.55	0.00	2.96	0.00
69.00	3.75	0.00	0.00	1.27	0.78	0.00	0.00	0.65	0.00	1.95	0.63
70.00	3.74	1.80	0.00	0.67	0.36	0.00	0.00	0.38	0.00	1.96	2.24
71.00	3.75	0.99	0.00	1.31	0.00	0.17	0.00	2.60	0.03	1.95	1.95
72.00	3.75	0.00	0.00	0.08	0.25	0.00	0.00	0.46	0.91	0.47	0.61
73.00	3.75	0.00	0.47	3.06	1.45	0.00	0.67	0.39	0.00	2.11	0.21
74.00	3.75	1.65	0.12	1.65	0.00	1.32	0.00	0.00	0.00	1.38	0.62
75.00	3.75	0.00	0.00	0.45	0.00	1.55	1.03	0.00	1.13	0.12	0.57
76.00	3.75	1.73	1.08	0.00	0.18	1.24	0.00	0.00	0.66	0.00	0.00
77.00	3.74	2.76	0.04	1.91	1.64	0.12	0.64	1.70	0.00	1.35	0.08
78.00	3.75	3.00	0.09	0.30	2.70	0.00	0.00	0.00	0.00	1.95	0.45
79.00	3.75	0.21	0.96	0.06	0.95	0.00	0.00	0.97	0.00	0.52	0.71
80.00	3.75	0.60	0.18	1.09	0.01	0.00	0.00	0.33	0.00	2.09	2.88
81.00	3.74	1.47	1.23	0.89	0.97	0.00	0.00	0.48	0.00	1.39	1.71
82.00	3.75	0.00	0.05	1.86	2.07	0.26	0.00	0.00	0.00	1.20	0.00
83.00	3.75	0.53	0.00	0.99	2.69	0.00	0.00	0.01	1.80	0.23	0.39
84.00	3.74	1.28	0.11	0.01	1.11	0.01	0.00	0.71	1.04	0.32	0.38
85.00	3.75	1.21	0.00	0.81	2.70	0.26	0.00	0.04	0.18	0.01	0.59
86.00	3.75	3.38	0.17	0.57	0.08	0.00	0.00	0.00	0.00	0.34	2.31
87.00	3.75	0.93	0.00	2.04	0.01	0.44	0.00	0.15	0.02	2.08	0.48
88.00	3.74	1.66	0.00	0.59	0.13	0.06	0.95	2.13	0.00	0.67	0.14
89.00	3.75	0.65	0.00	0.15	0.00	0.00	0.00	0.00	0.00	2.34	1.84
90.00	3.75	0.81	0.00	0.19	0.00	0.00	0.00	2.14	0.00	1.40	1.83
91.00	3.75	1.20	0.00	0.57	0.72	0.00	0.30	0.00	0.75	1.53	0.25
92.00	3.74	3.00	0.00	0.00	0.39	0.96	0.00	3.11	0.00	0.26	1.56
93.00	3.75	2.72	0.00	0.37	0.86	0.00	0.53	2.28	0.00	2.03	0.93
94.00	3.75	0.00	0.00	2.16	0.00	0.00	0.00	0.33	0.00	0.37	0.00
95.00	3.74	1.41	0.00	0.93	0.71	0.00	0.00	0.56	0.00	2.18	0.04
96.00	3.75	1.98	0.03	0.99	0.96	0.10	0.00	0.00	0.00	0.00	0.00
97.00	3.75	3.00	0.00	0.08	2.08	0.21	0.04	0.17	0.00	0.00	0.00
98.00	3.75	2.94	0.00	0.18	2.50	0.02	1.04	0.50	0.04	1.01	0.00
99.00	3.74	0.00	0.00	0.00	0.01	0.00	1.85	1.44	2.09	1.38	0.53
100.00	3.75	0.00	0.01	3.49	0.42	0.46	0.00	0.00	0.50	0.14	0.24
101.00	3.75	1.04	1.01	0.92	2.77	0.00	0.00	0.00	0.00	2.86	0.49
102.00	3.74	1.23	0.01	1.65	2.69	0.00	1.22	0.29	1.39	1.77	0.00
103.00	3.75	0.07	0.00	0.00	2.72	0.18	0.73	0.03	0.00	0.08	2.66
104.00	3.75	1.97	0.71	0.40	1.16	0.81	0.19	1.30	0.00	0.86	0.22
105.00	3.75	0.00	0.18	0.49	0.12	1.16	0.00	2.11	0.00	0.41	0.68
106.00	3.74	0.00	0.00	0.00	2.02	0.00	0.04	0.18	0.57	0.45	0.00
107.00	3.75	0.74	0.00	3.14	2.70	0.00	0.03	0.00	0.00	0.68	0.00
108.00	3.75	0.22	0.00	1.69	2.70	0.09	0.86	3.45	0.00	0.00	0.00
109.00	3.75	0.62	0.00	0.00	0.88	0.00	1.69	0.14	0.00	0.06	2.41
110.00	3.74	1.12	1.22	0.83	0.54	0.00	0.00	1.54	0.00	1.87	1.15
111.00	3.75	0.73	0.29	0.11	0.00	1.10	0.00	0.19	0.02	0.48	0.49
112.00	3.75	2.80	0.00	1.03	0.00	2.35	0.00	0.00	0.00	1.45	0.13
113.00	3.74	0.68	0.00	0.00	0.87	0.00	0.00	1.96	0.09	0.00	1.21
114.00	3.75	2.76	0.01	1.00	0.00	0.00	0.00	0.45	0.57	0.09	0.00
115.00	3.75	1.40	0.00	0.29	2.07	0.00	0.00	0.75	0.04	1.09	0.90
116.00	3.75	1.74	0.00	0.15	0.16	0.00	0.00	2.17	1.31	1.32	0.00
117.00	3.74	0.36	0.00	0.97	1.95	0.00	0.00	0.61	0.00	0.00	0.00
118.00	3.75	0.73	1.32	0.01	2.02	0.00	0.00	0.01	0.00	0.93	1.23
119.00	3.75	2.43	0.00	2.30	0.06	0.00	0.00	0.00	2.30	2.30	0.50
10.1.1.1	4.15	24.50
10.1.1.2	1.33	1051.48
10.1.1.3	0.30	1208.55
10.1.1.4	0.87	1046.88
10.1.1.5	0.98	1079.30
10.1.1.6	0.25	1238.05
10.1.1.7	0.20	1655.46
10.1.1.8	0.95	862.18
10.1.1.9	0.37	1088.11
10.1.1.10	0.94	944.53
10.1.1.11	0.77	1357.69
