Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.420s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
80.00	2.00	1.99	1.95	2.00	2.00	1.99	1.91	2.00
81.00	1.99	2.00	1.87	2.00	1.99	2.00	1.90	2.00
82.00	2.00	2.00	1.87	2.00	2.00	2.00	1.91	2.00
83.00	2.00	2.00	1.92	2.00	2.00	2.00	1.91	1.99
84.00	2.00	2.00	1.88	1.99	2.00	2.00	1.91	2.00
85.00	2.00	1.99	1.92	2.00	2.00	2.00	1.93	2.00
86.00	2.00	1.99	1.92	2.00	2.00	1.99	1.94	2.00
87.00	1.99	2.00	1.92	2.00	1.99	2.00	1.93	2.00
88.00	2.00	2.00	1.88	2.00	2.00	2.00	1.93	2.00
89.00	2.00	2.00	1.90	2.00	2.00	2.00	1.95	1.99
90.00	2.00	2.00	1.91	1.99	2.00	2.00	1.93	2.00
91.00	2.00	2.00	1.86	2.00	2.00	1.99	1.90	2.00
92.00	2.00	1.99	1.97	2.00	2.00	2.01	1.91	2.00
93.00	1.99	2.00	1.91	2.00	1.99	1.99	1.90	2.00
94.00	2.00	2.00	1.94	2.00	2.00	2.00	1.92	2.00
95.00	2.00	2.00	1.88	2.00	2.00	2.00	1.94	1.32
96.00	2.00	2.00	1.88	2.00	2.00	2.00	2.00	0.00
97.00	2.00	1.99	1.87	1.99	2.00	2.00	1.99	0.00
98.00	2.00	2.01	0.20	0.20	2.00	0.19	2.00	0.00
99.00	1.99	1.99	0.00	0.00	2.00	0.00	2.00	0.00
100.00	2.00	2.00	0.00	0.00	1.99	0.00	2.00	0.00
101.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
102.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
103.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
104.00	2.00	2.00	0.00	0.00	2.00	0.00	1.99	0.00
105.00	1.99	1.99	0.00	0.00	2.00	0.00	2.00	0.00
106.00	2.00	2.00	0.00	0.00	1.99	0.00	2.00	0.00
107.00	2.00	1.99	0.00	0.00	2.00	0.00	2.00	0.00
108.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
