Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.424s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
48.00	1.99	1.98	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.98	0.79	0.00	0.00	0.00
49.00	2.01	2.01	0.00	0.98	0.11	0.14	0.00	2.00	1.95	1.73	1.37	0.00	0.00	0.00
50.00	1.88	1.95	1.34	0.33	0.00	0.00	0.00	2.00	1.95	1.60	0.00	0.00	0.00	0.00
51.00	1.93	2.00	1.18	0.00	0.00	0.00	0.00	1.99	1.93	1.81	0.74	0.00	0.00	0.00
52.00	1.42	1.21	0.00	0.00	0.38	0.38	0.00	2.00	1.79	1.51	1.14	0.00	0.00	0.00
53.00	2.34	2.38	0.00	0.12	0.69	0.71	0.00	2.00	1.95	1.54	0.40	0.00	0.00	0.00
54.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.95	1.73	0.00	0.00	0.00	0.00
55.00	2.00	1.99	0.32	2.25	0.00	0.00	0.00	2.00	1.91	1.87	1.65	0.00	0.00	0.00
56.00	2.01	1.95	0.00	0.71	0.89	0.84	0.00	2.00	2.07	1.84	1.17	0.15	0.00	0.11
57.00	1.99	1.78	0.00	1.25	0.00	0.00	0.00	1.99	1.98	1.59	0.24	0.00	0.00	0.00
58.00	2.00	2.00	1.32	0.78	0.00	0.00	0.00	2.00	1.99	1.91	0.16	0.00	0.00	0.00
59.00	2.00	2.00	1.81	0.31	0.00	0.00	0.00	2.00	2.00	1.79	0.89	0.00	0.00	0.00
60.00	1.94	1.79	1.55	0.02	0.00	0.01	0.00	2.00	1.90	1.86	0.53	0.00	0.00	0.00
61.00	1.97	1.94	1.68	0.00	0.15	0.13	0.00	2.00	2.00	1.94	0.41	0.00	0.00	0.00
62.00	2.01	1.98	1.95	1.22	0.00	0.00	0.00	2.00	2.00	1.98	0.72	0.00	0.00	0.00
63.00	1.99	2.00	1.68	0.18	0.00	0.00	0.00	1.99	1.97	1.33	0.79	0.02	0.00	0.04
64.00	2.00	2.00	1.90	1.54	0.00	0.00	0.00	2.00	1.95	0.98	0.15	0.57	0.00	0.39
65.00	1.94	1.95	1.57	1.27	0.00	0.00	0.00	2.00	1.92	1.84	0.47	0.07	0.00	0.01
66.00	2.04	2.03	2.30	1.90	0.00	0.00	0.00	2.00	1.98	1.93	0.32	0.00	0.00	0.00
67.00	2.00	1.86	1.91	1.44	0.39	0.04	0.00	2.00	1.91	1.87	0.94	0.09	0.00	0.21
68.00	2.00	1.99	0.00	1.84	0.11	0.08	0.00	2.00	2.00	1.77	0.12	0.55	0.00	0.41
69.00	1.99	2.00	1.41	1.37	0.00	0.00	0.00	1.99	2.00	1.83	1.18	0.00	0.00	0.00
70.00	2.00	2.00	0.00	0.29	0.09	0.21	0.00	2.00	2.00	1.84	1.91	0.16	0.00	0.14
71.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.44	0.82	0.00	0.00	0.00
72.00	1.99	1.85	0.00	1.38	0.00	0.00	0.00	2.00	1.99	1.71	1.27	0.12	0.00	0.00
73.00	2.01	2.00	0.00	1.25	0.00	0.00	0.00	2.00	2.00	1.91	0.00	0.00	0.00	0.00
74.00	1.99	1.98	0.00	1.27	0.00	0.00	0.00	2.00	1.99	1.81	0.31	0.22	0.00	0.00
75.00	1.97	1.92	0.00	0.81	0.00	0.00	0.00	1.99	1.97	1.70	1.37	0.00	0.00	0.00
76.00	1.99	1.51	0.00	0.41	0.13	0.13	0.00	2.00	1.66	1.59	1.18	0.00	0.00	0.00
77.00	1.95	1.79	1.91	1.41	0.00	0.00	0.00	2.00	1.93	1.74	0.62	0.01	0.00	0.00
78.00	1.90	2.04	0.55	1.37	0.13	0.12	0.00	2.00	1.51	1.64	0.44	0.09	0.00	0.11
79.00	1.92	2.00	1.31	0.73	0.15	0.00	0.00	2.00	1.71	1.58	0.06	0.00	0.00	0.00
80.00	1.99	1.99	2.00	1.18	0.71	0.00	0.00	2.00	2.03	1.81	0.57	0.13	0.00	0.13
81.00	2.00	2.01	2.04	1.40	0.00	0.00	0.00	1.99	2.00	2.03	2.03	0.00	0.00	0.00
82.00	2.00	2.00	1.06	1.47	0.04	0.06	0.00	2.00	2.00	1.91	1.81	0.00	0.00	0.00
83.00	2.00	2.00	0.00	1.48	0.31	0.31	0.00	2.00	1.90	1.78	1.63	0.37	0.00	0.26
84.00	2.00	1.97	0.54	1.38	0.00	0.00	0.00	2.00	2.11	1.35	1.54	0.00	0.00	0.00
85.00	2.00	1.99	0.00	1.64	0.22	0.22	0.00	2.00	1.98	1.87	0.32	0.06	0.00	0.07
86.00	1.97	1.95	0.00	1.48	0.45	0.42	0.00	2.00	1.93	1.81	1.26	0.05	0.00	0.05
87.00	1.99	2.05	0.00	1.79	0.00	0.00	0.00	1.99	2.00	2.05	1.73	0.07	0.00	0.08
