Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.373s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
2.00	0.00	0.00	0.00	1.99	0.00	0.00	1.94
3.00	0.00	0.02	1.52	2.00	0.05	1.94	1.99
4.00	0.00	0.00	2.00	2.00	1.97	2.00	2.00
5.00	1.30	2.84	2.00	2.00	1.95	1.88	1.98
6.00	2.00	1.86	2.00	2.00	2.00	1.92	2.00
7.00	2.00	1.91	1.99	2.00	2.00	1.94	2.00
8.00	1.99	1.93	2.00	1.99	1.98	1.95	2.00
9.00	2.00	1.93	2.00	2.00	2.00	1.94	2.00
10.00	1.99	1.85	2.00	2.00	2.00	1.92	2.00
11.00	1.99	1.91	2.00	2.00	1.99	1.87	1.99
12.00	2.00	1.87	2.00	2.00	2.00	1.92	2.00
13.00	2.00	1.87	1.99	2.00	1.98	1.92	2.00
14.00	1.99	1.88	2.00	1.99	2.00	1.92	2.00
15.00	2.00	1.86	2.00	2.00	2.00	1.95	2.00
16.00	2.00	1.90	2.00	2.00	1.98	1.93	1.99
17.00	1.99	1.86	2.00	2.00	1.99	1.92	1.98
18.00	2.00	1.91	2.00	2.00	2.00	1.92	2.00
19.00	2.00	1.84	2.00	2.00	1.98	1.94	2.00
20.00	2.00	1.87	1.99	1.99	2.00	1.94	1.99
21.00	2.00	1.88	2.00	2.00	1.99	1.92	2.00
22.00	2.00	1.91	2.00	2.00	2.00	1.91	2.00
23.00	1.98	1.86	2.00	2.00	2.00	1.86	1.98
24.00	2.00	1.90	2.00	2.00	1.99	1.90	2.00
25.00	2.00	1.86	2.00	2.00	1.99	1.92	2.00
26.00	2.00	1.91	1.99	1.99	1.99	1.90	1.99
27.00	2.00	1.95	2.00	2.00	1.99	1.97	2.00
28.00	2.00	1.87	2.00	2.00	2.00	1.88	1.99
29.00	1.99	1.90	2.00	2.00	2.00	1.91	1.99
30.00	2.00	1.90	2.00	2.00	2.00	1.95	2.00
31.00	2.00	1.90	2.00	2.00	1.99	1.95	2.00
32.00	1.99	1.94	1.99	1.99	2.00	1.92	1.99
33.00	2.00	1.94	2.00	2.00	2.00	1.91	2.00
34.00	1.99	1.87	2.00	2.00	2.00	1.92	2.00
35.00	1.99	1.90	2.00	2.00	2.00	1.95	2.00
36.00	2.00	1.86	2.00	2.00	1.98	1.88	1.99
37.00	1.99	1.87	2.00	2.00	2.00	1.90	2.00
38.00	1.98	1.90	1.99	1.99	1.99	1.91	1.99
39.00	2.00	1.91	2.00	2.00	2.00	1.88	2.00
40.00	2.00	1.90	2.00	2.00	1.99	1.95	2.00
41.00	1.98	1.94	2.00	2.00	2.00	1.93	1.98
42.00	2.00	1.87	2.00	2.00	1.99	1.92	2.00
43.00	2.00	1.91	2.00	2.00	1.99	1.95	2.00
44.00	2.00	1.90	1.99	1.99	2.00	1.92	1.98
45.00	2.00	1.88	2.00	2.00	2.00	1.94	2.00
46.00	2.00	1.84	2.00	2.00	2.00	1.88	2.00
47.00	1.97	1.92	2.00	2.00	1.99	1.91	2.00
48.00	2.00	1.91	2.00	2.00	2.00	1.86	1.99
49.00	2.00	1.88	2.00	2.00	2.00	1.93	2.00
50.00	1.99	1.92	1.99	2.00	1.99	1.94	2.00
51.00	2.00	1.91	2.00	1.99	2.00	1.90	2.00
52.00	2.00	1.86	2.00	2.00	2.00	1.88	2.00
53.00	1.99	1.92	2.00	2.00	2.00	1.91	1.99
54.00	2.00	1.92	2.00	2.00	2.00	1.93	1.99
55.00	2.00	1.88	2.00	2.00	1.99	1.90	2.00
56.00	1.99	1.88	1.99	2.00	1.99	1.92	1.99
57.00	2.00	1.84	2.00	1.99	2.00	1.92	2.00
58.00	2.00	1.91	2.00	2.00	1.99	1.93	2.00
59.00	2.00	1.91	2.00	2.00	2.00	1.91	1.99
60.00	1.99	1.87	2.00	2.00	1.99	1.91	1.99
61.00	2.00	1.92	2.00	2.00	1.99	1.91	1.99
62.00	2.00	1.87	2.00	2.00	1.98	1.93	1.99
63.00	2.00	1.87	1.99	1.99	2.00	1.88	2.00
64.00	2.00	1.88	2.00	2.00	1.99	1.88	2.00
65.00	1.99	1.88	2.00	2.00	1.98	1.93	1.99
66.00	1.99	1.84	2.00	2.00	2.00	1.90	1.99
67.00	1.99	1.87	2.00	2.00	1.98	1.92	2.00
68.00	2.00	1.85	2.00	2.00	2.00	1.91	2.00
69.00	2.00	1.86	1.99	1.99	2.00	1.88	2.00
70.00	2.00	1.90	2.00	2.00	1.98	1.95	2.00
71.00	1.99	1.90	2.00	2.00	1.98	1.93	2.00
72.00	1.99	1.87	2.00	2.00	1.98	1.93	1.99
73.00	2.00	1.87	2.00	2.00	2.00	1.91	2.00
74.00	2.00	1.86	2.00	2.00	1.99	1.95	2.00
75.00	2.00	1.87	1.99	1.99	2.00	1.94	2.00
76.00	2.00	1.87	2.00	2.00	2.00	1.88	1.99
77.00	1.98	1.87	2.00	2.00	2.00	1.92	2.00
78.00	2.00	1.94	2.00	2.00	2.00	1.92	1.99
79.00	1.99	1.88	2.00	2.00	1.98	1.91	2.00
80.00	2.00	1.91	2.00	2.00	1.99	1.87	1.98
81.00	2.00	1.88	1.99	1.99	1.99	1.88	2.00
82.00	1.99	1.86	2.00	2.00	1.99	1.95	2.00
83.00	1.97	1.91	2.00	2.00	2.00	1.93	2.00
84.00	1.99	1.88	2.00	2.00	2.00	1.92	2.00
85.00	2.00	1.88	2.00	2.00	1.99	1.91	1.99
86.00	2.00	1.91	2.00	2.00	1.99	1.97	2.00
87.00	2.00	1.86	1.99	1.99	2.00	1.92	2.00
88.00	1.99	1.88	2.00	2.00	2.00	1.92	2.00
89.00	1.99	1.86	2.00	2.00	2.00	1.88	2.00
90.00	1.99	1.88	2.00	2.00	1.99	1.94	2.00
91.00	2.00	1.90	2.00	2.00	2.00	1.90	1.99
92.00	2.00	1.95	2.00	2.00	1.99	1.92	1.99
93.00	2.00	1.86	1.99	1.99	2.00	1.88	2.00
94.00	1.99	1.92	2.00	2.00	2.00	1.90	2.00
95.00	2.00	1.88	2.00	2.00	2.00	1.91	2.00
96.00	2.00	1.85	2.00	2.00	1.98	1.87	2.00
97.00	1.99	1.88	2.00	2.00	1.98	1.90	1.99
98.00	1.99	1.90	2.00	2.00	2.01	1.91	2.00
99.00	2.00	1.85	1.99	2.00	1.99	1.92	2.00
100.00	2.00	1.88	2.00	1.99	1.99	1.87	1.99
101.00	2.00	1.91	2.00	2.00	2.00	0.49	0.52
102.00	2.00	1.91	2.00	2.00	2.00	2.45	2.52
103.00	1.99	1.90	2.00	2.00	2.00	1.92	1.98
104.00	2.00	1.91	2.00	2.00	2.00	1.92	1.99
105.00	2.00	1.88	1.99	2.00	1.98	1.93	2.00
106.00	2.00	1.87	2.00	1.99	1.99	1.94	2.00
107.00	1.99	1.92	2.00	2.00	1.99	1.92	2.00
108.00	2.00	1.90	2.00	2.00	2.00	1.94	2.00
109.00	1.99	1.84	2.00	2.00	2.00	1.92	1.99
110.00	2.00	1.90	2.00	2.00	1.99	1.90	2.00
111.00	2.00	1.90	2.00	2.00	2.00	1.94	2.00
112.00	1.99	1.87	1.99	1.99	2.00	1.93	1.99
113.00	1.98	1.88	2.00	2.00	1.99	1.92	1.99
114.00	2.00	1.90	2.00	2.00	2.00	1.91	2.00
115.00	1.99	1.90	2.00	2.00	2.00	1.93	2.00
116.00	2.00	1.91	2.00	2.00	1.99	1.91	1.97
117.00	2.00	1.87	2.00	2.00	1.99	1.92	2.00
118.00	2.00	1.90	1.99	1.99	1.99	1.90	1.99
119.00	1.99	1.92	2.00	2.00	2.00	1.90	2.00
120.00	2.00	1.87	2.00	2.00	2.00	1.88	2.00
121.00	1.99	1.88	2.00	2.00	2.00	1.94	1.99
122.00	1.99	1.91	2.00	2.00	2.00	1.93	1.99
123.00	2.00	1.87	2.00	2.00	1.98	1.93	2.00
124.00	1.99	1.92	1.99	1.99	2.00	1.91	1.99
125.00	1.99	1.91	2.00	2.00	1.99	1.91	2.00
126.00	2.00	1.85	2.00	2.00	2.00	1.94	2.00
127.00	1.99	1.90	2.00	2.00	2.00	1.97	2.00
128.00	2.00	1.88	2.00	2.00	1.99	1.92	1.99
129.00	2.00	1.90	2.00	2.00	2.00	1.91	2.00
130.00	2.00	1.90	1.99	1.99	2.00	1.92	2.00
131.00	1.99	1.85	2.00	2.00	2.00	1.92	1.98
132.00	2.00	1.92	2.00	2.00	2.00	1.91	2.00
133.00	1.99	1.90	2.00	2.00	2.00	1.91	1.99
134.00	2.00	1.88	2.00	2.00	2.00	1.88	2.00
135.00	2.00	1.90	2.00	2.00	1.98	1.95	2.00
136.00	2.00	1.91	1.99	1.99	1.99	1.92	2.00
137.00	1.99	1.91	2.00	2.00	2.00	1.94	1.99
138.00	2.00	1.92	2.00	2.00	2.00	1.91	2.00
139.00	1.99	1.90	2.00	2.00	1.99	1.90	2.00
140.00	2.00	1.91	2.00	2.00	2.00	1.91	1.99
141.00	2.00	1.87	2.00	2.00	1.99	1.85	2.00
142.00	2.00	1.91	1.99	2.00	2.00	1.90	1.99
143.00	2.00	1.97	2.00	1.99	1.99	1.93	1.99
144.00	2.00	1.90	2.00	2.00	1.99	1.93	2.00
145.00	2.00	1.92	2.00	2.00	1.99	1.94	2.00
146.00	1.99	1.90	2.00	2.00	2.00	1.93	1.98
147.00	2.00	1.92	2.00	2.00	1.99	1.93	2.00
148.00	2.00	1.85	1.99	2.00	2.00	1.92	2.00
149.00	2.00	1.87	2.00	1.99	2.00	1.91	1.99
150.00	2.00	1.86	2.00	2.00	2.00	1.90	2.00
151.00	2.00	1.93	2.00	2.00	2.00	1.93	2.00
152.00	1.98	1.90	2.00	2.00	2.00	1.86	1.99
153.00	2.00	1.83	2.00	2.00	1.98	1.87	2.00
154.00	2.00	1.87	2.00	2.00	2.00	1.91	2.00
155.00	1.98	1.87	1.99	1.99	2.00	1.88	2.00
156.00	2.00	1.87	2.00	2.00	2.00	1.90	2.00
157.00	2.00	1.85	2.00	2.00	2.00	1.87	2.00
158.00	1.99	1.92	2.00	2.00	1.99	1.90	1.99
