Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
45.00	0.20	1.46	1.30	0.00	0.00	0.18	1.75	2.00	0.00	0.00	0.00	1.10	0.73	0.98	0.13
46.00	0.21	0.28	1.63	1.52	0.00	0.19	1.22	2.00	0.00	0.00	0.00	1.33	1.98	1.01	0.66
47.00	0.00	1.14	1.46	0.72	0.00	0.00	1.22	2.00	0.00	0.00	0.00	0.82	1.15	1.10	0.00
48.00	0.57	0.81	1.05	1.33	0.00	0.60	0.74	2.00	0.00	0.00	0.00	0.31	1.28	1.95	0.02
49.00	0.44	0.49	0.65	0.13	0.00	0.45	0.95	2.00	0.00	0.00	0.00	1.19	0.72	0.21	0.00
50.00	0.15	0.35	0.46	1.42	0.00	0.15	0.52	2.00	0.00	0.00	0.00	0.00	0.41	0.37	0.31
51.00	0.22	0.79	1.57	1.91	0.00	0.21	1.07	1.99	0.00	0.00	0.00	1.81	0.77	0.04	0.00
52.00	0.59	0.51	0.27	0.48	0.00	0.60	1.08	2.00	0.00	0.00	0.00	0.59	0.46	0.31	1.27
53.00	0.00	1.07	1.70	0.91	0.00	0.00	1.01	2.00	0.00	0.00	0.00	0.01	0.44	1.14	0.00
54.00	0.00	1.67	1.14	1.55	0.00	0.00	1.27	2.00	0.00	0.00	0.00	0.64	0.99	0.86	0.00
55.00	0.62	1.28	1.27	1.34	0.00	0.64	1.40	2.00	0.00	0.00	0.00	0.39	1.34	2.01	0.12
56.00	0.00	0.42	0.71	0.78	0.00	0.00	0.91	2.00	0.00	0.00	0.00	1.66	1.47	0.46	0.00
57.00	0.00	0.06	1.59	1.63	0.00	0.00	1.84	1.99	0.00	0.00	0.00	0.07	1.52	1.59	0.57
58.00	0.00	0.28	1.15	1.37	0.00	0.00	0.62	2.00	0.00	0.00	0.00	1.33	0.73	0.85	1.00
59.00	0.81	0.92	0.39	0.71	0.00	0.81	0.97	2.00	0.00	0.00	0.00	0.57	1.35	1.00	0.00
60.00	0.19	0.19	0.53	0.40	0.00	0.24	0.54	2.00	0.00	0.00	0.00	0.47	0.78	0.95	0.00
61.00	0.08	0.25	0.99	1.47	0.00	0.11	1.40	2.00	0.00	0.00	0.00	0.31	1.83	1.70	0.00
