Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.490s)
CreateVariables () DONE !!!
Creating 32 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31
2.00	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.46	0.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	1.87	0.57	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	1.75	0.92	0.00	0.00	0.00	0.00	0.00	2.00	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	0.00	0.00	0.00
5.00	1.45	0.14	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.71	0.52	0.00	0.00	0.00	0.00	0.00	2.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.00	0.00	0.00	0.00	0.00
6.00	0.53	1.31	0.00	0.00	0.00	0.00	0.00	0.00	2.11	1.77	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.25	0.61	0.00	0.00	0.00	0.00	0.00	0.00	1.52	0.00	0.00	0.00	0.00	0.00	0.00
7.00	0.47	1.14	0.00	0.00	0.00	0.00	0.00	0.00	2.01	1.48	2.07	0.00	0.00	0.00	0.00	0.00	2.00	1.64	0.67	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
8.00	1.60	0.95	0.00	0.00	0.00	0.00	0.00	0.00	1.26	1.38	0.02	0.00	0.00	0.00	0.00	0.00	1.99	0.99	0.42	0.00	0.00	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00
9.00	1.66	1.64	0.00	0.00	0.00	0.00	0.00	0.00	1.67	1.67	1.83	0.00	0.00	0.00	0.00	0.00	2.00	1.71	1.42	0.00	0.00	0.00	0.00	0.00	0.00	1.90	0.00	0.00	0.00	0.00	0.00	0.00
10.00	1.74	1.25	0.00	0.00	0.00	0.00	0.00	0.00	2.08	1.72	0.01	0.00	0.00	0.00	0.00	0.00	2.00	2.13	0.38	0.00	0.00	0.02	0.00	0.00	0.00	1.78	0.00	0.00	0.00	0.00	0.00	0.00
11.00	1.72	0.20	0.00	0.00	0.00	0.00	0.00	0.00	1.75	1.10	0.47	0.00	0.00	0.00	0.00	0.00	2.00	1.77	0.32	0.00	0.00	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00
