Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.224s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
55.00	1.85	1.75	1.45	0.00	0.00	0.00	2.00	1.99	0.00	1.85	1.90	0.00
56.00	0.45	1.20	2.00	0.00	0.00	0.00	2.00	2.00	0.73	1.99	2.03	0.00
57.00	0.00	0.29	0.11	0.00	0.00	0.00	1.99	0.13	0.00	0.13	0.12	0.00
58.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
59.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
60.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
61.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
62.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
63.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
64.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
65.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
66.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
67.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
68.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
69.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
70.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
71.00	0.19	0.25	0.22	0.00	0.62	0.00	2.00	0.45	0.09	0.24	0.48	0.33
72.00	0.60	1.58	1.78	0.00	1.21	0.00	2.00	0.93	0.00	0.67	0.91	0.67
73.00	0.18	1.01	1.41	0.00	0.02	1.21	2.00	1.88	0.00	1.60	1.14	0.78
74.00	0.29	1.31	0.55	0.00	0.81	1.30	2.00	1.18	0.31	0.86	1.22	0.00
75.00	0.66	1.73	1.38	0.00	0.01	1.84	1.99	0.58	0.22	1.81	1.66	0.98
76.00	0.28	1.93	2.00	0.00	1.92	2.00	2.00	0.49	0.20	1.72	1.97	0.51
77.00	0.11	1.50	1.41	0.00	1.06	0.94	2.00	1.12	0.04	1.25	1.35	0.87
78.00	0.57	0.49	0.87	0.00	0.44	1.21	2.00	1.33	0.68	1.27	1.37	0.42
79.00	0.01	0.19	0.67	0.00	0.01	0.19	2.00	0.41	0.00	0.13	0.53	0.67
80.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
81.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
82.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
83.00	0.00	1.59	1.59	0.00	0.00	0.00	2.00	1.59	0.00	0.00	1.59	0.00
84.00	0.00	2.00	2.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	2.00	0.00
85.00	0.00	1.99	1.99	0.00	0.00	0.00	2.00	1.99	0.00	1.87	1.99	0.00
86.00	0.00	1.98	2.01	0.00	0.00	0.00	2.00	2.00	0.00	2.00	2.00	0.00
87.00	0.00	2.01	1.99	0.00	0.00	0.00	1.99	2.00	0.00	1.99	2.00	0.00
88.00	0.00	2.00	2.00	0.00	0.00	0.00	2.00	2.00	0.00	2.00	2.00	0.00
89.00	0.00	2.01	2.00	0.00	0.00	0.00	2.00	2.00	0.00	2.00	1.99	0.00
90.00	0.00	2.00	1.99	0.00	0.00	0.00	2.00	2.00	0.00	2.00	2.01	0.00
91.00	0.00	0.12	0.13	0.00	0.00	0.00	2.00	0.12	0.00	0.13	0.12	0.00
92.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
93.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
94.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
95.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
96.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
97.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
98.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
99.00	0.15	0.75	0.94	0.00	0.13	0.00	2.00	1.17	0.06	0.81	0.64	0.00
100.00	0.54	1.92	2.03	0.00	1.02	0.00	1.99	1.81	0.32	0.91	2.08	0.00
101.00	0.11	0.52	1.70	0.00	0.26	0.00	2.00	1.71	0.52	1.99	0.31	0.00
102.00	0.40	2.93	1.91	0.00	0.65	0.00	2.00	1.06	0.00	1.25	1.11	0.00
103.00	0.32	1.90	1.74	0.00	1.64	0.00	2.00	1.74	0.00	1.14	1.25	0.00
104.00	0.58	1.86	2.00	0.00	1.27	0.00	2.00	2.26	0.00	1.81	1.61	0.00
105.00	1.18	1.79	1.04	0.00	0.67	0.00	2.00	1.28	0.16	1.25	1.08	0.00
106.00	1.14	1.07	1.35	0.00	0.72	0.00	1.99	0.95	0.00	1.22	0.98	0.00
107.00	0.82	1.61	1.61	0.00	0.84	0.00	2.00	1.02	0.32	1.38	0.35	0.00
108.00	0.79	1.77	1.98	0.00	0.16	0.00	2.00	0.84	1.11	1.95	2.47	0.00
109.00	0.00	0.28	0.25	0.00	0.08	0.00	2.00	0.46	1.14	0.19	0.31	0.00
110.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
111.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
112.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
113.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
114.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
115.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
116.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
117.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
118.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
119.00	0.00	1.65	1.50	0.61	0.00	0.00	2.00	0.60	0.00	1.72	1.73	0.00
120.00	0.00	2.06	2.07	2.70	0.00	0.00	2.00	0.98	0.00	2.00	1.99	0.00
121.00	0.00	2.01	2.00	1.94	0.00	0.00	2.00	0.45	0.00	1.91	1.99	0.00
122.00	0.00	1.99	2.00	1.99	0.00	0.00	2.00	1.99	0.00	2.00	1.99	0.00
123.00	0.00	1.77	1.19	1.12	0.64	0.00	2.00	1.25	0.00	1.46	1.57	0.00
124.00	0.00	1.92	1.31	1.06	1.25	0.00	1.99	1.32	0.00	1.71	1.91	0.00
125.00	0.00	1.00	2.08	1.53	0.98	0.00	2.00	1.14	0.00	1.97	1.86	0.00
126.00	0.00	1.31	1.99	1.85	0.00	0.00	2.00	1.83	0.00	1.95	1.99	0.00
127.00	0.00	0.38	2.01	0.26	0.00	0.00	2.00	2.07	0.00	2.05	1.83	0.00
128.00	0.00	2.67	1.97	2.06	0.62	0.00	2.00	1.98	0.00	1.37	1.60	0.00
129.00	0.00	0.55	0.91	0.41	0.53	0.00	2.00	1.11	0.00	1.24	1.55	0.00
130.00	0.45	0.69	0.69	0.35	0.74	0.00	1.99	1.14	0.00	1.24	1.13	0.00
131.00	0.28	0.66	1.28	0.24	0.86	0.00	2.00	1.71	0.22	1.21	1.78	0.00
132.00	0.02	1.17	0.61	0.00	0.26	0.00	2.00	1.17	0.24	0.21	0.53	0.00
133.00	0.65	2.14	1.97	0.00	0.18	0.00	2.00	2.07	0.19	1.81	2.18	0.00
134.00	0.00	2.00	2.00	0.00	0.00	0.00	2.00	1.99	0.00	2.00	2.00	0.00
135.00	0.00	2.00	2.00	0.00	0.00	0.00	2.00	1.99	0.00	2.00	2.00	0.00
136.00	0.00	1.99	1.99	0.00	0.00	0.00	1.99	2.00	0.00	2.00	2.00	0.00
137.00	0.00	1.13	1.12	0.00	0.00	0.00	2.00	1.13	0.00	1.12	1.12	0.00
138.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
139.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
140.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
141.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
142.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
143.00	0.00	1.61	1.77	1.66	0.11	0.00	1.99	1.85	0.00	1.40	1.84	0.00
144.00	0.00	0.00	1.99	1.94	0.00	0.00	2.00	2.00	0.00	0.00	2.01	0.00
145.00	0.00	1.45	1.05	1.48	0.00	0.00	2.00	1.32	1.26	1.15	1.27	0.00
146.00	0.00	2.01	2.36	0.45	0.00	0.00	2.00	1.63	1.50	1.99	1.79	0.00
147.00	0.00	2.00	2.01	0.89	0.00	0.00	2.00	1.95	1.98	2.00	2.00	0.00
148.00	0.00	0.73	1.19	0.62	0.00	0.00	2.00	1.81	0.98	1.54	1.34	0.00
149.00	0.00	1.24	2.33	0.04	0.00	0.00	1.99	1.74	1.21	0.21	1.07	0.00
150.00	0.00	2.00	2.00	0.08	0.00	0.00	2.00	2.00	0.99	0.00	1.12	0.00
151.00	0.00	0.86	0.86	0.88	0.00	0.00	2.00	0.87	0.00	0.00	0.88	0.00
152.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
153.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
154.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
155.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
156.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
157.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
158.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
159.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
160.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
161.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
162.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
163.00	1.12	0.28	1.15	1.17	0.00	0.00	2.00	1.54	0.00	1.53	1.53	1.48
164.00	0.22	0.40	0.22	0.91	0.00	0.00	2.00	0.98	0.00	0.40	0.69	0.71
165.00	0.59	0.38	1.20	1.13	0.00	0.00	2.00	1.11	0.00	1.60	2.14	1.66
166.00	0.20	0.07	1.60	0.99	0.00	0.00	2.00	2.14	0.00	1.64	1.79	2.24
167.00	0.00	2.30	1.28	0.32	0.00	0.00	1.99	1.72	0.00	1.74	1.83	1.73
168.00	0.27	0.99	1.32	2.23	0.00	0.00	2.00	1.94	0.00	1.90	2.00	2.01
169.00	0.64	1.59	1.46	1.18	0.00	0.00	2.00	1.44	0.00	1.02	1.15	1.19
170.00	0.61	0.61	1.05	1.06	0.00	0.00	2.00	1.10	0.00	1.28	1.32	0.64
171.00	0.00	1.55	0.62	0.81	0.00	0.00	2.00	0.68	0.00	0.45	0.32	0.12
172.00	0.33	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.13	0.00	0.00
173.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
174.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
175.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
176.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
177.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
178.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
179.00	0.00	1.17	1.17	0.00	0.00	0.00	1.99	1.17	0.00	1.17	1.17	0.00
10.2.1.2	2.04	7.86
10.1.1.1	0.18	246908.93
10.1.1.2	0.76	70611.66
10.1.1.3	0.95	46003.06
10.1.1.4	0.40	149806.41
10.1.1.5	0.20	135829.47
10.1.1.6	0.75	95911.94
10.1.1.8	0.84	54366.86
10.1.1.9	0.15	212938.14
10.1.1.10	0.82	49700.73
10.1.1.11	0.90	55704.13
10.1.1.12	0.30	140997.79
