Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.221s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
120.00	1.41	1.48	2.00	1.13	0.71
121.00	0.88	1.60	2.00	1.59	0.84
122.00	0.91	1.50	2.00	1.71	0.81
123.00	0.75	1.75	2.00	1.50	0.94
124.00	0.73	1.51	1.99	1.74	0.85
125.00	0.88	1.66	2.00	1.55	0.81
126.00	0.08	2.56	2.00	2.33	0.00
127.00	0.00	2.14	2.00	2.41	0.53
128.00	0.00	1.93	2.00	1.47	1.65
129.00	0.82	1.54	2.00	1.47	0.97
130.00	0.99	1.30	1.99	1.48	1.07
131.00	0.80	1.63	2.00	1.66	0.89
132.00	0.74	1.74	2.00	1.67	0.84
133.00	0.85	1.48	2.00	1.67	0.82
134.00	0.85	1.64	2.00	2.50	0.02
135.00	0.65	1.97	2.00	2.30	0.00
136.00	0.00	2.68	1.99	2.04	0.00
137.00	0.75	1.35	2.00	1.46	1.20
138.00	0.94	1.39	2.00	1.45	1.17
139.00	0.77	1.74	2.00	1.68	0.69
140.00	0.88	1.57	2.00	1.66	0.89
141.00	0.53	1.28	2.00	1.67	0.87
142.00	0.95	1.74	2.00	1.63	0.89
143.00	0.52	2.23	1.99	1.77	0.45
144.00	0.00	2.46	2.00	2.61	0.00
145.00	1.15	1.51	2.00	2.20	0.00
146.00	1.37	1.59	2.00	1.98	0.00
147.00	1.11	1.64	2.00	1.28	0.80
148.00	0.81	1.66	2.00	1.55	0.93
149.00	0.81	1.65	1.99	1.58	0.91
150.00	0.78	1.73	2.00	1.70	0.80
151.00	0.51	1.75	2.00	1.80	0.88
152.00	0.00	2.18	2.00	1.64	1.10
153.00	0.00	2.23	2.00	2.00	0.69
154.00	0.00	2.40	2.00	2.66	0.00
155.00	1.21	1.38	1.99	1.22	1.04
156.00	1.04	1.34	2.00	1.57	0.87
157.00	0.77	1.71	2.00	1.80	0.74
158.00	0.81	1.59	2.00	1.53	0.91
159.00	0.73	1.61	2.00	1.68	0.92
160.00	0.74	1.59	2.00	1.70	0.80
161.00	0.48	1.72	1.99	2.12	0.65
162.00	0.00	2.52	2.00	2.44	0.00
163.00	0.64	1.97	2.00	1.65	0.61
164.00	1.05	1.24	2.00	1.35	1.20
165.00	0.66	1.71	2.00	1.66	0.91
166.00	0.74	1.71	2.00	1.74	0.71
167.00	0.87	1.70	1.99	1.44	0.94
168.00	0.69	1.87	2.00	1.54	0.88
169.00	0.87	1.74	2.00	1.85	0.67
170.00	0.00	2.47	2.00	2.58	0.00
171.00	0.84	1.80	2.00	1.83	0.58
172.00	1.07	1.44	2.00	1.37	1.08
173.00	0.79	1.71	1.99	1.65	0.75
174.00	0.88	1.60	2.00	1.67	0.73
175.00	0.86	1.60	2.00	1.61	0.89
176.00	0.94	1.57	2.00	1.75	0.67
177.00	0.67	1.81	2.00	1.57	0.93
178.00	0.00	2.54	2.00	2.57	0.00
179.00	0.95	1.74	1.99	1.65	0.62
10.2.1.2	2.04	8.26
10.1.1.1	0.70	433428.73
10.1.1.2	1.79	339619.76
10.1.1.4	1.80	340176.30
10.1.1.5	0.69	439409.15
