Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.233s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	1.00	0.00	0.89	1.05	2.00	1.22	0.00	1.01
6.00	1.97	0.00	1.81	2.00	2.00	2.00	1.19	1.98
7.00	1.99	1.21	1.94	1.99	2.00	1.99	1.95	1.99
8.00	2.00	1.95	2.00	2.00	1.99	2.00	1.97	2.00
9.00	1.99	1.93	2.00	2.00	2.00	1.99	1.95	2.00
10.00	1.99	2.00	2.00	2.00	2.00	1.99	1.93	1.99
11.00	1.99	1.98	1.99	2.00	2.00	1.99	1.88	2.00
12.00	2.00	1.95	1.98	2.00	2.00	2.00	1.95	2.00
13.00	1.99	1.93	2.00	2.00	2.00	1.99	1.93	1.98
14.00	1.99	1.95	2.00	1.99	1.99	2.00	1.95	2.00
15.00	1.99	1.97	1.99	2.00	2.00	1.99	1.99	2.00
16.00	1.97	1.97	1.99	2.00	2.00	2.00	1.95	2.00
17.00	1.99	1.90	1.98	2.00	2.00	1.99	1.93	1.99
18.00	2.00	1.93	1.99	2.00	2.00	1.99	1.93	2.00
19.00	1.99	1.95	1.99	2.00	2.00	1.99	1.94	2.00
20.00	2.00	1.95	1.99	1.99	1.99	2.00	1.92	2.00
21.00	1.99	1.99	2.00	2.00	2.00	1.99	1.98	2.00
22.00	2.00	1.94	1.99	2.00	2.00	2.00	1.93	1.99
23.00	1.98	1.90	1.97	2.00	2.00	1.99	1.97	2.01
24.00	2.00	1.93	1.98	2.00	2.00	1.99	1.94	1.99
25.00	1.99	1.94	2.00	2.00	2.00	1.99	1.93	2.00
26.00	2.00	1.95	2.00	1.99	1.99	2.00	1.95	2.00
27.00	1.99	1.93	2.00	2.00	2.00	2.00	1.94	2.00
28.00	2.00	1.93	1.98	2.00	2.00	2.00	1.91	2.00
