Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.247s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
103.00	2.10	2.53	1.07	2.00	1.98	0.72
104.00	1.99	1.86	1.99	2.00	2.00	1.24
105.00	0.59	1.93	1.94	2.00	1.99	1.81
106.00	0.00	1.32	1.19	1.99	1.95	1.28
107.00	1.72	2.45	0.79	2.00	2.03	1.60
108.00	2.05	2.04	1.51	2.00	2.01	1.65
109.00	1.99	2.00	0.00	2.00	1.99	1.99
110.00	2.01	2.01	0.00	2.00	2.01	2.01
111.00	1.94	1.84	2.14	2.00	1.60	1.24
112.00	2.04	1.37	1.52	1.99	2.31	0.78
113.00	1.31	1.52	0.65	2.00	1.38	1.45
114.00	1.79	1.93	0.00	2.00	2.21	1.88
115.00	2.28	1.91	0.00	2.00	1.60	1.57
116.00	0.86	1.70	0.00	2.00	1.64	1.55
117.00	1.97	2.31	0.00	2.00	2.23	2.17
118.00	2.00	2.00	0.00	1.99	2.00	1.99
119.00	0.02	2.01	0.00	2.00	2.00	2.00
120.00	0.07	1.99	0.00	2.00	1.99	1.98
121.00	0.00	2.00	0.00	2.00	2.01	2.01
122.00	0.00	2.00	0.00	2.00	1.99	1.99
123.00	1.90	1.99	0.00	2.00	1.99	2.00
124.00	2.00	2.00	0.00	1.99	2.01	2.01
125.00	1.98	2.01	0.00	2.00	2.00	1.97
126.00	2.00	1.99	0.00	2.00	2.00	2.01
127.00	2.00	2.00	0.00	2.00	2.00	2.00
128.00	2.00	2.00	0.00	2.00	1.99	2.00
129.00	1.99	2.00	0.00	2.00	2.00	1.98
130.00	2.00	2.00	0.00	1.99	2.00	2.03
131.00	2.00	1.99	0.00	2.00	2.00	1.97
132.00	2.00	2.00	0.00	2.00	1.99	2.00
133.00	1.95	2.00	0.00	2.00	2.01	1.99
134.00	2.00	2.00	0.00	2.00	1.99	2.00
135.00	2.00	1.93	1.61	2.00	2.00	1.72
136.00	1.97	2.06	0.62	1.99	1.85	1.79
137.00	1.99	2.00	0.99	2.00	2.00	1.33
138.00	2.00	2.00	2.16	2.00	2.00	2.05
139.00	2.00	1.99	2.00	2.00	2.00	1.98
140.00	2.00	2.00	2.01	2.00	2.00	2.01
141.00	2.00	2.00	1.99	2.00	1.99	1.99
142.00	1.99	2.00	2.00	2.00	2.00	2.00
143.00	2.00	2.00	0.39	1.99	2.00	2.00
144.00	2.00	2.00	0.00	2.00	2.00	2.00
145.00	2.00	2.00	0.00	2.00	2.00	2.00
146.00	2.00	1.99	0.00	2.00	2.00	2.00
147.00	2.00	2.00	0.00	2.00	2.00	1.99
148.00	2.00	2.00	0.00	2.00	1.99	2.00
149.00	1.98	2.00	1.68	1.99	2.00	2.00
150.00	2.00	2.00	1.99	2.00	2.00	1.99
151.00	2.00	1.99	2.01	2.00	2.00	2.00
152.00	2.00	1.99	2.00	2.00	2.00	2.00
153.00	2.00	2.01	1.98	2.00	2.00	1.98
154.00	2.00	1.99	2.00	2.00	1.99	2.00
155.00	1.99	2.00	2.00	1.99	2.00	2.00
156.00	2.00	1.99	1.99	2.00	1.99	1.99
157.00	2.00	2.00	1.99	2.00	2.01	2.00
158.00	2.00	2.00	2.00	2.00	1.99	2.00
159.00	2.00	1.99	2.00	2.00	2.01	2.00
160.00	1.99	2.00	1.99	2.00	2.00	2.00
161.00	1.99	2.00	2.00	1.99	1.99	1.99
162.00	2.00	2.00	2.00	2.00	2.00	2.00
163.00	2.00	2.00	2.00	2.00	2.00	1.98
164.00	2.00	2.00	2.01	2.00	2.00	2.01
165.00	1.99	1.99	1.99	2.00	1.99	1.99
166.00	1.98	2.00	1.99	2.00	2.00	2.00
167.00	2.00	2.00	2.00	1.99	2.00	1.99
168.00	2.00	2.00	2.01	2.00	2.00	2.01
169.00	2.00	2.00	2.00	2.00	2.00	2.00
170.00	2.00	2.00	1.98	2.00	1.99	1.99
171.00	1.58	1.58	1.52	2.00	1.92	1.52
172.00	2.27	2.26	2.07	2.00	2.00	1.94
173.00	1.99	1.98	2.03	1.99	1.99	1.99
174.00	2.00	2.00	1.99	2.00	2.00	2.01
175.00	1.99	1.98	1.98	2.00	2.00	1.94
176.00	1.99	2.00	1.99	2.00	2.00	1.97
177.00	2.00	2.00	1.98	2.00	1.99	1.98
178.00	1.99	2.00	1.99	2.00	2.00	2.00
179.00	2.00	2.00	1.99	1.99	2.00	1.97
10.2.1.2	2.04	7.93
10.1.1.1	1.63	23363.53
10.1.1.2	1.87	91738.94
10.1.1.3	1.22	172919.82
10.1.1.5	1.92	13796.58
10.1.1.6	1.50	65305.87
