Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.341s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
72.00	1.90	1.33	1.07	1.46	2.00	1.05	1.01	1.07	1.34
73.00	1.21	1.63	1.84	1.55	2.00	1.86	0.81	1.74	0.64
74.00	1.20	1.18	0.46	1.39	2.00	1.70	1.90	1.14	0.55
75.00	0.42	1.53	1.78	1.47	1.99	1.73	0.80	1.10	1.58
76.00	0.39	0.47	0.53	0.93	2.00	1.55	1.17	1.01	1.65
77.00	1.41	0.86	2.53	1.99	2.00	2.00	1.97	1.98	1.60
78.00	0.53	1.25	1.50	1.32	2.00	1.25	1.63	1.52	1.65
79.00	1.75	0.04	0.52	1.01	2.00	0.75	0.14	1.02	1.47
80.00	1.08	1.67	1.66	0.41	2.00	0.98	0.33	0.87	1.06
81.00	1.99	1.78	0.71	2.54	1.99	2.21	1.21	1.98	1.44
82.00	1.37	1.61	1.48	1.57	2.00	1.94	0.37	1.53	1.87
83.00	1.12	1.83	1.84	1.64	2.00	1.77	1.24	1.04	1.75
84.00	1.72	1.54	1.91	1.52	2.00	2.04	1.01	1.88	1.94
85.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	1.99
86.00	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	1.99
87.00	1.99	1.99	1.99	2.00	1.99	2.00	1.99	1.99	1.99
88.00	1.54	1.61	1.52	1.58	2.00	1.68	1.52	1.65	1.67
89.00	0.87	1.59	0.93	1.19	2.00	0.75	1.45	1.44	0.71
90.00	2.57	1.99	2.06	2.06	2.00	0.92	1.97	1.91	1.95
91.00	2.00	2.01	1.99	2.00	2.00	2.00	2.00	1.99	1.99
92.00	1.99	1.99	1.97	2.00	2.00	2.00	1.98	2.00	1.98
93.00	1.99	2.00	1.99	2.00	1.99	1.99	2.00	2.00	1.99
94.00	1.66	1.67	1.10	1.47	2.00	1.37	1.37	1.88	1.90
95.00	0.78	1.02	0.40	1.14	2.00	1.44	1.52	1.78	0.74
96.00	2.00	1.54	1.91	1.06	2.00	1.13	0.94	0.64	0.65
97.00	0.68	1.78	0.05	2.01	2.00	1.74	1.22	1.91	1.74
98.00	1.42	1.81	2.48	1.80	2.00	1.61	1.64	1.70	1.21
99.00	0.65	1.70	1.74	1.92	2.00	1.54	1.11	1.38	1.86
100.00	1.64	0.35	1.48	1.21	1.99	1.04	0.58	1.59	1.50
101.00	1.50	1.33	1.39	1.59	2.00	1.30	2.37	1.81	1.86
102.00	1.72	1.77	1.72	2.03	2.00	1.79	0.53	1.75	1.77
103.00	1.77	1.39	1.70	1.26	2.00	1.57	1.52	1.10	1.41
104.00	1.42	1.68	1.79	1.17	2.00	1.77	1.74	1.17	1.37
105.00	1.93	1.94	1.92	2.10	2.00	2.00	0.04	2.05	1.78
106.00	2.00	2.00	2.00	2.00	1.99	2.00	1.78	2.00	2.00
107.00	1.99	1.99	1.98	2.00	2.00	1.97	1.99	2.00	1.98
108.00	2.00	2.01	2.00	2.00	2.00	2.00	2.01	2.00	2.00
109.00	1.99	1.99	1.99	1.99	2.00	2.00	1.99	1.99	1.99
110.00	0.77	1.60	1.70	1.06	2.00	1.32	1.21	1.30	1.37
