Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.258s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
2.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	1.86	0.00	0.00
4.00	0.00	0.00	2.00	0.00	0.00
5.00	1.67	1.87	2.00	0.00	1.67
6.00	1.99	1.99	2.00	1.90	1.98
7.00	2.00	2.00	2.00	2.00	2.00
8.00	2.00	2.00	1.99	2.00	2.00
9.00	1.99	2.00	2.00	1.99	2.00
10.00	1.99	1.98	2.00	2.00	2.00
11.00	1.94	1.95	2.00	1.99	1.99
12.00	2.00	2.00	2.00	2.00	2.00
13.00	1.99	2.00	2.00	2.00	2.00
14.00	1.99	2.00	1.99	2.00	1.99
15.00	2.00	1.99	2.00	2.00	2.00
16.00	1.98	2.00	2.00	2.00	1.99
17.00	2.00	1.99	2.00	1.99	2.00
18.00	1.99	1.99	2.00	2.00	1.99
19.00	2.00	2.01	2.00	2.00	2.01
20.00	2.00	1.99	1.99	2.00	1.99
21.00	1.99	1.99	2.00	1.99	1.99
22.00	2.00	1.99	2.00	1.99	2.00
23.00	2.00	2.00	2.00	2.00	1.99
24.00	2.00	1.99	2.00	2.00	2.00
25.00	1.99	1.99	2.00	2.00	1.99
26.00	2.00	2.00	1.99	2.00	2.00
27.00	1.99	2.00	2.00	1.99	1.99
28.00	1.99	2.00	2.00	2.01	2.00
29.00	2.00	1.99	2.00	1.99	1.98
30.00	2.00	1.99	2.00	2.00	2.00
31.00	1.95	2.00	2.00	2.00	1.95
32.00	2.00	2.00	1.99	2.00	1.99
33.00	2.00	2.00	2.00	1.99	2.00
34.00	1.99	2.00	2.00	2.01	2.00
