Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.290s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
72.00	1.99	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00
73.00	2.00	1.97	1.98	1.99	2.00	1.98	2.00	2.00	1.98
74.00	2.00	2.00	1.99	2.00	2.00	1.99	2.00	1.99	2.00
75.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00
76.00	2.00	1.99	1.99	2.00	2.00	1.99	2.00	2.00	2.00
77.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00
78.00	2.00	2.00	2.00	2.00	2.00	1.99	2.01	2.00	1.99
79.00	2.00	1.99	1.97	2.00	2.00	2.00	2.00	2.00	1.98
80.00	1.99	1.99	1.99	1.99	2.00	2.00	1.99	1.99	1.99
81.00	2.00	1.98	2.00	2.00	1.99	2.00	2.00	2.00	2.00
82.00	1.99	2.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00
83.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00
84.00	2.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	1.99
85.00	1.99	2.00	2.01	2.00	2.00	2.00	1.99	2.00	1.99
86.00	2.00	1.99	1.99	1.99	2.00	2.00	2.00	1.99	2.00
87.00	2.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00	2.00
88.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00
89.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00
90.00	2.00	1.99	1.99	2.00	2.00	1.99	2.00	2.00	2.00
91.00	1.99	1.99	1.99	1.99	2.00	1.98	1.99	2.00	2.00
92.00	2.00	1.98	2.00	2.00	2.00	1.99	2.00	1.99	1.99
93.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00
94.00	2.00	1.99	1.99	2.00	2.00	2.00	2.00	2.00	2.00
95.00	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	2.00
96.00	1.99	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00
97.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	1.99	1.99
98.00	2.00	1.98	1.99	2.00	2.00	1.97	2.01	2.00	1.99
99.00	2.00	2.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00
100.00	1.99	1.98	2.00	2.00	1.99	2.00	2.00	2.00	2.00
101.00	2.00	1.99	1.99	2.00	2.00	2.00	2.00	2.00	2.00
102.00	2.00	1.99	2.00	2.00	2.00	1.98	1.99	2.00	2.00
103.00	2.00	2.00	1.99	2.00	2.00	1.99	2.01	1.99	1.98
104.00	1.99	1.99	2.00	2.00	2.00	2.00	1.99	2.01	2.00
105.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00	1.99	2.00
106.00	1.99	1.99	1.99	2.00	1.99	2.00	2.00	2.00	2.00
107.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
108.00	1.99	2.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00
109.00	1.99	2.00	1.99	2.00	2.00	1.99	2.00	2.00	1.99
110.00	2.00	1.98	2.00	2.00	2.00	1.99	1.98	2.00	1.99
111.00	2.00	1.97	2.00	1.99	2.00	2.00	2.00	1.99	2.00
112.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00
113.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00	1.99
114.00	2.00	1.98	2.00	2.00	2.00	2.00	2.00	2.00	2.00
115.00	1.98	1.98	0.20	1.99	2.00	1.99	1.99	1.99	1.99
116.00	1.99	2.00	0.00	2.00	2.00	2.00	1.99	2.00	2.00
117.00	2.00	2.00	0.00	1.57	2.00	2.00	1.55	2.00	1.99
118.00	1.99	1.92	1.04	1.17	1.99	1.99	1.15	2.00	1.92
119.00	2.00	1.97	1.94	2.00	2.00	2.00	2.03	2.00	2.04
120.00	2.01	2.00	2.03	1.99	2.00	2.00	1.99	1.99	2.00
121.00	1.94	2.00	2.00	2.01	2.00	2.01	2.00	2.00	2.00
122.00	1.99	1.99	1.99	1.99	2.00	1.99	2.00	2.00	2.00
