Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.322s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
80.00	1.98	2.00	2.00	0.47	2.00	2.01	0.00	0.47
81.00	2.00	1.99	2.00	0.26	1.99	1.99	0.00	0.24
82.00	1.99	2.01	1.92	0.51	2.00	1.91	0.00	0.52
83.00	2.00	1.99	1.99	0.47	2.00	2.00	0.00	0.47
84.00	1.99	2.00	1.99	0.45	2.00	1.98	0.00	0.46
85.00	2.01	1.99	1.77	1.53	2.00	1.95	0.00	1.52
86.00	1.99	1.98	1.91	0.00	2.00	1.93	0.00	0.00
87.00	1.99	2.00	2.00	0.62	1.99	1.90	0.00	0.62
88.00	1.98	1.98	1.98	0.00	2.00	1.98	0.00	0.00
89.00	2.01	2.03	1.97	0.18	2.00	1.85	0.00	0.18
90.00	2.00	2.00	1.94	1.11	2.00	2.01	0.00	1.12
91.00	2.00	1.99	2.00	2.01	2.00	1.99	0.00	1.99
92.00	2.00	2.00	1.86	1.86	2.00	1.99	0.00	1.87
93.00	1.99	1.94	1.97	0.80	1.99	1.97	0.00	0.61
94.00	2.00	2.00	1.65	0.00	2.00	1.67	0.00	0.00
95.00	2.00	1.99	2.00	0.67	2.00	2.01	0.00	0.68
96.00	2.00	1.95	2.00	0.16	2.00	2.00	0.00	0.16
97.00	2.00	1.99	1.99	0.18	2.00	1.99	0.00	0.15
98.00	1.99	2.00	1.74	0.01	2.00	1.86	0.00	0.01
