Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.191s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
2.00	1.44	0.00	1.99	0.84	1.84
3.00	1.41	0.35	2.00	0.01	1.83
4.00	0.95	1.37	2.00	0.24	1.39
5.00	0.99	0.00	2.00	0.00	1.86
6.00	2.01	0.95	2.00	0.73	1.79
7.00	0.01	0.27	2.00	0.19	2.01
8.00	0.00	0.00	1.99	0.05	1.97
9.00	0.45	0.24	2.00	0.22	1.92
10.00	1.38	1.14	2.00	0.88	1.85
11.00	0.49	1.27	2.00	1.11	1.48
12.00	0.88	0.59	2.00	0.05	1.94
13.00	1.52	0.73	2.00	0.60	1.78
14.00	0.19	0.00	1.99	0.01	1.99
15.00	0.00	0.00	2.00	0.01	1.99
16.00	0.00	0.00	2.00	0.00	2.00
17.00	0.00	0.00	2.00	0.00	1.99
18.00	0.00	0.00	2.00	0.00	2.00
19.00	0.00	0.00	2.00	0.01	1.99
20.00	0.00	0.00	1.99	0.00	2.00
21.00	0.00	0.00	2.00	0.00	2.00
22.00	0.00	0.00	2.00	0.00	2.00
23.00	0.00	0.00	2.00	0.00	2.00
24.00	0.00	0.00	2.00	0.00	2.00
25.00	0.00	0.00	2.00	0.00	1.99
26.00	0.00	0.00	1.99	0.01	2.00
27.00	0.61	0.58	2.00	0.19	1.52
28.00	0.27	0.26	2.00	0.06	1.26
29.00	0.53	0.45	2.00	0.04	1.94
30.00	0.00	0.00	2.00	0.05	1.98
31.00	0.00	0.00	2.00	0.01	2.00
32.00	1.44	1.66	1.99	0.95	1.70
33.00	0.69	0.65	2.00	0.66	2.03
34.00	0.00	0.00	2.00	0.00	2.00
35.00	0.00	0.00	2.00	0.01	2.00
36.00	0.00	0.00	2.00	0.00	2.00
37.00	0.00	0.00	2.00	0.00	1.99
38.00	0.00	0.00	1.99	0.00	2.00
39.00	0.00	0.00	2.00	0.00	2.00
40.00	0.00	0.00	2.00	0.00	2.00
41.00	0.00	0.00	2.00	0.00	2.00
42.00	0.00	0.00	2.00	0.00	2.00
43.00	0.00	0.00	2.00	0.00	1.99
44.00	0.00	0.00	1.99	0.00	2.00
45.00	0.00	0.00	2.00	0.00	2.00
46.00	0.00	0.00	2.00	0.01	2.00
47.00	0.00	0.00	2.00	0.00	2.00
48.00	0.00	0.00	2.00	0.00	2.00
49.00	0.00	0.00	2.00	0.00	1.99
50.00	0.00	0.00	2.00	0.00	1.99
51.00	0.00	0.00	1.99	0.00	2.00
52.00	0.00	0.00	2.00	0.00	2.00
53.00	0.00	0.00	2.00	0.00	2.00
54.00	0.00	0.00	2.00	0.00	2.00
55.00	0.00	0.00	2.00	0.00	2.00
56.00	0.00	0.00	2.00	0.00	1.99
57.00	0.00	0.00	1.99	0.00	2.00
58.00	0.05	0.04	2.00	0.06	1.98
59.00	1.47	1.60	2.00	1.10	1.39
60.00	0.51	1.68	2.00	0.57	1.74
61.00	0.71	0.86	2.00	0.77	1.75
62.00	0.00	0.00	2.00	0.01	1.98
63.00	0.24	0.31	1.99	0.27	2.01
64.00	1.24	1.32	2.00	0.02	1.98
65.00	1.32	1.65	2.00	1.13	1.64
66.00	1.24	1.64	2.00	0.98	1.79
67.00	0.87	0.88	2.00	0.44	0.38
68.00	0.94	0.68	2.00	0.55	2.84
69.00	0.84	1.59	1.99	1.26	1.84
70.00	0.48	0.00	2.00	0.05	1.06
71.00	0.00	0.00	2.00	0.06	1.19
72.00	0.00	0.00	2.00	0.00	2.00
73.00	0.00	0.00	2.00	0.00	2.00
74.00	0.00	0.00	2.00	0.00	1.98
75.00	0.00	0.00	1.99	0.00	2.00
76.00	0.00	0.00	2.00	0.00	2.00
77.00	0.00	0.00	2.00	0.00	2.00
78.00	0.00	0.00	2.00	0.00	2.00
79.00	0.00	0.00	2.00	0.00	1.99
80.00	0.00	0.00	2.00	0.00	1.99
81.00	0.00	0.00	1.99	0.00	2.00
82.00	0.00	0.00	2.00	0.00	2.00
83.00	0.00	0.00	2.00	0.00	2.00
84.00	0.00	0.00	2.00	0.00	2.00
85.00	0.00	0.00	2.00	0.00	2.00
86.00	0.00	0.00	2.00	0.00	1.99
87.00	0.00	0.00	1.99	0.00	2.00
88.00	0.00	0.00	2.00	0.00	2.00
89.00	0.00	0.00	2.00	0.00	2.00
90.00	0.00	0.00	2.00	0.00	2.00
91.00	0.00	0.00	2.00	0.00	2.00
92.00	0.00	0.00	2.00	0.00	1.99
93.00	0.00	0.00	1.99	0.00	2.00
94.00	0.00	0.00	2.00	0.00	2.00
95.00	0.00	0.00	2.00	0.00	2.00
96.00	0.00	0.00	2.00	0.00	2.00
97.00	0.00	0.00	2.00	0.00	2.00
98.00	0.00	0.00	2.00	0.00	2.00
99.00	0.00	0.00	2.00	0.00	1.99
100.00	0.00	0.00	1.99	0.00	2.00
101.00	0.00	0.00	2.00	0.00	1.99
102.00	0.00	0.00	2.00	0.00	2.00
103.00	0.00	0.00	2.00	0.00	2.00
104.00	0.00	0.00	2.00	0.00	1.99
105.00	0.00	0.00	2.00	0.00	1.99
106.00	0.00	0.00	1.99	0.00	2.00
107.00	0.00	0.00	2.00	0.00	2.00
108.00	0.00	0.00	2.00	0.00	2.00
109.00	0.00	0.00	2.00	0.00	2.00
110.00	0.00	0.00	2.00	0.00	1.99
111.00	0.00	0.00	2.00	0.00	2.00
112.00	0.00	0.00	1.99	0.00	2.00
113.00	1.26	1.18	2.00	1.07	1.71
114.00	0.77	1.05	2.00	0.84	0.74
115.00	0.48	0.00	2.00	0.05	2.67
116.00	0.42	0.06	2.00	0.00	2.00
117.00	0.49	0.00	2.00	0.00	0.32
118.00	0.61	0.00	1.99	0.09	1.59
119.00	0.01	0.00	2.00	0.02	1.99
120.00	1.95	1.87	2.00	0.18	1.99
121.00	0.18	0.09	2.00	0.08	1.34
122.00	0.51	0.37	2.00	0.02	0.45
