Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.280s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
65.00	2.00	1.98	1.92	0.27	0.00	2.00	1.91	1.67	0.08	0.00
66.00	1.95	1.94	0.75	0.28	0.00	2.00	1.20	0.95	0.51	0.00
67.00	1.73	1.90	1.13	0.00	0.00	2.00	1.83	0.72	0.00	0.00
68.00	2.00	1.98	2.50	0.00	0.00	2.00	2.07	0.55	0.62	0.64
69.00	1.97	1.98	1.37	0.35	0.00	1.99	1.90	0.71	0.13	0.31
70.00	1.68	1.59	1.00	1.64	0.00	2.00	1.80	0.89	0.00	0.00
71.00	2.03	1.86	1.25	0.00	0.00	2.00	1.98	1.38	1.81	0.26
72.00	2.00	1.95	0.85	0.00	0.00	2.00	2.00	1.65	0.00	0.00
73.00	1.94	1.95	1.10	0.00	0.00	2.00	1.99	1.55	0.49	0.00
74.00	1.99	1.94	1.83	0.00	0.00	2.00	2.00	1.74	0.19	0.00
75.00	1.99	1.97	1.97	0.00	0.00	1.99	1.97	1.94	1.88	0.00
76.00	1.86	1.79	0.67	0.00	0.00	2.00	1.73	1.11	0.00	0.00
77.00	1.73	1.30	0.47	0.99	0.00	2.00	1.41	0.67	0.84	0.39
78.00	2.06	1.91	1.85	0.00	0.00	2.00	2.04	1.65	1.65	0.00
79.00	2.00	1.86	1.74	0.00	0.00	2.00	1.99	1.73	1.73	0.00
80.00	2.00	2.12	0.64	0.00	0.00	2.00	2.00	1.58	0.42	0.00
