Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.364s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
2.00	0.00	0.00	0.00	1.99	0.00	0.46	0.00
3.00	0.68	0.69	0.67	2.00	0.65	2.26	2.28
4.00	2.00	2.00	2.00	2.00	2.00	1.92	1.98
5.00	1.99	1.99	1.99	2.00	2.00	1.97	2.00
6.00	2.00	2.00	2.00	2.00	1.99	1.94	2.00
7.00	2.00	2.00	1.99	2.00	1.97	1.92	2.00
8.00	2.00	2.00	2.00	1.99	1.97	1.92	2.00
9.00	2.00	2.00	2.00	2.00	1.95	1.98	1.99
10.00	2.00	2.00	2.00	2.00	1.97	1.97	1.99
11.00	1.99	1.99	1.99	2.00	1.97	1.91	1.99
12.00	1.99	2.00	1.99	2.00	1.94	1.95	1.98
13.00	2.00	2.00	2.00	2.00	1.99	1.95	2.00
14.00	2.00	2.00	2.00	1.99	1.97	1.98	2.00
15.00	2.00	2.00	2.00	2.00	1.98	1.95	1.99
16.00	2.00	2.00	1.99	2.00	1.97	1.94	1.99
17.00	1.99	1.99	2.00	2.00	1.99	1.97	2.00
18.00	1.99	1.98	2.00	2.00	1.99	1.92	1.99
19.00	2.00	2.00	2.00	2.00	2.00	1.97	2.00
20.00	2.00	2.00	2.00	1.99	2.00	1.95	1.99
21.00	1.98	2.00	2.00	2.00	2.00	1.98	2.00
22.00	2.00	2.00	2.00	2.00	1.99	1.91	1.99
23.00	2.00	2.00	2.00	2.00	1.97	1.93	1.99
24.00	1.99	1.99	1.99	2.00	1.95	1.97	2.00
25.00	2.00	2.00	1.98	2.00	1.99	1.92	1.99
26.00	2.00	2.00	2.00	1.99	1.99	1.98	2.00
27.00	1.99	1.99	2.00	2.00	1.99	1.93	1.99
28.00	2.00	2.00	1.99	2.00	2.00	1.98	1.99
29.00	1.99	1.99	1.99	2.00	1.98	1.97	2.00
30.00	1.98	2.00	1.99	2.00	2.00	1.94	1.99
31.00	2.00	2.00	1.99	2.00	2.00	1.92	2.00
32.00	2.00	2.00	2.00	1.99	2.00	1.95	2.00
33.00	1.92	1.92	1.92	2.00	1.91	1.93	2.00
34.00	0.00	0.57	0.57	2.00	0.15	2.00	1.88
35.00	0.42	0.61	0.59	2.00	0.04	1.53	1.50
36.00	0.20	0.60	0.35	2.00	0.94	1.42	1.31
37.00	0.16	0.77	0.60	2.00	0.35	1.98	1.98
38.00	2.00	2.00	2.00	1.99	1.98	1.95	2.00
39.00	2.00	2.00	1.99	2.00	1.98	1.92	2.00
40.00	2.00	2.00	2.00	2.00	1.95	1.94	2.00
41.00	1.99	2.00	2.00	2.00	2.00	1.95	1.99
42.00	2.00	1.99	1.99	2.00	1.99	1.98	2.00
43.00	2.00	2.00	2.00	2.00	2.00	1.93	2.00
44.00	2.00	2.00	1.99	1.99	1.99	1.94	2.00
45.00	2.00	2.00	1.99	2.00	1.95	1.92	2.00
46.00	1.99	2.00	2.00	2.00	1.97	1.95	2.00
47.00	1.99	2.00	2.00	2.00	2.00	1.94	2.00
48.00	2.00	1.99	1.99	2.00	2.00	1.95	1.99
49.00	2.00	2.00	2.00	2.00	1.98	1.94	2.00
50.00	2.00	2.00	2.00	2.00	1.99	1.94	2.00
51.00	2.00	2.00	2.00	1.99	1.99	1.93	2.00
52.00	1.99	2.00	2.00	2.00	2.00	1.94	1.99
53.00	1.99	2.00	1.99	2.00	1.98	1.88	1.99
54.00	1.99	1.99	1.99	2.00	1.97	1.92	1.99
55.00	2.00	2.00	2.00	2.00	1.98	1.88	2.00
56.00	2.00	2.00	1.99	2.00	1.98	1.97	2.00
57.00	1.91	1.91	1.90	1.99	1.91	1.91	2.00
58.00	0.00	0.58	0.55	2.00	0.77	2.00	1.99
59.00	0.00	2.00	2.00	2.00	1.95	1.93	2.00
60.00	1.64	1.99	1.99	2.00	1.95	1.88	1.97
61.00	2.00	2.00	2.00	2.00	2.00	1.93	2.00
62.00	2.00	2.00	2.00	2.00	1.99	1.95	2.00
63.00	2.00	2.00	1.99	1.99	2.00	1.95	2.00
64.00	2.00	2.00	2.00	2.00	1.94	1.94	2.00
65.00	1.99	2.00	2.00	2.00	1.97	1.92	2.00
66.00	2.00	2.00	2.00	2.00	1.97	1.98	1.97
67.00	2.00	1.99	1.99	2.00	1.98	1.93	1.99
