Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.018s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	1.98	1.99	1.47
3.00	1.99	2.00	2.00
4.00	2.00	2.00	2.00
5.00	2.00	2.00	2.00
6.00	2.00	2.00	2.00
7.00	2.00	2.00	1.99
8.00	2.00	1.99	1.99
9.00	1.99	2.00	2.01
10.00	2.01	2.00	1.99
11.00	1.99	2.00	2.00
12.00	2.00	2.00	1.99
13.00	2.00	2.00	2.01
14.00	2.00	1.99	2.00
15.00	1.99	2.00	1.99
16.00	2.00	2.00	2.00
17.00	2.00	2.00	2.00
18.00	2.00	2.00	2.00
19.00	2.00	2.00	2.00
20.00	1.99	1.99	1.98
21.00	2.01	2.00	2.01
22.00	1.99	2.00	2.00
23.00	2.00	2.00	1.98
24.00	2.00	2.00	2.01
25.00	2.00	2.00	2.00
26.00	2.00	1.99	1.99
27.00	2.00	2.00	2.00
28.00	1.99	2.00	2.00
29.00	2.00	2.00	1.99
30.00	2.00	2.00	2.01
31.00	2.00	2.00	1.99
32.00	2.00	1.99	2.00
33.00	2.00	2.00	2.00
34.00	2.00	2.00	2.00
35.00	1.99	2.00	2.00
36.00	2.00	2.00	2.00
37.00	2.00	2.00	1.99
38.00	2.00	1.99	1.99
39.00	2.00	2.00	2.00
40.00	2.00	2.00	2.00
41.00	2.00	2.00	2.00
42.00	1.99	2.00	2.00
43.00	2.00	2.00	2.00
44.00	2.00	1.99	1.99
45.00	1.99	2.00	2.00
46.00	2.01	2.00	2.00
47.00	2.00	2.00	2.00
48.00	1.99	2.00	2.00
49.00	2.00	2.00	2.00
50.00	2.00	2.00	1.99
51.00	1.99	1.99	2.00
52.00	2.01	2.00	2.00
53.00	1.99	2.00	2.00
54.00	2.00	2.00	2.00
55.00	2.00	2.00	1.99
56.00	2.00	2.00	2.01
57.00	2.00	1.99	1.99
58.00	2.00	2.00	2.00
59.00	1.99	2.00	2.00
60.00	2.00	2.00	2.00
61.00	2.00	2.00	2.00
62.00	2.00	2.00	2.00
63.00	2.00	1.99	1.99
64.00	2.00	2.00	2.00
65.00	1.99	2.00	2.00
66.00	2.00	2.00	2.00
67.00	2.00	2.00	2.00
68.00	2.00	2.00	2.00
69.00	2.00	1.99	1.99
70.00	2.00	2.00	2.00
71.00	1.99	2.00	2.00
72.00	2.00	2.00	2.00
73.00	2.00	2.00	2.00
74.00	2.00	2.00	2.00
75.00	2.00	1.99	1.99
76.00	1.99	2.00	2.00
77.00	2.00	2.00	2.00
78.00	2.01	2.00	2.00
79.00	1.99	2.00	2.00
80.00	2.00	2.00	2.00
81.00	2.00	1.99	1.99
82.00	2.00	2.00	2.00
83.00	2.00	2.00	1.99
84.00	1.99	2.00	2.00
85.00	1.99	2.00	1.99
86.00	2.01	2.00	2.01
87.00	2.00	1.99	1.99
88.00	2.00	2.00	2.00
89.00	2.00	2.00	2.00
90.00	1.99	2.00	2.00
91.00	2.00	2.00	2.00
92.00	2.00	2.00	2.00
93.00	2.00	1.99	1.99
94.00	2.00	2.00	2.00
95.00	1.99	2.00	2.00
96.00	2.00	2.00	2.00
97.00	2.00	2.00	2.00
98.00	2.00	2.00	1.99
