% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0.25	0.5	1	1	1	1	2	7	2	7	0.0119286	0	0.0119286	0.0119286	3.5	0.707107	3	4	
0.25	0.5	1	1	1	4	491	517514	226	238204	0.0087517	0.000796773	0.00785332	0.0127518	1054	0	1054	1054	
0.5	0.75	1	1	1	4	567	597618	0	0	0	0	0	0	0	0	0	0	
0.75	1	1	1	1	4	568	598672	0	0	0	0	0	0	0	0	0	0	
1	1.25	1	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	
1	1.25	1	1	1	4	568	598672	0	0	0	0	0	0	0	0	0	0	
1.25	1.5	1	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	
1.25	1.5	1	1	1	4	567	597618	0	0	0	0	0	0	0	0	0	0	
1.5	1.75	2	1	1	1	2	7	2	7	0.0119286	0	0.0119286	0.0119286	3.5	0.707107	3	4	
1.5	1.75	2	1	1	4	462	486948	205	216070	0.00876323	0.000819896	0.00786311	0.012704	1054	0	1054	1054	
1.75	2	2	1	1	4	567	597618	542	571268	0.0085937	0.00033595	0.00784339	0.00927307	1054	0	1054	1054	
