% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1661	2	0	1	0	28	2292	0	1	1	0
1662	2	0	1	0	28	2292	0	1	1	0
1663	2	0	1	0	28	2292	0	1	1	0
1664	2	0	1	0	28	2292	0	1	1	0
1665	2	0	1	0	28	2292	0	1	1	0
1666	2	0	1	0	28	2292	0	1	1	0
1667	2	0	1	0	28	2292	0	1	1	0
1668	2	0	1	0	28	2292	0	1	1	0
1669	2	0	1	0	28	2292	0	1	1	0
1670	2	0	1	0	28	2292	0	1	1	0
1671	2	0	1	0	28	2292	0	1	1	0
1672	2	0	1	0	28	2292	0	1	1	0
1673	2	0	1	0	28	2292	0	1	1	0
1674	2	0	1	0	28	2292	0	1	1	0
1675	2	0	1	0	28	2292	0	1	1	0
1676	2	0	1	0	28	2292	0	1	1	0
1677	2	0	1	0	28	2292	0	1	1	0
1678	2	0	1	0	28	2292	0	1	1	0
1679	2	0	1	0	28	2292	0	1	1	0
1680	2	0	1	0	28	2292	0	1	1	0
1681	2	0	1	0	28	2292	0	1	1	0
1682	2	0	1	0	28	2292	0	1	1	0
1683	2	0	1	0	28	2292	0	1	1	0
1684	2	0	1	0	28	2292	0	1	1	0
1685	2	0	1	0	28	2292	0	1	1	0
1686	2	0	1	0	28	2292	0	1	1	0
1687	2	0	1	0	28	2292	0	1	1	0
1688	2	0	1	0	28	2292	0	1	1	0
1689	2	0	1	0	28	2292	0	1	1	0
1690	2	0	1	0	28	2292	0	1	1	0
1691	2	0	1	0	28	2292	0	1	1	0
1692	2	0	1	0	28	2292	0	1	1	0
1693	2	0	1	0	28	2292	0	1	1	0
1694	2	0	1	0	28	2292	0	1	1	0
1695	2	0	1	0	28	2292	0	1	1	0
1696	2	0	1	0	28	2292	0	1	1	0
1697	2	0	1	0	28	2292	0	1	1	0
1698	2	0	1	0	28	2292	0	1	1	0
1699	2	0	1	0	28	2292	0	1	1	0
1700	2	0	1	0	28	2292	0	1	1	0
