% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.200214	1	1	0	1.1638e-09	3.88855e+06	0
0.201214	1	1	0	1.1638e-09	3.88855e+06	0
0.202214	1	1	0	1.1638e-09	3.88855e+06	0
0.203214	1	1	0	1.1638e-09	3.88855e+06	0
0.204214	1	1	0	1.1638e-09	3.88855e+06	0
0.205214	1	1	0	1.1638e-09	3.88855e+06	0
0.206214	1	1	0	1.1638e-09	3.88855e+06	0
0.207214	1	1	0	1.1638e-09	3.88855e+06	0
0.208214	1	1	0	1.1638e-09	3.88855e+06	0
0.209214	1	1	0	1.1638e-09	3.88855e+06	0
0.210214	1	1	0	1.1638e-09	3.88855e+06	0
0.211214	1	1	0	1.1638e-09	3.88855e+06	0
0.212214	1	1	0	1.1638e-09	3.88855e+06	0
0.213214	1	1	0	1.1638e-09	3.88855e+06	0
0.214214	1	1	0	1.1638e-09	3.88855e+06	0
0.215214	1	1	0	1.1638e-09	3.88855e+06	0
0.216214	1	1	0	1.1638e-09	3.88855e+06	0
0.217214	1	1	0	1.1638e-09	3.88855e+06	0
0.218214	1	1	0	1.1638e-09	3.88855e+06	0
0.219214	1	1	0	1.1638e-09	3.88855e+06	0
0.220214	1	1	0	1.1638e-09	3.88855e+06	0
0.221214	1	1	0	1.1638e-09	3.88855e+06	0
0.222214	1	1	0	1.1638e-09	3.88855e+06	0
0.223214	1	1	0	1.1638e-09	3.88855e+06	0
0.224214	1	1	0	1.1638e-09	3.88855e+06	0
0.225214	1	1	0	1.1638e-09	3.88855e+06	0
0.226214	1	1	0	1.1638e-09	3.88855e+06	0
0.227214	1	1	0	1.1638e-09	3.88855e+06	0
0.228214	1	1	0	1.1638e-09	3.88855e+06	0
0.229214	1	1	0	1.1638e-09	3.88855e+06	0
0.230214	1	1	0	1.1638e-09	3.88855e+06	0
0.231214	1	1	0	1.1638e-09	3.88855e+06	0
0.232214	1	1	0	1.1638e-09	3.88855e+06	0
0.233214	1	1	0	1.1638e-09	3.88855e+06	0
0.234214	1	1	0	1.1638e-09	3.88855e+06	0
0.235214	1	1	0	1.1638e-09	3.88855e+06	0
0.236214	1	1	0	1.1638e-09	3.88855e+06	0
0.237214	1	1	0	1.1638e-09	3.88855e+06	0
0.238214	1	1	0	1.1638e-09	3.88855e+06	0
0.239214	1	1	0	1.1638e-09	3.88855e+06	0
0.240214	1	1	0	1.1638e-09	3.88855e+06	0
0.241214	1	1	0	1.1638e-09	3.88855e+06	0
0.242214	1	1	0	1.1638e-09	3.88855e+06	0
0.243214	1	1	0	1.1638e-09	3.88855e+06	0
0.244214	1	1	0	1.1638e-09	3.88855e+06	0
0.245214	1	1	0	1.1638e-09	3.88855e+06	0
0.246214	1	1	0	1.1638e-09	3.88855e+06	0
0.247214	1	1	0	1.1638e-09	3.88855e+06	0
0.248214	1	1	0	1.1638e-09	3.88855e+06	0
0.249214	1	1	0	1.1638e-09	3.88855e+06	0
0.250214	1	1	0	1.1638e-09	3.88855e+06	0
0.251214	1	1	0	1.1638e-09	3.88855e+06	0
0.252214	1	1	0	1.1638e-09	3.88855e+06	0
0.253214	1	1	0	1.1638e-09	3.88855e+06	0
0.254214	1	1	0	1.1638e-09	3.88855e+06	0
0.255214	1	1	0	1.1638e-09	3.88855e+06	0
0.256214	1	1	0	1.1638e-09	3.88855e+06	0
0.257214	1	1	0	1.1638e-09	3.88855e+06	0
0.258214	1	1	0	1.1638e-09	3.88855e+06	0
0.259214	1	1	0	1.1638e-09	3.88855e+06	0
0.260214	1	1	0	1.1638e-09	3.88855e+06	0
0.261214	1	1	1	1.1638e-09	3.88855e+06	0
0.262214	1	1	1	1.1638e-09	3.88855e+06	0
0.263214	1	1	1	1.1638e-09	3.88855e+06	0
0.264214	1	1	1	1.1638e-09	3.88855e+06	0
0.265214	1	1	1	1.1638e-09	3.88855e+06	0
0.266214	1	1	1	1.1638e-09	3.88855e+06	0
0.267214	1	1	1	1.1638e-09	3.88855e+06	0
0.268214	1	1	1	1.1638e-09	3.88855e+06	0
0.269214	1	1	1	1.1638e-09	3.88855e+06	0
0.270214	1	1	1	1.1638e-09	3.88855e+06	0
0.271214	1	1	1	1.1638e-09	3.88855e+06	0
0.272214	1	1	1	1.1638e-09	3.88855e+06	0
0.273214	1	1	1	1.1638e-09	3.88855e+06	0
0.274214	1	1	1	1.1638e-09	3.88855e+06	0
0.275214	1	1	1	1.1638e-09	3.88855e+06	0
0.276214	1	1	1	1.1638e-09	3.88855e+06	0
