Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.877s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  70.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
no obss pd
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
86.00	8.01	-1.00	-1.00	-1.00	-1.00	8.01
87.00	0.47	-1.00	-1.00	-1.00	-1.00	8.01
88.00	0.00	-1.00	-1.00	-1.00	-1.00	8.00
89.00	0.00	-1.00	-1.00	-1.00	-1.00	8.00
90.00	0.00	-1.00	-1.00	-1.00	-1.00	8.01
91.00	0.00	-1.00	-1.00	-1.00	-1.00	8.99
92.00	0.00	-1.00	-1.00	-1.00	-1.00	9.01
93.00	0.00	-1.00	-1.00	-1.00	-1.00	9.00
94.00	0.00	-1.00	-1.00	-1.00	-1.00	9.00
95.00	0.00	-1.00	-1.00	-1.00	-1.00	9.00
96.00	0.00	-1.00	-1.00	-1.00	-1.00	9.01
97.00	0.00	-1.00	-1.00	-1.00	-1.00	9.00
98.00	0.00	-1.00	-1.00	-1.00	-1.00	9.00
99.00	0.00	-1.00	-1.00	-1.00	-1.00	9.01
100.00	0.00	-1.00	-1.00	-1.00	-1.00	9.00
101.00	0.00	-1.00	-1.00	-1.00	-1.00	9.99
102.00	0.00	-1.00	-1.00	-1.00	-1.00	10.00
103.00	0.00	-1.00	-1.00	-1.00	-1.00	10.01
104.00	0.00	-1.00	-1.00	-1.00	-1.00	10.00
105.00	0.00	-1.00	-1.00	-1.00	-1.00	10.00
106.00	0.00	-1.00	-1.00	-1.00	-1.00	10.00
107.00	0.00	-1.00	-1.00	-1.00	-1.00	10.00
108.00	0.00	-1.00	-1.00	-1.00	-1.00	10.00
109.00	0.00	-1.00	-1.00	-1.00	-1.00	10.01
110.00	0.00	-1.00	-1.00	-1.00	-1.00	10.00
111.00	0.00	-1.00	-1.00	-1.00	-1.00	10.99
112.00	0.00	-1.00	-1.00	-1.00	-1.00	11.00
113.00	0.00	-1.00	-1.00	-1.00	-1.00	11.00
114.00	0.00	-1.00	-1.00	-1.00	-1.00	11.00
115.00	0.00	-1.00	-1.00	-1.00	-1.00	11.00
116.00	0.00	-1.00	-1.00	-1.00	-1.00	11.01
117.00	0.00	-1.00	-1.00	-1.00	-1.00	11.00
118.00	0.00	-1.00	-1.00	-1.00	-1.00	11.00
119.00	0.00	-1.00	-1.00	-1.00	-1.00	11.00
120.00	0.00	-1.00	-1.00	-1.00	-1.00	11.00
121.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
122.00	0.00	-1.00	-1.00	-1.00	-1.00	11.74
123.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
124.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
125.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
126.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
127.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
128.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
129.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
130.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
131.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
132.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
133.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
134.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
135.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
136.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
137.00	0.00	-1.00	-1.00	-1.00	-1.00	12.99
138.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
139.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
140.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
141.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
142.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
143.00	0.00	-1.00	-1.00	-1.00	-1.00	13.99
144.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
145.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
146.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
147.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
148.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
149.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
150.00	0.00	-1.00	-1.00	-1.00	-1.00	13.99
151.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
152.00	0.00	-1.00	-1.00	-1.00	-1.00	14.99
153.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
154.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
155.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
156.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
157.00	0.00	-1.00	-1.00	-1.00	-1.00	14.99
