% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
357	1	1	1	0	0	28	2196	0	1	1	0
358	1	1	1	0	0	28	2196	0	1	1	0
359	1	1	1	0	0	28	2196	0	1	1	0
360	1	1	1	0	0	28	2196	0	1	1	0
361	1	1	1	0	0	28	2196	0	1	1	0
362	1	1	1	0	0	28	2196	0	1	1	0
363	1	1	1	0	0	28	2196	0	1	1	0
364	1	1	1	0	0	28	2196	0	1	1	0
365	1	1	1	0	0	28	2196	0	1	1	0
366	1	1	1	0	0	28	2196	0	1	1	0
367	1	1	1	0	0	28	2196	0	1	1	0
368	1	1	1	0	0	28	2196	0	1	1	0
369	1	1	1	0	0	28	2196	0	1	1	0
370	1	1	1	0	0	28	2196	0	1	1	0
371	1	1	1	0	0	28	2196	0	1	1	0
372	1	1	1	0	0	28	2196	0	1	1	0
373	1	1	1	0	0	28	2196	0	1	1	0
374	1	1	1	0	0	28	2196	0	1	1	0
375	1	1	1	0	0	28	2196	0	1	1	0
376	1	1	1	0	0	28	2196	0	1	1	0
377	1	1	1	0	0	28	2196	0	1	1	0
378	1	1	1	0	0	28	2196	0	1	1	0
379	1	1	1	0	0	28	2196	0	1	1	0
380	1	1	1	0	0	28	2196	0	1	1	0
381	1	1	1	0	0	28	2196	0	1	1	0
382	1	1	1	0	0	28	2196	0	1	1	0
383	1	1	1	0	0	28	2196	0	1	1	0
384	1	1	1	0	0	28	2196	0	1	1	0
385	1	1	1	0	0	28	2196	0	1	1	0
386	1	1	1	0	0	28	2196	0	1	1	0
387	1	1	1	0	0	28	2196	0	1	1	0
388	1	1	1	0	0	28	2196	0	1	1	0
389	1	1	1	0	0	28	2196	0	1	1	0
390	1	1	1	0	0	28	2196	0	1	1	0
391	1	1	1	0	0	28	2196	0	1	1	0
392	1	1	1	0	0	28	2196	0	1	1	0
393	1	1	1	0	0	28	2196	0	1	1	0
394	1	1	1	0	0	28	2196	0	1	1	0
395	1	1	1	0	0	28	2196	0	1	1	0
396	1	1	1	0	0	28	2196	0	1	1	0
397	1	1	1	0	0	28	2196	0	1	1	0
398	1	1	1	0	0	28	2196	0	1	1	0
399	1	1	1	0	0	28	2196	0	1	1	0
1627	2	1	1	0	0	0	81	0	1	1	0
1642	2	1	1	0	0	28	2196	0	1	1	0
1643	2	1	1	0	0	28	2196	0	1	1	0
1644	2	1	1	0	0	28	2196	0	1	1	0
1645	2	1	1	0	0	28	2196	0	1	1	0
1646	2	1	1	0	0	28	2196	0	1	1	0
1647	2	1	1	0	0	28	2196	0	1	1	0
1648	2	1	1	0	0	28	2196	0	1	1	0
1649	2	1	1	0	0	28	2196	0	1	1	0
1650	2	1	1	0	0	28	2196	0	1	1	0
1651	2	1	1	0	0	28	2196	0	1	1	0
1652	2	1	1	0	0	28	2196	0	1	1	0
1653	2	1	1	0	0	28	2196	0	1	1	0
1654	2	1	1	0	0	28	2196	0	1	1	0
1655	2	1	1	0	0	28	2196	0	1	1	0
1656	2	1	1	0	0	28	2196	0	1	1	0
1657	2	1	1	0	0	28	2196	0	1	1	0
1658	2	1	1	0	0	28	2196	0	1	1	0
1659	2	1	1	0	0	28	2196	0	1	1	0
1660	2	1	1	0	0	28	2196	0	1	1	0
1661	2	1	1	0	0	28	2196	0	1	1	0
1662	2	1	1	0	0	28	2196	0	1	1	0
1663	2	1	1	0	0	28	2196	0	1	1	0
1664	2	1	1	0	0	28	2196	0	1	1	0
1665	2	1	1	0	0	28	2196	0	1	1	0
1666	2	1	1	0	0	28	2196	0	1	1	0
1667	2	1	1	0	0	28	2196	0	1	1	0
1668	2	1	1	0	0	28	2196	0	1	1	0
1669	2	1	1	0	0	28	2196	0	1	1	0
1670	2	1	1	0	0	28	2196	0	1	1	0
1671	2	1	1	0	0	28	2196	0	1	1	0
1672	2	1	1	0	0	28	2196	0	1	1	0
1673	2	1	1	0	0	28	2196	0	1	1	0
1674	2	1	1	0	0	28	2196	0	1	1	0
1675	2	1	1	0	0	28	2196	0	1	1	0
1676	2	1	1	0	0	28	2196	0	1	1	0
1677	2	1	1	0	0	28	2196	0	1	1	0
1678	2	1	1	0	0	28	2196	0	1	1	0
1679	2	1	1	0	0	28	2196	0	1	1	0
1680	2	1	1	0	0	28	2196	0	1	1	0
1681	2	1	1	0	0	28	2196	0	1	1	0
1682	2	1	1	0	0	28	2196	0	1	1	0
1683	2	1	1	0	0	28	2196	0	1	1	0
1684	2	1	1	0	0	28	2196	0	1	1	0
1685	2	1	1	0	0	28	2196	0	1	1	0
1686	2	1	1	0	0	28	2196	0	1	1	0
1687	2	1	1	0	0	28	2196	0	1	1	0
1688	2	1	1	0	0	28	2196	0	1	1	0
1689	2	1	1	0	0	28	2196	0	1	1	0
1690	2	1	1	0	0	28	2196	0	1	1	0
1691	2	1	1	0	0	28	2196	0	1	1	0
1692	2	1	1	0	0	28	2196	0	1	1	0
1693	2	1	1	0	0	28	2196	0	1	1	0
1694	2	1	1	0	0	28	2196	0	1	1	0
1695	2	1	1	0	0	28	2196	0	1	1	0
1696	2	1	1	0	0	28	2196	0	1	1	0
1697	2	1	1	0	0	28	2196	0	1	1	0
1698	2	1	1	0	0	28	2196	0	1	1	0
1699	2	1	1	0	0	28	2196	0	1	1	0
1700	2	1	1	0	0	28	2196	0	1	1	0
1701	2	1	1	0	0	28	2196	0	1	1	0
1702	2	1	1	0	0	28	2196	0	1	1	0
1703	2	1	1	0	0	28	2196	0	1	1	0
1704	2	1	1	0	0	28	2196	0	1	1	0
1705	2	1	1	0	0	28	2196	0	1	1	0
1706	2	1	1	0	0	28	2196	0	1	1	0
1707	2	1	1	0	0	28	2196	0	1	1	0
1708	2	1	1	0	0	28	2196	0	1	1	0
1709	2	1	1	0	0	28	2196	0	1	1	0
1710	2	1	1	0	0	28	2196	0	1	1	0
1711	2	1	1	0	0	28	2196	0	1	1	0
1712	2	1	1	0	0	28	2196	0	1	1	0
1713	2	1	1	0	0	28	2196	0	1	1	0
1714	2	1	1	0	0	28	2196	0	1	1	0
1715	2	1	1	0	0	28	2196	0	1	1	0
1716	2	1	1	0	0	28	2196	0	1	1	0
1717	2	1	1	0	0	28	2196	0	1	1	0
1718	2	1	1	0	0	28	2196	0	1	1	0
1719	2	1	1	0	0	28	2196	0	1	1	0
1720	2	1	1	0	0	28	2196	0	1	1	0
1721	2	1	1	0	0	28	2196	0	1	1	0
1722	2	1	1	0	0	28	2196	0	1	1	0
1723	2	1	1	0	0	28	2196	0	1	1	0
1724	2	1	1	0	0	28	2196	0	1	1	0
1725	2	1	1	0	0	28	2196	0	1	1	0
1726	2	1	1	0	0	28	2196	0	1	1	0
1727	2	1	1	0	0	28	2196	0	1	1	0
1728	2	1	1	0	0	28	2196	0	1	1	0
1729	2	1	1	0	0	28	2196	0	1	1	0
1730	2	1	1	0	0	28	2196	0	1	1	0
1731	2	1	1	0	0	28	2196	0	1	1	0
1732	2	1	1	0	0	28	2196	0	1	1	0
1733	2	1	1	0	0	28	2196	0	1	1	0
1734	2	1	1	0	0	28	2196	0	1	1	0
1735	2	1	1	0	0	28	2196	0	1	1	0
1736	2	1	1	0	0	28	2196	0	1	1	0
1737	2	1	1	0	0	28	2196	0	1	1	0
1738	2	1	1	0	0	28	2196	0	1	1	0
1739	2	1	1	0	0	28	2196	0	1	1	0
1740	2	1	1	0	0	28	2196	0	1	1	0
1741	2	1	1	0	0	28	2196	0	1	1	0
1742	2	1	1	0	0	28	2196	0	1	1	0
1743	2	1	1	0	0	28	2196	0	1	1	0
1744	2	1	1	0	0	28	2196	0	1	1	0
1745	2	1	1	0	0	28	2196	0	1	1	0
1746	2	1	1	0	0	28	2196	0	1	1	0
1747	2	1	1	0	0	28	2196	0	1	1	0
1748	2	1	1	0	0	28	2196	0	1	1	0
1749	2	1	1	0	0	28	2196	0	1	1	0
1750	2	1	1	0	0	28	2196	0	1	1	0
1751	2	1	1	0	0	28	2196	0	1	1	0
1752	2	1	1	0	0	28	2196	0	1	1	0
1753	2	1	1	0	0	28	2196	0	1	1	0
1754	2	1	1	0	0	28	2196	0	1	1	0
1755	2	1	1	0	0	28	2196	0	1	1	0
1756	2	1	1	0	0	28	2196	0	1	1	0
1757	2	1	1	0	0	28	2196	0	1	1	0
1758	2	1	1	0	0	28	2196	0	1	1	0
1759	2	1	1	0	0	28	2196	0	1	1	0
1760	2	1	1	0	0	28	2196	0	1	1	0
1761	2	1	1	0	0	28	2196	0	1	1	0
1762	2	1	1	0	0	28	2196	0	1	1	0
1763	2	1	1	0	0	28	2196	0	1	1	0
1764	2	1	1	0	0	28	2196	0	1	1	0
1765	2	1	1	0	0	28	2196	0	1	1	0
1766	2	1	1	0	0	28	2196	0	1	1	0
1767	2	1	1	0	0	28	2196	0	1	1	0
1768	2	1	1	0	0	28	2196	0	1	1	0
1769	2	1	1	0	0	28	2196	0	1	1	0
1770	2	1	1	0	0	28	2196	0	1	1	0
1771	2	1	1	0	0	28	2196	0	1	1	0
1772	2	1	1	0	0	28	2196	0	1	1	0
1773	2	1	1	0	0	28	2196	0	1	1	0
1774	2	1	1	0	0	28	2196	0	1	1	0
1775	2	1	1	0	0	28	2196	0	1	1	0
1776	2	1	1	0	0	28	2196	0	1	1	0
1777	2	1	1	0	0	28	2196	0	1	1	0
1778	2	1	1	0	0	28	2196	0	1	1	0
1779	2	1	1	0	0	28	2196	0	1	1	0
1780	2	1	1	0	0	28	2196	0	1	1	0
1781	2	1	1	0	0	28	2196	0	1	1	0
1782	2	1	1	0	0	28	2196	0	1	1	0
1783	2	1	1	0	0	28	2196	0	1	1	0
1784	2	1	1	0	0	28	2196	0	1	1	0
1785	2	1	1	0	0	28	2196	0	1	1	0
1786	2	1	1	0	0	28	2196	0	1	1	0
1787	2	1	1	0	0	28	2196	0	1	1	0
1788	2	1	1	0	0	28	2196	0	1	1	0
1789	2	1	1	0	0	28	2196	0	1	1	0
1790	2	1	1	0	0	28	2196	0	1	1	0
1791	2	1	1	0	0	28	2196	0	1	1	0
1792	2	1	1	0	0	28	2196	0	1	1	0
1793	2	1	1	0	0	28	2196	0	1	1	0
1794	2	1	1	0	0	28	2196	0	1	1	0
1795	2	1	1	0	0	28	2196	0	1	1	0
1796	2	1	1	0	0	28	2196	0	1	1	0
1797	2	1	1	0	0	28	2196	0	1	1	0
1798	2	1	1	0	0	28	2196	0	1	1	0
1799	2	1	1	0	0	28	2196	0	1	1	0
1800	2	1	1	0	0	28	2196	0	1	1	0
1801	2	1	1	0	0	28	2196	0	1	1	0
1802	2	1	1	0	0	28	2196	0	1	1	0
1803	2	1	1	0	0	28	2196	0	1	1	0
1804	2	1	1	0	0	28	2196	0	1	1	0
1805	2	1	1	0	0	28	2196	0	1	1	0
1806	2	1	1	0	0	28	2196	0	1	1	0
1807	2	1	1	0	0	28	2196	0	1	1	0
1808	2	1	1	0	0	28	2196	0	1	1	0
1809	2	1	1	0	0	28	2196	0	1	1	0
1810	2	1	1	0	0	28	2196	0	1	1	0
1811	2	1	1	0	0	28	2196	0	1	1	0
1812	2	1	1	0	0	28	2196	0	1	1	0
1813	2	1	1	0	0	28	2196	0	1	1	0
1814	2	1	1	0	0	28	2196	0	1	1	0
1815	2	1	1	0	0	28	2196	0	1	1	0
1816	2	1	1	0	0	28	2196	0	1	1	0
1817	2	1	1	0	0	28	2196	0	1	1	0
1818	2	1	1	0	0	28	2196	0	1	1	0
1819	2	1	1	0	0	28	2196	0	1	1	0
1820	2	1	1	0	0	28	2196	0	1	1	0
1821	2	1	1	0	0	28	2196	0	1	1	0
1822	2	1	1	0	0	28	2196	0	1	1	0
1823	2	1	1	0	0	28	2196	0	1	1	0
1824	2	1	1	0	0	28	2196	0	1	1	0
1825	2	1	1	0	0	28	2196	0	1	1	0
1826	2	1	1	0	0	28	2196	0	1	1	0
1827	2	1	1	0	0	28	2196	0	1	1	0
1828	2	1	1	0	0	28	2196	0	1	1	0
1829	2	1	1	0	0	28	2196	0	1	1	0
1830	2	1	1	0	0	28	2196	0	1	1	0
1831	2	1	1	0	0	28	2196	0	1	1	0
1832	2	1	1	0	0	28	2196	0	1	1	0
1833	2	1	1	0	0	28	2196	0	1	1	0
1834	2	1	1	0	0	28	2196	0	1	1	0
1835	2	1	1	0	0	28	2196	0	1	1	0
1836	2	1	1	0	0	28	2196	0	1	1	0
1837	2	1	1	0	0	28	2196	0	1	1	0
1838	2	1	1	0	0	28	2196	0	1	1	0
1839	2	1	1	0	0	28	2196	0	1	1	0
1840	2	1	1	0	0	28	2196	0	1	1	0
1841	2	1	1	0	0	28	2196	0	1	1	0
1842	2	1	1	0	0	28	2196	0	1	1	0
1843	2	1	1	0	0	28	2196	0	1	1	0
1844	2	1	1	0	0	28	2196	0	1	1	0
1845	2	1	1	0	0	28	2196	0	1	1	0
1846	2	1	1	0	0	28	2196	0	1	1	0
1847	2	1	1	0	0	28	2196	0	1	1	0
1848	2	1	1	0	0	28	2196	0	1	1	0
1849	2	1	1	0	0	28	2196	0	1	1	0
1850	2	1	1	0	0	28	2196	0	1	1	0
1851	2	1	1	0	0	28	2196	0	1	1	0
1852	2	1	1	0	0	28	2196	0	1	1	0
1853	2	1	1	0	0	28	2196	0	1	1	0
1854	2	1	1	0	0	28	2196	0	1	1	0
1855	2	1	1	0	0	28	2196	0	1	1	0
1856	2	1	1	0	0	28	2196	0	1	1	0
1857	2	1	1	0	0	28	2196	0	1	1	0
1858	2	1	1	0	0	28	2196	0	1	1	0
1859	2	1	1	0	0	28	2196	0	1	1	0
1860	2	1	1	0	0	28	2196	0	1	1	0
1861	2	1	1	0	0	28	2196	0	1	1	0
1862	2	1	1	0	0	28	2196	0	1	1	0
1863	2	1	1	0	0	28	2196	0	1	1	0
1864	2	1	1	0	0	28	2196	0	1	1	0
1865	2	1	1	0	0	28	2196	0	1	1	0
1866	2	1	1	0	0	28	2196	0	1	1	0
1867	2	1	1	0	0	28	2196	0	1	1	0
1868	2	1	1	0	0	28	2196	0	1	1	0
1869	2	1	1	0	0	28	2196	0	1	1	0
1870	2	1	1	0	0	28	2196	0	1	1	0
1871	2	1	1	0	0	28	2196	0	1	1	0
1872	2	1	1	0	0	28	2196	0	1	1	0
1873	2	1	1	0	0	28	2196	0	1	1	0
1874	2	1	1	0	0	28	2196	0	1	1	0
1875	2	1	1	0	0	28	2196	0	1	1	0
1876	2	1	1	0	0	28	2196	0	1	1	0
1877	2	1	1	0	0	28	2196	0	1	1	0
1878	2	1	1	0	0	28	2196	0	1	1	0
1879	2	1	1	0	0	28	2196	0	1	1	0
1880	2	1	1	0	0	28	2196	0	1	1	0
1881	2	1	1	0	0	28	2196	0	1	1	0
1882	2	1	1	0	0	28	2196	0	1	1	0
1883	2	1	1	0	0	28	2196	0	1	1	0
1884	2	1	1	0	0	28	2196	0	1	1	0
1885	2	1	1	0	0	28	2196	0	1	1	0
1886	2	1	1	0	0	28	2196	0	1	1	0
1887	2	1	1	0	0	28	2196	0	1	1	0
1888	2	1	1	0	0	28	2196	0	1	1	0
1889	2	1	1	0	0	28	2196	0	1	1	0
1890	2	1	1	0	0	28	2196	0	1	1	0
1891	2	1	1	0	0	28	2196	0	1	1	0
1892	2	1	1	0	0	28	2196	0	1	1	0
1893	2	1	1	0	0	28	2196	0	1	1	0
1894	2	1	1	0	0	28	2196	0	1	1	0
1895	2	1	1	0	0	28	2196	0	1	1	0
1896	2	1	1	0	0	28	2196	0	1	1	0
1897	2	1	1	0	0	28	2196	0	1	1	0
1898	2	1	1	0	0	28	2196	0	1	1	0
1899	2	1	1	0	0	28	2196	0	1	1	0
1900	2	1	1	0	0	28	2196	0	1	1	0
1901	2	1	1	0	0	28	2196	0	1	1	0
1902	2	1	1	0	0	28	2196	0	1	1	0
1903	2	1	1	0	0	28	2196	0	1	1	0
1904	2	1	1	0	0	28	2196	0	1	1	0
1905	2	1	1	0	0	28	2196	0	1	1	0
1906	2	1	1	0	0	28	2196	0	1	1	0
1907	2	1	1	0	0	28	2196	0	1	1	0
1908	2	1	1	0	0	28	2196	0	1	1	0
1909	2	1	1	0	0	28	2196	0	1	1	0
1910	2	1	1	0	0	28	2196	0	1	1	0
1911	2	1	1	0	0	28	2196	0	1	1	0
1912	2	1	1	0	0	28	2196	0	1	1	0
1913	2	1	1	0	0	28	2196	0	1	1	0
1914	2	1	1	0	0	28	2196	0	1	1	0
1915	2	1	1	0	0	28	2196	0	1	1	0
1916	2	1	1	0	0	28	2196	0	1	1	0
1917	2	1	1	0	0	28	2196	0	1	1	0
1918	2	1	1	0	0	28	2196	0	1	1	0
1919	2	1	1	0	0	28	2196	0	1	1	0
1920	2	1	1	0	0	28	2196	0	1	1	0
1921	2	1	1	0	0	28	2196	0	1	1	0
1922	2	1	1	0	0	28	2196	0	1	1	0
1923	2	1	1	0	0	28	2196	0	1	1	0
1924	2	1	1	0	0	28	2196	0	1	1	0
1925	2	1	1	0	0	28	2196	0	1	1	0
1926	2	1	1	0	0	28	2196	0	1	1	0
1927	2	1	1	0	0	28	2196	0	1	1	0
1928	2	1	1	0	0	28	2196	0	1	1	0
1929	2	1	1	0	0	28	2196	0	1	1	0
1930	2	1	1	0	0	28	2196	0	1	1	0
1931	2	1	1	0	0	28	2196	0	1	1	0
1932	2	1	1	0	0	28	2196	0	1	1	0
1933	2	1	1	0	0	28	2196	0	1	1	0
1934	2	1	1	0	0	28	2196	0	1	1	0
1935	2	1	1	0	0	28	2196	0	1	1	0
1936	2	1	1	0	0	28	2196	0	1	1	0
1937	2	1	1	0	0	28	2196	0	1	1	0
1938	2	1	1	0	0	28	2196	0	1	1	0
1939	2	1	1	0	0	28	2196	0	1	1	0
1940	2	1	1	0	0	28	2196	0	1	1	0
1941	2	1	1	0	0	28	2196	0	1	1	0
1942	2	1	1	0	0	28	2196	0	1	1	0
1943	2	1	1	0	0	28	2196	0	1	1	0
1944	2	1	1	0	0	28	2196	0	1	1	0
1945	2	1	1	0	0	28	2196	0	1	1	0
1946	2	1	1	0	0	28	2196	0	1	1	0
1947	2	1	1	0	0	28	2196	0	1	1	0
1948	2	1	1	0	0	28	2196	0	1	1	0
1949	2	1	1	0	0	28	2196	0	1	1	0
1950	2	1	1	0	0	28	2196	0	1	1	0
1951	2	1	1	0	0	28	2196	0	1	1	0
1952	2	1	1	0	0	28	2196	0	1	1	0
1953	2	1	1	0	0	28	2196	0	1	1	0
1954	2	1	1	0	0	28	2196	0	1	1	0
1955	2	1	1	0	0	28	2196	0	1	1	0
1956	2	1	1	0	0	28	2196	0	1	1	0
1957	2	1	1	0	0	28	2196	0	1	1	0
1958	2	1	1	0	0	28	2196	0	1	1	0
1959	2	1	1	0	0	28	2196	0	1	1	0
1960	2	1	1	0	0	28	2196	0	1	1	0
1961	2	1	1	0	0	28	2196	0	1	1	0
1962	2	1	1	0	0	28	2196	0	1	1	0
1963	2	1	1	0	0	28	2196	0	1	1	0
1964	2	1	1	0	0	28	2196	0	1	1	0
1965	2	1	1	0	0	28	2196	0	1	1	0
1966	2	1	1	0	0	28	2196	0	1	1	0
1967	2	1	1	0	0	28	2196	0	1	1	0
1968	2	1	1	0	0	28	2196	0	1	1	0
1969	2	1	1	0	0	28	2196	0	1	1	0
1970	2	1	1	0	0	28	2196	0	1	1	0
1971	2	1	1	0	0	28	2196	0	1	1	0
1972	2	1	1	0	0	28	2196	0	1	1	0
1973	2	1	1	0	0	28	2196	0	1	1	0
1974	2	1	1	0	0	28	2196	0	1	1	0
1975	2	1	1	0	0	28	2196	0	1	1	0
1976	2	1	1	0	0	28	2196	0	1	1	0
1977	2	1	1	0	0	28	2196	0	1	1	0
1978	2	1	1	0	0	28	2196	0	1	1	0
1979	2	1	1	0	0	28	2196	0	1	1	0
1980	2	1	1	0	0	28	2196	0	1	1	0
1981	2	1	1	0	0	28	2196	0	1	1	0
1982	2	1	1	0	0	28	2196	0	1	1	0
1983	2	1	1	0	0	28	2196	0	1	1	0
1984	2	1	1	0	0	28	2196	0	1	1	0
1985	2	1	1	0	0	28	2196	0	1	1	0
1986	2	1	1	0	0	28	2196	0	1	1	0
1987	2	1	1	0	0	28	2196	0	1	1	0
1988	2	1	1	0	0	28	2196	0	1	1	0
1989	2	1	1	0	0	28	2196	0	1	1	0
1990	2	1	1	0	0	28	2196	0	1	1	0
1991	2	1	1	0	0	28	2196	0	1	1	0
1992	2	1	1	0	0	28	2196	0	1	1	0
1993	2	1	1	0	0	28	2196	0	1	1	0
1994	2	1	1	0	0	28	2196	0	1	1	0
1995	2	1	1	0	0	28	2196	0	1	1	0
1996	2	1	1	0	0	28	2196	0	1	1	0
1997	2	1	1	0	0	28	2196	0	1	1	0
1998	2	1	1	0	0	28	2196	0	1	1	0
1999	2	1	1	0	0	28	2196	0	1	1	0
