Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.104s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
30.00	7.20	6.61	0.00	0.00	0.49	0.99	0.00	0.00	1.31	0.00	0.16	0.49	0.00	0.00	0.84	0.00	0.00	0.00	0.78	0.00	0.00	0.27	0.00
31.00	7.21	6.59	0.00	0.00	1.44	0.00	0.00	2.92	0.00	0.00	0.13	1.98	0.28	0.00	0.48	0.00	0.00	0.00	0.55	0.00	0.05	0.00	0.00
32.00	7.20	6.61	0.00	0.00	1.37	1.19	0.00	0.94	0.49	0.01	0.00	2.44	0.01	0.00	0.00	0.00	0.00	0.00	0.49	0.60	0.00	0.00	0.00
33.00	7.21	6.59	0.00	0.00	2.71	2.78	0.00	1.74	1.44	0.61	0.24	0.09	0.14	0.00	0.12	0.00	0.24	0.00	0.00	0.41	0.00	1.97	0.49
34.00	7.20	6.61	0.00	0.00	0.49	1.04	0.00	1.44	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
35.00	7.21	6.59	0.00	0.00	2.27	1.65	0.00	0.99	0.54	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.58	0.47
36.00	7.20	6.61	0.00	0.00	1.31	1.20	0.00	0.00	1.19	0.00	0.00	1.27	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	7.20	6.59	0.00	0.00	0.99	1.51	0.00	0.00	0.00	2.60	0.49	0.49	1.32	0.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00
38.00	7.21	6.61	0.00	0.00	1.95	0.99	0.00	0.86	2.76	1.60	0.72	2.59	0.00	0.00	0.09	0.00	0.00	0.00	0.38	0.00	0.00	1.25	0.00
39.00	7.20	6.59	0.00	0.00	0.99	0.12	0.00	0.00	0.60	0.00	0.00	1.90	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	1.18	0.00
40.00	7.21	6.61	0.00	0.00	4.37	2.72	0.00	1.32	0.79	0.15	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	1.25	0.00	0.00	0.15	0.00
41.00	7.20	6.59	0.00	0.00	0.49	0.22	0.00	0.00	1.37	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
42.00	7.20	6.59	0.00	0.00	0.00	0.00	0.00	1.55	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
43.00	7.21	6.61	0.00	0.00	0.75	0.00	0.00	0.49	0.00	0.08	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.14	0.00	0.00	0.42	0.00
44.00	7.20	6.59	0.00	0.00	0.00	0.88	0.00	0.00	0.45	0.00	0.00	1.70	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
45.00	7.21	6.61	0.00	0.00	0.00	2.20	0.00	1.39	1.13	0.00	0.00	0.66	0.00	0.00	0.67	0.00	0.00	0.00	0.00	1.71	0.00	1.74	0.00
46.00	7.20	6.59	0.00	0.00	0.54	1.92	0.00	2.16	1.18	0.00	0.00	2.25	0.15	0.00	0.00	0.00	0.00	0.68	0.00	0.22	0.19	0.78	0.00
47.00	7.21	6.61	0.00	0.00	0.99	2.04	0.00	0.49	0.00	0.00	0.00	0.69	0.58	0.00	0.14	0.00	0.00	0.00	0.00	0.02	0.00	1.54	0.00
48.00	7.20	6.59	0.00	0.00	0.00	2.28	0.00	0.00	0.00	0.49	2.59	2.54	0.00	0.00	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
