Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.087s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
36.00	7.80	0.51	2.84	0.00	1.68	2.24	0.00	0.00	0.26	3.43	0.00	0.00	1.11	0.00	0.00	0.00	0.12	0.00	0.00
37.00	7.81	0.26	0.99	0.00	0.49	2.18	0.77	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.07	0.25	0.00	0.00	0.00
38.00	7.80	0.00	0.00	0.00	0.84	1.40	0.00	0.05	0.11	0.00	0.93	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.94
39.00	7.80	0.01	0.00	0.00	0.00	0.09	0.02	0.00	0.59	0.11	0.92	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.99
40.00	7.81	0.05	0.00	0.00	0.84	0.00	0.00	0.00	0.54	0.00	0.82	0.00	0.00	0.00	0.00	0.11	0.00	0.00	1.67
41.00	7.80	0.51	1.12	0.00	0.00	0.00	2.70	0.20	0.18	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
42.00	7.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00
43.00	7.81	0.01	0.00	0.00	0.49	0.00	0.35	0.00	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00
44.00	7.80	0.00	0.13	0.00	1.33	0.28	0.01	0.00	0.00	0.27	0.22	0.00	0.19	0.00	0.00	1.48	0.00	0.00	0.00
45.00	7.81	0.42	2.71	0.00	0.00	0.55	0.00	0.99	0.25	2.99	0.48	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.49
46.00	7.80	0.02	0.00	0.00	0.48	2.74	0.00	0.00	3.70	0.04	0.85	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00
47.00	7.80	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.28	0.20	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
48.00	7.81	0.00	0.58	0.00	1.74	0.85	0.39	0.49	0.18	2.59	0.00	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.26
49.00	7.80	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.48	0.60	0.00	0.00	0.00	0.00	2.03	0.00	0.00	0.13
50.00	7.80	0.26	0.42	0.00	1.44	1.38	0.00	0.00	0.41	1.98	0.04	0.00	0.00	0.00	0.00	1.05	0.00	0.00	2.43
51.00	7.81	0.42	0.00	0.00	0.00	0.18	0.00	0.59	0.00	0.49	0.33	0.00	0.04	0.00	0.00	0.39	0.00	0.00	0.26
52.00	7.80	0.49	2.80	0.00	1.13	0.00	0.16	0.00	0.19	1.86	0.14	0.00	0.00	0.00	0.00	0.00	0.12	0.00	2.16
53.00	7.80	0.99	0.49	0.00	1.28	0.00	0.39	0.49	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68
54.00	7.81	0.00	0.49	0.00	0.49	0.08	0.00	0.00	0.28	0.49	0.40	0.00	0.00	0.00	0.00	0.41	0.00	0.00	0.02
55.00	7.80	0.00	0.00	0.00	0.94	0.07	0.00	0.00	0.00	1.72	0.72	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.01
56.00	7.81	0.20	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.05	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.88
57.00	7.80	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.32	0.05	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.44
58.00	7.80	0.00	0.00	0.00	2.05	0.00	0.07	1.25	0.00	0.49	0.53	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
59.00	7.81	0.00	0.00	0.00	0.67	0.77	0.49	1.40	0.82	2.34	2.16	0.00	0.00	0.00	0.06	0.99	0.00	0.00	0.21
60.00	7.80	0.00	3.71	0.00	0.99	0.00	0.00	1.07	1.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00
61.00	7.80	0.00	0.47	0.00	1.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
62.00	7.81	0.61	0.18	0.00	1.87	1.78	1.28	0.49	2.28	0.00	2.32	0.00	0.00	0.00	0.11	1.18	0.00	0.00	1.65
63.00	7.80	0.00	0.00	0.00	0.00	1.78	0.00	0.62	0.05	2.08	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00
64.00	7.80	0.05	0.00	0.00	1.04	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00
65.00	7.81	0.09	1.41	0.00	0.00	0.05	0.00	0.44	0.40	0.65	0.41	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.27
66.00	7.80	1.80	0.38	0.00	0.00	1.45	0.00	0.13	0.00	1.75	0.00	0.00	0.00	0.00	0.00	2.34	0.12	0.00	0.49
67.00	7.81	0.57	1.51	0.00	1.13	0.00	0.00	0.49	0.99	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.01
68.00	7.80	0.09	0.00	0.00	2.33	1.55	0.00	1.42	1.40	2.31	0.49	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.89
69.00	7.80	0.07	2.92	0.00	0.28	0.25	1.73	0.00	0.14	3.54	0.00	0.00	0.00	0.00	0.00	1.40	0.12	0.00	1.34
70.00	7.81	0.52	2.59	0.00	3.25	1.00	0.24	0.00	0.66	1.30	2.17	0.00	0.00	0.00	0.26	0.00	0.60	0.00	1.01
71.00	7.80	0.35	2.38	0.00	1.39	0.47	0.00	0.00	0.00	0.11	0.04	0.00	0.00	0.00	0.00	0.05	0.45	0.00	0.99
72.00	7.80	0.00	2.71	0.00	4.33	3.40	0.02	4.90	0.00	1.32	4.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.67
73.00	7.81	0.00	2.71	0.00	2.38	1.37	0.00	0.94	0.20	0.06	1.59	0.00	0.49	0.06	0.00	0.82	0.00	0.00	0.82
74.00	7.80	0.09	0.00	0.00	1.19	0.25	0.00	0.95	0.52	0.18	3.03	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00
75.00	7.80	0.00	0.49	0.00	0.00	2.00	0.00	0.00	0.00	1.05	0.00	0.00	0.80	0.00	0.00	1.77	0.00	0.00	0.00
76.00	7.81	0.00	0.00	0.00	0.99	0.00	0.00	0.71	0.00	1.70	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62
77.00	7.80	0.00	0.00	0.00	1.50	0.31	0.24	0.97	0.00	0.61	0.02	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.00
78.00	7.81	0.00	1.73	0.00	1.87	0.29	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68
79.00	7.80	0.00	0.00	0.00	2.61	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.00	7.80	0.00	0.39	0.00	2.24	0.00	0.00	0.00	0.00	0.21	1.41	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
81.00	7.81	0.00	0.97	0.00	0.00	2.26	1.58	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.02	0.00	1.55
82.00	7.80	0.00	1.19	0.00	0.00	2.23	0.00	0.51	0.99	2.32	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
83.00	7.80	0.73	0.49	0.00	2.72	0.00	0.00	0.78	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	2.58
84.00	7.81	0.42	0.45	0.00	2.06	0.00	0.18	0.25	1.00	0.39	0.95	0.00	0.00	0.00	0.16	0.84	0.05	0.00	0.71
85.00	7.80	0.49	3.11	0.00	3.05	0.49	0.25	1.51	1.85	0.49	0.69	0.00	0.46	0.00	0.00	1.20	0.00	0.00	0.99
86.00	7.80	0.00	0.00	0.00	0.49	0.00	0.00	1.51	0.00	1.33	1.95	0.00	0.00	0.00	0.00	0.48	0.00	0.00	1.18
