Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.138s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
33.00	8.09	6.59	5.70	0.00	0.00	0.00	1.04	0.00	1.90	0.00	0.00	0.00	0.00	0.01	0.00	0.75	0.00	0.01	0.38	0.00	0.00
34.00	8.10	6.61	5.70	3.32	0.07	0.00	1.37	0.00	0.02	0.00	0.45	2.10	0.00	0.05	0.00	0.00	0.75	1.83	0.89	0.00	0.14
35.00	8.10	6.59	5.70	2.72	0.12	0.00	0.89	0.00	0.00	0.00	0.73	0.09	0.00	0.00	0.00	0.00	0.00	1.07	1.14	0.00	0.15
36.00	8.10	6.61	5.70	0.00	0.02	0.00	0.54	0.00	0.21	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.52	0.00	0.47
37.00	8.10	6.59	5.70	0.00	0.00	0.00	0.16	0.00	0.01	0.00	0.57	0.08	0.00	0.00	0.00	0.00	0.00	1.47	1.68	0.49	0.68
38.00	8.10	6.61	5.70	0.00	0.00	0.00	1.39	0.00	0.00	0.00	1.06	0.00	0.00	0.00	0.00	0.00	0.00	1.19	0.00	0.00	0.00
39.00	8.09	6.59	5.70	0.00	0.00	0.00	1.22	0.00	0.12	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.00	1.33	1.64	2.53	1.71
40.00	8.10	6.61	5.70	0.00	0.00	0.00	1.15	0.00	0.99	0.00	0.09	0.02	0.00	0.00	0.00	0.04	0.00	2.24	0.05	1.21	1.37
41.00	8.10	6.59	5.70	0.00	0.81	0.00	1.41	0.00	0.00	0.00	0.07	0.60	0.00	0.00	0.00	0.49	0.01	0.49	1.81	0.99	0.00
42.00	8.10	6.59	5.70	0.49	0.33	0.00	0.75	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.42	0.00	0.16	0.00	0.00
