Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.110s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	8.35	7.47	0.00	0.68	0.00	0.00	1.18	0.00	1.01	1.55	0.00	0.00	0.00
3.00	8.40	7.50	0.80	0.14	0.00	0.00	0.00	0.00	0.24	1.48	0.37	0.00	0.00
4.00	8.40	7.50	0.91	0.02	0.00	0.16	0.00	0.00	0.00	1.70	0.00	0.00	0.21
5.00	8.41	7.50	1.70	0.00	0.00	0.24	0.00	0.07	0.00	2.39	0.41	0.00	0.15
6.00	8.40	7.50	1.51	0.42	0.04	0.05	1.46	0.00	0.09	0.00	0.79	0.11	0.33
7.00	8.40	7.50	0.28	0.00	0.01	0.21	0.00	0.06	0.27	0.16	0.86	0.00	0.00
8.00	8.41	7.50	0.11	0.04	0.00	0.33	0.00	0.00	0.16	0.62	2.33	0.00	0.00
9.00	8.40	7.50	1.57	0.00	0.00	0.39	0.00	0.00	0.00	3.73	3.67	0.00	0.16
10.00	8.40	7.49	0.00	0.00	0.00	0.44	0.06	0.01	0.00	0.82	1.18	0.00	0.52
11.00	8.41	7.50	2.16	0.57	0.00	0.27	0.26	0.01	0.45	1.00	1.35	0.00	0.59
12.00	8.40	7.50	0.78	0.33	0.00	0.00	0.00	0.00	0.12	1.77	3.42	0.00	0.29
13.00	8.40	7.50	3.78	0.00	0.00	0.00	0.00	0.00	0.07	0.15	3.93	0.00	0.28
14.00	8.41	7.50	1.85	0.49	0.00	0.00	0.77	0.00	0.00	0.05	1.34	0.00	0.49
15.00	8.40	7.50	4.10	1.48	0.11	0.25	1.06	0.00	0.66	1.41	1.73	0.00	0.49
16.00	8.40	7.50	0.99	1.00	0.00	0.14	0.14	0.05	0.21	0.49	0.82	0.00	0.78
17.00	8.41	7.50	0.49	0.46	0.00	0.01	0.00	0.01	0.13	0.38	2.18	0.00	0.02
18.00	8.40	7.50	0.00	1.65	0.00	0.00	0.74	0.00	0.45	0.00	0.53	0.00	0.38
19.00	8.40	7.49	2.24	2.66	0.00	0.00	0.67	0.00	0.24	2.43	0.49	0.04	0.40
20.00	8.40	7.50	1.95	0.49	0.06	0.00	1.42	0.00	0.21	2.10	3.51	0.00	0.42
21.00	8.41	7.50	3.58	0.00	0.13	0.00	1.72	0.00	0.33	1.32	0.42	0.09	0.59
22.00	8.40	7.50	0.99	0.00	0.19	0.00	1.00	0.00	0.59	0.00	1.45	0.00	0.35
23.00	8.40	7.50	1.30	0.00	0.00	0.46	0.86	0.01	0.24	2.37	1.91	0.09	0.42
24.00	8.41	7.50	2.74	1.06	0.00	0.09	1.13	0.00	0.59	1.33	1.44	0.07	0.00
25.00	8.40	7.50	0.00	0.49	0.00	0.00	0.88	0.00	0.14	2.97	0.00	0.19	0.74
26.00	8.40	7.50	0.00	0.01	0.00	0.00	1.77	0.00	0.11	0.00	0.34	0.14	0.16
27.00	8.41	7.50	1.98	0.40	0.00	0.00	0.19	0.00	0.47	4.39	2.11	0.06	0.64
28.00	8.40	7.49	0.00	0.05	0.00	0.62	0.00	0.04	0.14	0.00	1.17	0.00	0.57
29.00	8.40	7.50	0.52	0.21	0.00	0.38	0.00	0.09	0.35	0.49	1.55	0.00	0.85
30.00	8.41	7.50	3.74	1.24	0.00	0.00	0.21	0.00	0.00	0.51	0.71	0.01	1.18
31.00	8.40	7.50	4.37	0.87	0.00	0.00	0.00	0.00	0.33	1.60	1.54	0.00	0.52
32.00	8.40	7.50	1.52	0.00	0.00	0.40	0.00	0.00	0.40	0.25	0.00	0.00	0.64
33.00	8.41	7.50	0.42	0.00	0.00	0.00	0.37	0.00	0.05	0.00	1.87	0.06	0.45
34.00	8.40	7.50	0.61	0.11	0.00	0.15	0.66	0.01	0.07	1.52	0.97	0.04	1.22
35.00	8.40	7.50	3.47	1.22	0.21	0.22	0.29	0.06	0.08	0.00	2.10	0.00	0.33
36.00	8.41	7.50	0.49	0.00	0.00	0.14	1.30	0.00	0.09	0.00	0.42	0.07	0.59
37.00	8.40	7.49	3.04	0.46	0.00	0.13	0.00	0.01	0.00	0.32	2.17	0.00	0.46
38.00	8.40	7.50	2.87	0.67	0.18	0.09	1.92	0.01	0.15	0.00	0.00	0.09	0.28
39.00	8.40	7.50	3.07	0.00	0.00	0.24	0.98	0.00	0.19	0.51	1.17	0.00	0.35
40.00	8.41	7.50	2.00	0.99	0.00	0.19	0.00	0.02	0.31	0.04	1.65	0.00	0.35
41.00	8.40	7.50	3.87	1.42	0.00	0.00	0.00	0.00	0.14	0.33	0.11	0.00	0.16
42.00	8.40	7.50	2.11	0.00	0.00	0.44	0.93	0.05	0.24	3.04	1.57	0.09	0.28
43.00	8.41	7.50	4.70	0.00	0.00	0.52	0.00	0.02	0.37	4.56	2.36	0.00	1.25
44.00	8.40	7.50	2.10	0.49	0.00	0.33	0.00	0.00	0.39	4.24	2.66	0.00	0.86
45.00	8.40	7.50	1.63	0.00	0.00	0.66	0.00	0.00	0.00	2.17	2.96	0.00	0.52
46.00	8.41	7.49	0.38	2.19	0.48	0.54	0.27	0.00	0.00	0.00	1.66	0.00	0.59
47.00	8.40	7.50	1.93	0.00	0.18	0.66	1.24	0.00	0.00	3.47	3.01	0.09	0.66
48.00	8.40	7.50	3.76	0.39	0.00	1.04	0.00	0.00	0.00	0.00	2.23	0.00	1.06
49.00	8.41	7.50	2.39	2.61	0.00	0.98	0.00	0.00	0.00	2.24	2.86	0.00	1.20
50.00	8.40	7.50	1.10	0.65	0.00	0.21	0.93	0.00	0.00	0.99	1.55	0.07	0.57
51.00	8.40	7.50	1.74	0.00	0.00	0.42	0.01	0.00	0.00	2.54	1.73	0.00	0.68
52.00	8.41	7.50	1.72	0.00	0.00	0.21	0.00	0.00	0.41	1.35	1.55	0.00	0.14
53.00	8.40	7.50	0.11	0.19	0.00	0.12	0.66	0.00	0.40	3.27	1.31	0.00	0.94
54.00	8.40	7.50	3.16	0.00	0.00	1.12	0.00	0.00	0.00	3.43	0.05	0.00	1.04
55.00	8.41	7.49	0.99	0.62	0.87	0.14	0.46	0.00	0.15	1.21	0.49	0.05	0.45
56.00	8.40	7.50	1.72	1.47	0.00	0.00	0.00	0.00	0.24	0.99	0.98	0.00	0.65
57.00	8.40	7.50	2.48	0.04	0.13	1.17	0.00	0.00	0.00	2.26	0.45	0.00	0.02
58.00	8.40	7.50	3.64	0.59	0.01	0.40	0.00	0.04	0.00	0.46	1.83	0.00	0.31
59.00	8.41	7.50	1.83	0.00	0.00	0.07	0.00	0.01	0.13	1.91	1.70	0.00	1.01
60.00	8.40	7.50	0.57	0.00	0.01	0.04	1.38	0.00	0.14	0.00	2.17	0.16	0.75
61.00	8.40	7.50	4.55	0.00	0.00	0.35	0.00	0.00	0.00	1.30	3.16	0.00	0.14
62.00	8.41	7.50	2.18	0.84	0.00	0.07	0.49	0.02	0.19	1.46	2.67	0.00	0.19
63.00	8.40	7.50	3.51	0.77	0.00	0.35	0.00	0.00	0.14	2.51	2.76	0.00	0.19
64.00	8.40	7.49	1.47	0.19	0.00	0.19	1.06	0.00	0.26	0.46	1.35	0.19	0.00
65.00	8.41	7.50	3.49	1.05	0.00	0.26	0.00	0.01	0.00	0.00	4.13	0.00	0.00
66.00	8.40	7.50	0.99	2.07	0.00	0.28	0.00	0.00	0.84	1.81	0.72	0.01	0.02
67.00	8.40	7.50	2.50	0.00	0.04	0.33	0.33	0.02	0.00	1.40	2.44	0.00	0.14
68.00	8.41	7.50	1.64	0.09	0.00	0.25	0.00	0.01	0.00	0.33	0.65	0.00	0.60
69.00	8.40	7.50	2.14	0.02	0.00	0.00	0.00	0.00	0.41	0.00	0.88	0.00	0.07
70.00	8.40	7.50	0.49	1.04	0.00	0.34	0.49	0.01	0.19	0.40	0.99	0.00	0.00
71.00	8.41	7.50	0.65	0.49	0.00	0.31	0.00	0.05	0.35	1.64	1.47	0.00	0.07
72.00	8.40	7.50	2.25	0.09	0.00	0.18	0.00	0.00	0.42	0.14	2.98	0.00	0.42
73.00	8.40	7.49	1.01	1.60	1.06	0.38	0.22	0.11	0.21	1.32	1.25	0.00	0.52
74.00	8.41	7.50	1.50	0.01	0.00	0.13	0.57	0.06	0.00	0.59	2.71	0.00	0.21
75.00	8.40	7.50	2.97	0.00	0.00	0.13	0.49	0.00	0.05	0.57	1.66	0.00	0.21
76.00	8.40	7.50	0.00	0.99	0.00	0.45	0.00	0.09	1.04	1.77	1.98	0.00	0.00
77.00	8.40	7.50	4.52	0.00	0.00	0.42	0.00	0.13	0.71	1.93	1.38	0.00	0.02
78.00	8.41	7.50	2.54	0.00	0.00	0.19	0.00	0.02	0.49	0.99	1.93	0.00	0.47
79.00	8.40	7.50	4.31	0.00	0.00	0.02	0.15	0.00	0.49	0.00	1.05	0.00	0.45
80.00	8.40	7.50	3.54	0.29	0.00	0.00	0.00	0.00	0.57	0.00	3.11	0.00	1.48
81.00	8.41	7.50	3.31	0.00	0.00	0.58	3.05	0.00	0.09	4.17	3.90	0.51	0.94
82.00	8.40	7.49	3.14	0.00	0.00	0.46	2.80	0.01	0.40	2.43	2.93	0.19	0.31
83.00	8.40	7.50	3.07	0.80	0.00	0.54	0.00	0.00	1.32	3.23	0.32	0.02	1.15
84.00	8.41	7.50	2.56	1.28	0.00	0.52	0.00	0.00	0.49	1.81	0.97	0.00	0.57
85.00	8.40	7.50	4.56	1.55	0.35	0.87	0.46	0.01	0.28	1.22	3.77	0.05	0.73
86.00	8.40	7.50	1.63	0.21	0.00	0.57	1.32	0.00	0.31	0.01	1.58	0.33	0.87
87.00	8.41	7.50	1.83	0.20	1.05	1.15	1.42	0.01	0.00	0.26	0.00	0.02	1.06
88.00	8.40	7.50	1.13	0.61	0.00	0.61	0.00	0.00	0.12	1.37	1.05	0.00	0.57
89.00	8.40	7.50	0.62	1.44	0.00	0.32	0.25	0.01	0.07	0.00	2.12	0.09	0.38
90.00	8.41	7.50	1.97	0.68	0.53	0.00	0.33	0.00	0.00	0.00	2.32	0.13	0.58
91.00	8.40	7.49	4.40	0.20	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	0.46
92.00	8.40	7.50	4.27	0.00	0.00	0.00	0.00	0.00	0.00	4.37	1.73	0.00	0.00
93.00	8.41	7.50	1.20	1.10	0.00	0.00	0.07	0.00	0.02	2.17	1.52	0.00	0.49
94.00	8.40	7.50	1.24	0.00	0.00	0.22	0.04	0.00	0.59	0.75	1.83	0.00	0.73
95.00	8.40	7.50	3.29	1.05	0.41	0.00	1.67	0.00	0.29	1.58	2.25	0.16	0.68
96.00	8.40	7.50	3.07	1.12	0.00	0.37	0.45	0.02	0.42	1.48	0.71	0.05	0.68
97.00	8.41	7.50	3.26	0.51	0.00	0.82	0.00	0.00	0.26	1.91	0.84	0.00	1.04
98.00	8.40	7.50	1.65	1.46	0.00	0.26	0.00	0.00	0.00	3.39	1.78	0.00	0.54
99.00	8.40	7.50	0.19	0.18	0.00	0.02	0.00	0.00	0.00	2.80	1.07	0.00	0.68
100.00	8.41	7.49	2.04	1.44	0.00	0.00	0.00	0.00	0.00	2.71	2.72	0.00	0.80
101.00	8.40	7.50	4.50	0.99	0.00	0.00	0.00	0.00	0.00	1.94	1.25	0.00	1.11
102.00	8.40	7.50	4.51	0.00	0.00	0.00	0.00	0.00	0.00	1.19	0.87	0.07	1.32
103.00	8.41	7.50	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.78	0.00	0.52
104.00	8.40	7.50	3.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	1.79
105.00	8.40	7.50	2.83	3.17	0.00	0.20	0.00	0.00	0.00	0.49	1.85	0.00	1.48
106.00	8.41	7.50	1.00	0.00	0.00	0.16	0.99	0.00	0.08	0.00	1.52	0.00	0.89
107.00	8.40	7.50	2.18	0.00	0.00	0.44	0.00	0.00	0.73	1.40	2.93	0.00	0.69
108.00	8.40	7.50	0.26	0.01	0.00	0.33	0.00	0.00	0.40	1.59	1.20	0.00	0.91
109.00	8.41	7.49	4.69	2.04	0.00	0.00	1.79	0.00	0.84	0.49	4.12	0.00	0.33
110.00	8.40	7.50	0.34	0.00	0.00	0.00	0.00	0.00	0.73	0.00	2.94	0.00	0.82
111.00	8.40	7.50	3.30	0.00	0.00	0.00	0.00	0.00	0.05	4.56	1.25	0.00	0.97
112.00	8.41	7.50	2.73	0.00	0.00	0.00	0.00	0.00	0.00	1.55	3.73	0.00	1.01
113.00	8.40	7.50	3.59	0.57	0.00	0.00	0.47	0.00	0.53	4.16	2.51	0.02	0.66
114.00	8.40	7.50	1.61	1.26	0.00	0.00	0.00	0.00	0.35	0.00	1.35	0.00	0.45
115.00	8.40	7.50	0.25	2.68	0.00	0.00	0.33	0.00	0.24	0.99	2.11	0.16	0.35
116.00	8.41	7.50	4.11	0.68	0.00	0.00	0.00	0.00	1.48	0.95	3.43	0.00	0.05
117.00	8.40	7.50	1.85	0.58	0.00	0.28	0.32	0.00	0.00	0.66	3.62	0.18	1.05
118.00	8.40	7.49	0.65	1.35	0.00	0.00	0.00	0.00	0.28	1.48	1.51	0.00	0.66
119.00	8.41	7.50	2.84	0.00	0.00	0.45	1.19	0.00	0.45	0.00	0.61	0.24	0.71
10.2.1.2	8.56	8.16
10.2.1.3	7.64	8.09
10.1.1.3	2.14	207577.85
10.1.1.4	0.57	511914.19
10.1.1.5	0.07	1327690.67
10.1.1.6	0.25	612220.70
10.1.1.7	0.42	629865.16
10.1.1.8	0.01	1209317.24
10.1.1.9	0.25	718127.57
10.1.1.10	1.34	264682.46
10.1.1.11	1.74	135351.62
10.1.1.12	0.04	1200627.11
10.1.1.13	0.56	567450.49
