Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.072s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	9.55	6.89	0.00	0.00	0.57	1.98	0.00	0.19	1.60	0.05	0.00	1.17	0.06
3.00	9.60	6.90	0.00	0.00	1.72	1.39	0.05	0.00	1.44	0.00	0.00	1.22	0.49
4.00	9.60	6.90	0.00	0.00	1.20	0.00	0.00	0.49	1.48	0.07	0.00	0.00	0.49
5.00	9.60	6.90	0.00	0.00	1.51	0.00	0.00	0.49	1.22	0.07	0.00	0.00	0.49
6.00	9.61	6.90	0.00	0.00	0.75	0.12	0.00	0.00	1.13	0.57	0.00	0.00	0.00
7.00	9.60	6.90	0.00	0.02	1.51	0.08	0.00	0.00	1.11	0.42	0.00	0.00	0.00
8.00	9.60	6.90	0.00	1.34	0.97	1.37	0.00	0.00	0.97	0.49	0.00	0.00	0.00
9.00	9.60	6.90	0.00	0.88	1.46	0.24	0.00	0.00	1.51	3.19	0.00	0.07	0.00
10.00	9.60	6.90	0.00	0.93	0.92	0.41	0.00	1.13	1.46	1.39	0.00	0.00	0.81
11.00	9.61	6.90	0.00	0.66	1.41	0.00	0.00	0.33	1.53	0.84	0.00	0.51	0.00
12.00	9.60	6.90	0.00	0.77	1.08	0.00	0.00	0.01	1.48	0.48	0.00	0.00	0.15
13.00	9.60	6.90	0.00	0.49	1.04	1.93	0.12	0.00	0.85	0.12	0.00	1.64	0.00
14.00	9.60	6.90	0.00	0.57	0.87	1.32	0.00	0.54	0.88	0.28	0.00	2.07	0.00
15.00	9.61	6.90	0.00	0.73	1.44	0.00	0.00	0.32	1.20	0.00	0.00	0.00	0.49
16.00	9.60	6.90	1.37	1.64	1.37	0.00	0.00	1.15	1.30	0.49	0.00	0.00	0.00
17.00	9.60	6.89	0.00	1.68	1.65	0.49	0.00	0.99	1.37	1.35	0.00	1.25	0.19
18.00	9.60	6.90	1.15	0.00	1.11	0.00	0.00	0.49	1.13	0.45	0.00	0.49	0.05
19.00	9.60	6.90	0.00	1.25	0.87	0.55	0.00	0.49	1.74	0.49	0.00	0.94	0.54
20.00	9.61	6.90	0.89	0.32	0.62	0.02	0.00	0.00	1.22	0.59	0.00	0.00	1.18
21.00	9.60	6.90	2.05	1.91	1.11	3.43	0.00	1.52	1.53	0.39	0.00	2.26	0.39
22.00	9.60	6.90	0.00	0.00	1.51	0.93	0.00	1.90	1.77	1.30	0.00	0.25	0.00
23.00	9.60	6.90	0.49	0.37	1.32	0.26	0.00	0.16	1.34	0.08	0.00	2.83	0.01
24.00	9.61	6.90	0.00	0.00	0.62	2.07	0.01	2.41	1.37	0.21	0.00	1.66	0.00
25.00	9.60	6.90	1.93	0.75	2.17	0.00	0.00	0.21	2.28	1.40	0.00	0.99	0.00
26.00	9.60	6.90	0.80	1.26	1.30	0.49	0.00	1.47	1.51	1.86	0.00	1.80	0.00
27.00	9.60	6.90	0.49	0.99	0.45	0.00	0.00	0.00	0.92	0.14	0.00	0.00	0.00
28.00	9.60	6.90	0.00	1.84	1.57	1.51	0.34	2.03	0.75	0.49	0.00	0.00	0.49
29.00	9.61	6.90	0.49	0.00	1.39	1.35	0.00	0.00	1.65	0.00	0.00	1.40	0.00
30.00	9.60	6.90	0.49	0.62	1.48	0.34	0.00	0.25	0.73	0.00	0.00	0.49	0.73
31.00	9.60	6.90	0.99	0.00	1.68	1.81	0.15	0.00	1.47	0.00	0.00	1.85	0.00
32.00	9.60	6.90	0.00	1.33	1.26	1.90	0.15	0.49	1.41	0.00	0.00	0.00	0.57
33.00	9.60	6.90	1.15	0.99	1.77	1.94	0.00	0.00	1.44	0.49	0.00	0.00	0.34
34.00	9.61	6.89	0.00	0.72	1.13	3.03	0.00	2.12	1.65	0.88	0.00	4.09	0.14
35.00	9.60	6.90	0.18	0.00	1.63	0.16	0.00	0.00	1.51	0.00	0.00	0.99	0.01
36.00	9.60	6.90	0.39	1.34	1.41	0.06	0.00	0.00	1.18	0.00	0.00	1.81	1.33
37.00	9.60	6.90	0.00	0.01	1.72	0.11	0.00	0.88	1.32	0.49	0.00	1.08	0.00
38.00	9.61	6.90	0.00	0.09	1.27	0.35	0.00	2.13	1.13	0.00	0.00	0.00	0.52
39.00	9.60	6.90	1.59	1.59	1.44	1.30	0.00	0.00	1.15	1.22	0.00	2.37	0.00
40.00	9.60	6.90	0.45	1.25	1.44	1.11	0.00	0.00	0.24	0.42	0.00	0.49	0.00
41.00	9.60	6.90	1.74	0.40	2.10	1.68	0.00	2.80	1.80	0.00	0.00	0.00	0.99
42.00	9.60	6.90	0.00	0.18	1.55	0.41	0.00	1.57	1.53	0.99	0.00	0.00	0.15
43.00	9.61	6.90	0.00	0.00	0.49	1.65	0.00	0.00	1.91	0.00	0.00	1.87	0.00
44.00	9.60	6.90	0.00	2.37	0.00	1.91	0.00	0.49	1.74	0.00	0.00	2.13	0.00
45.00	9.60	6.90	0.49	0.07	0.00	1.11	0.00	1.57	1.44	1.41	0.00	1.57	1.70
46.00	9.60	6.90	1.25	0.11	0.00	0.00	0.00	1.77	1.94	0.00	0.00	0.41	0.73
47.00	9.61	6.90	0.22	1.78	0.00	0.00	0.00	3.20	2.44	0.00	0.00	0.86	0.27
48.00	9.60	6.90	0.00	0.00	0.00	0.26	0.00	1.93	1.95	1.70	0.00	1.68	0.24
49.00	9.60	6.90	1.39	0.68	0.00	0.00	0.00	1.40	2.08	0.14	0.00	2.61	0.00
50.00	9.60	6.89	1.01	1.59	0.00	0.00	0.00	0.53	2.43	1.57	0.00	4.17	1.02
51.00	9.60	6.90	0.49	0.12	0.00	0.32	0.00	1.37	1.65	2.20	0.00	0.00	0.41
52.00	9.61	6.90	0.00	3.46	0.00	0.08	0.00	0.68	0.78	0.07	0.00	0.67	1.21
53.00	9.60	6.90	0.59	0.00	0.86	0.98	0.01	0.99	0.74	1.84	0.00	0.00	0.00
54.00	9.60	6.90	0.00	0.00	1.77	0.00	0.00	0.49	0.74	0.00	0.00	2.26	0.00
55.00	9.60	6.90	0.00	0.00	1.98	0.00	0.00	2.56	0.00	0.99	0.00	0.80	0.00
56.00	9.60	6.90	0.00	1.18	2.24	0.00	0.00	3.50	0.00	0.48	0.00	1.92	0.61
57.00	9.61	6.90	1.81	0.02	1.93	0.00	0.00	0.99	0.00	0.49	0.00	0.99	0.94
58.00	9.60	6.90	0.00	1.78	1.79	0.00	0.00	0.00	0.31	1.33	0.00	0.00	0.89
59.00	9.60	6.90	0.49	0.05	1.25	0.00	0.00	1.41	1.46	0.00	0.00	0.00	0.19
60.00	9.60	6.90	0.12	0.02	1.30	0.00	0.00	1.13	4.84	1.88	0.00	0.87	0.22
61.00	9.61	6.90	0.00	2.79	2.45	0.00	0.00	2.31	1.47	0.00	0.00	0.42	0.05
62.00	9.60	6.90	0.02	0.11	1.79	2.12	0.00	0.11	1.51	0.64	0.00	1.27	0.26
63.00	9.60	6.90	0.57	0.49	2.40	2.11	0.00	0.49	2.26	0.00	0.00	0.49	0.00
64.00	9.60	6.90	0.00	0.85	1.46	0.00	0.00	0.54	2.05	0.00	0.00	1.15	0.06
65.00	9.60	6.90	0.07	3.19	1.74	0.49	0.00	0.00	0.49	0.49	0.00	0.47	0.01
66.00	9.61	6.89	0.04	0.19	1.32	1.65	0.00	0.18	2.90	0.05	0.00	2.30	0.00
67.00	9.60	6.90	0.00	1.86	2.31	0.00	0.00	0.65	0.99	0.22	0.00	0.00	0.48
68.00	9.60	6.90	0.00	0.00	2.12	0.00	0.00	1.52	1.50	0.21	0.00	0.00	0.21
69.00	9.60	6.90	1.34	0.49	2.31	0.00	0.00	1.98	0.49	0.00	0.00	3.59	0.81
