Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.035s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
65.00	7.50	7.50	6.59	0.00	5.39	0.00	0.00	0.00	3.70	0.00
66.00	7.50	7.50	6.61	0.00	5.18	0.00	0.00	0.00	0.00	0.00
67.00	7.50	7.50	6.59	0.00	5.19	0.00	0.00	0.00	0.00	0.00
68.00	7.50	7.50	6.59	0.00	5.29	0.00	0.42	0.00	0.00	0.00
69.00	7.50	7.50	6.61	0.00	5.06	0.00	4.23	0.00	0.00	0.00
70.00	7.50	7.50	6.59	0.21	3.97	0.26	4.44	0.00	0.00	0.00
71.00	7.50	7.50	6.61	4.51	3.71	0.69	0.00	0.00	0.00	0.00
72.00	7.50	7.50	6.59	2.94	5.11	0.00	0.00	0.00	0.13	0.00
73.00	7.49	7.49	6.61	0.00	5.24	0.00	0.00	1.47	4.50	0.00
74.00	7.50	7.50	6.59	0.00	5.39	0.00	0.00	1.78	2.90	1.06
75.00	7.50	7.50	6.61	0.55	4.19	0.00	0.00	0.00	3.19	0.32
76.00	7.50	7.50	6.59	2.91	4.91	0.00	0.58	0.99	0.14	0.00
77.00	7.50	7.50	6.61	3.38	3.13	0.42	1.95	0.00	0.00	0.00
78.00	7.50	7.50	6.59	0.02	0.81	0.20	1.52	0.00	0.00	0.00
79.00	7.50	7.50	6.61	0.32	0.99	0.99	0.00	0.28	2.47	0.00
80.00	7.50	7.50	6.59	2.83	0.00	0.40	0.00	4.79	4.50	0.00
81.00	7.50	7.50	6.59	0.68	0.00	2.11	0.00	2.20	2.28	0.14
82.00	7.49	7.49	6.61	0.00	2.38	0.49	0.00	0.00	0.00	0.00
83.00	7.50	7.50	6.59	1.33	5.33	3.53	0.00	0.00	0.00	3.65
84.00	7.50	7.50	6.61	0.37	3.80	4.31	0.00	0.00	4.50	0.00
85.00	7.50	7.50	6.59	0.00	0.00	1.91	0.00	1.37	3.01	0.00
86.00	7.50	7.50	6.61	0.00	1.19	0.80	0.00	0.00	1.75	0.00
87.00	7.50	7.50	6.59	0.00	3.11	2.91	0.00	0.00	0.00	1.01
88.00	7.50	7.50	6.61	2.05	3.74	2.87	1.45	0.00	0.00	0.00
89.00	7.50	7.50	6.59	5.25	1.60	0.00	0.00	0.18	0.00	0.04
90.00	7.50	7.50	6.61	4.38	1.05	0.00	0.00	0.00	0.00	0.69
91.00	7.49	7.49	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.51
92.00	7.50	7.50	6.61	0.00	5.39	0.00	0.00	0.00	0.00	1.45
93.00	7.50	7.50	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.48
94.00	7.50	7.50	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.44
95.00	7.50	7.50	6.61	0.00	5.39	0.00	0.00	0.00	0.00	1.40
96.00	7.50	7.50	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.40
97.00	7.50	7.50	6.61	0.00	5.39	0.00	0.00	0.00	0.00	1.38
98.00	7.50	7.50	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.42
99.00	7.50	7.50	6.61	0.00	5.39	0.00	0.00	0.00	0.00	1.27
100.00	7.49	7.49	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.40
101.00	7.50	7.50	6.61	0.00	5.39	0.00	0.00	0.00	0.00	1.33
102.00	7.50	7.50	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.26
103.00	7.50	7.50	6.61	0.00	5.41	0.00	0.00	0.00	0.00	1.31
104.00	7.50	7.50	6.59	0.00	5.39	0.00	0.00	0.00	0.00	1.25
105.00	7.50	7.50	6.61	0.00	5.41	0.00	0.00	0.00	0.00	1.20
106.00	7.50	7.50	6.59	0.00	5.39	0.00	0.00	0.00	0.00	1.21
107.00	7.50	7.50	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.15
108.00	7.50	7.50	6.61	0.00	5.39	0.00	0.00	0.00	0.00	1.22
109.00	7.49	7.49	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.13
110.00	7.50	7.50	6.61	0.00	5.39	0.00	0.00	0.00	0.00	1.19
111.00	7.50	7.50	6.59	0.00	5.41	0.00	0.00	0.00	0.00	1.10
