Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.019s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
48.00	9.60	7.50	1.65	1.67	0.00	0.00	0.51	0.00	1.32	0.00	1.97	1.04	1.42	0.15
49.00	9.60	7.50	0.07	0.20	0.99	0.05	1.26	0.00	1.24	0.00	1.65	2.51	0.01	0.54
50.00	9.60	7.50	0.49	0.67	0.49	0.00	0.49	0.00	3.45	0.00	3.09	3.19	0.04	0.00
51.00	9.60	7.50	0.00	1.20	0.00	0.40	0.97	1.25	0.27	0.00	1.60	0.49	0.59	2.10
52.00	9.61	7.50	2.38	0.49	0.11	0.00	2.72	0.00	1.44	0.00	1.94	0.00	0.00	2.99
53.00	9.60	7.50	2.74	1.34	0.00	0.41	0.84	2.05	0.49	0.00	2.77	2.58	0.94	0.07
54.00	9.60	7.50	0.00	0.49	0.38	0.84	0.95	0.00	0.00	0.00	1.52	0.00	2.01	1.17
55.00	9.60	7.49	0.00	0.99	1.41	0.00	2.20	0.00	0.34	0.00	1.46	0.00	0.49	2.10
56.00	9.60	7.50	0.00	1.87	0.48	0.38	1.10	0.94	0.49	0.00	2.14	0.00	0.00	0.05
57.00	9.61	7.50	0.29	0.92	1.53	0.00	0.16	0.89	1.13	0.00	1.86	0.00	1.44	1.05
58.00	9.60	7.50	0.22	0.81	0.61	0.00	0.06	0.49	0.62	0.00	2.16	0.00	1.05	0.21
59.00	9.60	7.50	0.49	1.17	0.00	0.00	0.00	1.60	0.00	0.00	0.99	0.00	1.77	0.26
60.00	9.60	7.50	1.27	0.29	0.00	0.24	2.87	0.35	0.00	0.00	3.06	0.00	1.70	0.59
61.00	9.61	7.50	0.99	3.17	0.00	0.00	3.00	0.00	0.00	0.00	0.69	0.00	1.19	1.91
62.00	9.60	7.50	0.00	0.38	0.26	0.00	0.04	0.00	0.00	0.00	0.89	0.00	0.25	0.00
63.00	9.60	7.50	3.21	0.69	0.00	0.00	0.09	1.04	0.99	0.00	2.79	0.75	0.26	0.62
64.00	9.60	7.49	1.95	0.00	0.00	0.00	0.51	0.46	1.46	0.00	2.14	0.00	1.34	0.19
65.00	9.60	7.50	0.00	0.66	0.00	0.00	1.80	0.00	0.99	0.00	1.94	0.00	1.22	1.22
66.00	9.61	7.50	0.00	1.11	0.00	0.07	0.79	2.20	0.00	0.00	1.51	1.25	0.31	2.76
67.00	9.60	7.50	0.00	1.15	0.00	0.00	1.06	0.00	0.00	0.00	3.33	0.00	1.02	1.79
