Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.079s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
51.00	9.60	6.90	0.00	0.00	0.00	0.21	1.06	0.19	0.00	0.00	0.44	0.00	0.05
52.00	9.61	6.90	0.00	0.00	0.99	0.34	0.01	0.00	0.57	0.00	0.54	0.00	0.41
53.00	9.60	6.90	0.00	0.35	1.12	0.78	0.00	0.99	0.82	0.00	0.19	0.02	0.04
54.00	9.60	6.90	0.00	1.22	0.00	0.73	0.00	0.05	0.00	0.39	0.20	0.14	1.02
55.00	9.60	6.90	0.00	0.88	0.99	0.64	0.49	1.63	0.24	0.00	0.46	0.00	0.42
56.00	9.60	6.90	0.00	0.48	0.45	0.68	0.91	0.00	0.00	0.00	0.45	0.00	0.60
57.00	9.61	6.90	0.00	0.81	0.67	0.21	0.00	0.00	0.00	0.00	0.19	0.00	0.00
58.00	9.60	6.90	0.00	1.99	0.66	0.28	0.07	0.00	0.00	0.00	0.05	0.00	0.00
59.00	9.60	6.90	0.00	0.99	1.28	0.00	2.78	0.84	1.52	0.00	0.00	0.00	0.00
60.00	9.60	6.90	0.00	2.57	0.00	0.09	0.06	0.87	2.34	0.47	0.00	0.00	1.58
61.00	9.61	6.90	0.00	0.49	1.13	0.48	0.99	1.60	0.48	0.24	1.12	1.00	2.20
62.00	9.60	6.90	0.00	1.34	0.46	0.71	3.69	0.00	2.20	0.00	1.13	0.40	1.30
63.00	9.60	6.90	0.00	3.71	0.51	0.38	1.79	0.54	1.26	0.00	0.45	0.00	2.10
64.00	9.60	6.90	0.00	0.99	1.05	0.12	0.53	0.49	3.78	0.00	0.89	0.00	0.29
65.00	9.60	6.90	0.00	0.00	1.83	0.02	0.41	2.37	0.48	0.00	0.07	0.06	0.44
66.00	9.61	6.89	0.00	1.48	1.19	0.22	0.53	1.75	0.29	0.48	0.16	0.00	1.52
67.00	9.60	6.90	0.00	0.00	0.00	0.24	0.49	1.61	0.00	0.20	0.75	0.07	1.34
68.00	9.60	6.90	0.00	1.53	1.91	0.15	0.38	0.61	0.38	0.01	0.94	0.47	0.21
69.00	9.60	6.90	0.00	0.99	0.19	0.02	0.00	0.00	0.09	0.12	1.11	0.00	0.68
70.00	9.61	6.90	0.00	0.99	0.22	0.58	1.92	2.63	0.28	0.13	0.16	0.00	0.28
71.00	9.60	6.90	0.00	0.00	0.11	0.87	0.86	0.55	0.99	0.00	0.00	0.00	0.21
72.00	9.60	6.90	0.00	0.00	0.45	0.21	0.53	0.00	0.00	0.14	0.05	0.00	0.35
73.00	9.60	6.90	0.00	1.48	0.14	0.21	0.00	0.00	0.19	0.00	0.42	0.00	0.00
74.00	9.60	6.90	0.00	0.49	0.94	0.20	0.51	2.83	0.13	0.00	0.64	0.00	0.04
75.00	9.61	6.90	0.00	2.37	0.66	0.26	0.00	1.74	1.98	0.00	0.14	0.02	0.00
76.00	9.60	6.90	0.00	0.00	0.00	1.83	0.49	2.10	1.39	0.00	0.00	0.07	0.72
77.00	9.60	6.90	0.00	2.84	0.00	0.94	0.00	2.84	1.07	0.00	0.00	0.27	0.28
78.00	9.60	6.90	0.00	6.91	0.00	0.00	5.10	5.71	6.26	5.08	0.00	0.00	3.87
79.00	9.60	6.90	0.00	6.90	0.00	0.00	5.70	5.70	5.11	5.10	0.00	0.00	3.91
80.00	9.61	6.90	0.00	6.90	0.00	0.00	5.70	5.70	5.10	5.10	0.00	0.00	3.90
81.00	9.60	6.90	0.00	6.89	3.62	0.00	5.70	5.70	5.10	5.10	0.00	0.00	3.91
82.00	9.60	6.89	0.00	6.90	6.90	0.00	5.70	5.70	5.10	5.10	0.00	0.00	3.90
83.00	9.60	6.90	0.00	1.04	6.90	0.00	5.69	5.70	5.10	5.10	0.00	0.00	3.90
84.00	9.61	6.90	0.00	0.00	6.90	0.00	5.71	5.70	5.10	5.10	0.00	0.00	3.91
85.00	9.60	6.90	0.00	0.00	6.90	0.00	5.70	5.70	5.10	5.10	0.00	0.00	3.90
86.00	9.60	6.90	0.00	0.00	6.90	0.00	5.70	5.70	5.11	5.10	0.00	0.00	3.90
87.00	9.60	6.90	0.00	0.00	6.90	0.00	5.70	5.70	5.10	5.10	0.00	0.00	3.90
88.00	9.60	6.90	0.00	6.01	6.90	0.00	5.70	5.70	5.09	5.11	0.00	0.00	3.90
89.00	9.61	6.90	0.00	6.90	6.90	0.00	5.70	5.70	5.11	5.09	0.00	0.00	3.90
90.00	9.60	6.90	0.00	6.85	6.87	0.00	5.68	5.68	5.08	5.09	0.00	0.00	3.89
91.00	9.60	6.90	0.00	6.94	6.94	0.00	5.73	5.72	5.12	5.12	0.00	0.00	3.92
92.00	9.60	6.90	0.00	6.91	6.90	0.00	5.69	5.71	5.10	5.10	0.00	0.00	3.90
93.00	9.61	6.90	0.00	6.90	6.90	0.00	5.70	5.69	5.10	5.10	0.00	0.00	3.90
94.00	9.60	6.90	0.00	6.90	6.89	0.00	5.70	5.71	5.10	5.10	0.00	0.00	3.90
95.00	9.60	6.90	0.00	6.89	6.90	0.00	5.70	5.70	5.09	5.10	0.00	0.00	3.91
96.00	9.60	6.90	0.00	6.90	6.90	0.00	5.71	5.70	5.10	5.10	0.00	0.00	3.90
97.00	9.60	6.90	0.00	6.90	6.90	0.00	5.70	5.70	5.10	5.10	0.00	0.00	3.90
98.00	9.61	6.89	0.00	6.90	6.90	0.00	5.70	5.69	5.10	5.10	0.00	0.00	3.90
99.00	9.60	6.90	0.00	6.90	6.90	0.00	5.69	5.71	5.11	5.10	0.00	0.00	3.90
100.00	9.60	6.90	0.00	6.90	6.90	0.00	5.70	5.70	5.09	3.00	0.00	0.00	2.30
101.00	9.60	6.90	0.00	6.90	6.90	0.00	5.71	5.70	5.11	0.00	0.00	0.00	0.00
102.00	9.60	6.90	0.00	6.90	6.90	0.00	5.69	5.70	5.10	0.00	0.00	0.00	0.00
103.00	9.61	6.90	0.00	6.90	6.90	0.00	5.71	5.70	5.10	0.00	0.00	0.00	0.00
104.00	9.60	6.90	0.00	6.90	6.90	0.00	5.69	5.70	5.10	0.00	0.00	0.00	0.00
105.00	9.60	6.90	0.00	6.90	6.90	0.00	5.71	5.70	5.10	0.00	0.00	0.00	0.00
106.00	9.60	6.90	0.00	6.90	6.90	0.00	5.70	5.70	5.10	0.00	0.00	0.00	0.00
107.00	9.61	6.90	0.00	6.89	6.90	0.00	5.70	5.70	5.10	0.00	0.00	0.00	0.00
108.00	9.60	6.90	0.24	4.30	4.84	0.84	2.73	5.69	2.34	0.87	1.72	0.00	0.73
109.00	9.60	6.90	0.00	0.00	1.27	0.89	0.05	1.08	2.78	0.28	0.66	0.00	0.21
110.00	9.60	6.90	0.07	0.00	0.00	0.92	0.19	0.09	0.00	0.00	0.24	0.00	0.00
111.00	9.60	6.90	0.35	1.40	0.04	0.31	0.00	1.53	0.15	0.00	0.78	0.00	0.89
112.00	9.61	6.90	0.61	0.99	0.08	0.00	0.08	0.55	0.48	0.00	0.97	0.00	0.00
113.00	9.60	6.90	0.00	1.30	2.86	0.49	1.50	1.27	1.47	0.00	0.35	0.00	0.08
