Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.266s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
40.00	8.10	7.50	2.19	0.00	0.64	0.02	0.00	0.00	0.00	2.98	0.00	0.00	0.00	0.15	0.00	0.99	0.00
41.00	8.10	7.50	0.18	0.00	0.16	0.00	0.00	0.00	0.07	1.47	0.00	0.00	0.00	0.68	0.00	0.00	0.18
42.00	8.10	7.50	1.83	0.00	0.48	0.00	0.00	0.00	0.05	1.72	0.00	0.00	0.00	0.85	0.00	0.00	0.44
43.00	8.10	7.50	3.18	0.00	0.27	0.00	0.00	0.00	1.39	1.67	0.00	0.00	0.00	2.00	0.00	0.00	0.80
44.00	8.10	7.50	0.68	0.00	0.00	1.81	0.00	0.00	1.28	2.21	0.00	0.00	0.00	0.49	0.00	1.04	0.40
45.00	8.09	7.50	0.00	0.00	0.16	0.00	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.00	0.00	0.89	0.33
46.00	8.10	7.49	0.00	0.00	0.37	0.02	0.00	0.00	0.49	2.26	0.00	0.00	0.00	0.02	0.00	0.00	0.09
47.00	8.10	7.50	0.00	0.00	0.35	0.07	0.00	0.00	0.00	2.33	0.00	0.00	0.00	1.33	0.00	0.49	0.00
48.00	8.10	7.50	0.01	0.00	0.20	0.00	0.00	0.00	0.00	2.83	0.45	0.00	0.00	0.00	0.02	1.45	0.40
49.00	8.10	7.50	0.40	0.00	0.38	0.00	0.00	0.00	0.00	1.80	0.00	0.00	0.00	0.00	0.00	2.97	0.29
50.00	8.10	7.50	0.06	0.00	0.66	0.00	0.00	0.00	0.00	2.13	0.00	0.00	0.00	0.00	0.00	0.06	0.02
51.00	8.09	7.50	1.53	0.00	0.71	0.00	0.00	0.00	1.39	1.77	0.49	0.00	0.00	0.00	0.00	1.21	0.21
52.00	8.10	7.50	0.00	0.00	0.14	0.24	0.00	0.00	1.42	2.04	0.00	0.00	0.00	1.52	0.00	0.00	0.54
