Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.794s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 80.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
31.00	9.89	6.59	6.01	1.15	2.63	1.54	0.00	0.08	0.86	3.47	0.00	2.90	1.86	2.01	3.65	0.00	2.50	0.00	0.59	0.00	0.77	1.07
32.00	9.90	6.61	5.99	6.47	1.30	2.68	0.00	0.00	2.39	4.25	0.98	1.68	2.36	2.32	3.21	0.00	1.90	0.00	1.41	0.15	3.00	1.04
33.00	9.90	6.59	6.01	4.36	1.87	1.41	0.00	0.49	3.69	4.43	0.99	2.37	0.08	0.80	4.42	0.99	2.91	0.00	0.54	0.33	2.86	0.89
34.00	9.89	6.61	5.99	3.73	3.69	2.23	0.00	2.51	0.32	4.79	2.14	2.03	4.88	0.85	4.20	1.75	3.60	0.00	1.79	0.33	2.96	0.91
35.00	9.90	6.59	6.01	1.88	2.27	3.84	0.33	2.71	3.34	0.84	0.37	1.58	2.30	0.62	1.02	0.08	2.13	1.57	0.29	1.81	2.25	0.80
36.00	9.90	6.61	5.99	3.27	3.67	2.76	0.00	4.26	1.31	1.50	0.47	5.50	1.68	0.59	2.54	0.00	0.87	0.07	0.48	0.51	0.92	0.00
37.00	9.89	6.59	6.01	1.00	2.73	1.48	0.00	0.00	1.14	2.63	0.48	2.16	2.54	0.02	2.36	0.00	2.12	0.00	0.80	0.95	0.27	0.21
38.00	9.90	6.61	5.99	1.73	0.00	5.39	0.00	2.64	0.47	4.83	0.66	2.96	2.72	3.57	4.50	0.02	3.38	0.12	1.21	1.18	0.82	0.07
39.00	9.90	6.59	6.01	3.31	3.27	3.93	0.00	2.27	1.97	3.49	0.05	2.77	1.13	0.00	3.83	0.00	2.24	0.42	0.00	0.27	2.17	1.41
40.00	9.90	6.61	5.99	2.33	5.71	3.13	0.00	1.61	4.88	4.10	0.00	1.87	0.45	0.20	4.12	0.71	2.85	0.02	0.99	1.71	3.00	0.00
41.00	9.89	6.59	6.01	0.49	3.39	2.00	0.00	2.51	1.53	4.03	0.94	1.05	2.19	0.08	4.23	0.00	1.83	0.88	0.00	0.01	1.46	0.67
42.00	9.90	6.59	5.99	3.00	3.91	3.66	0.00	2.91	1.85	3.47	2.70	1.44	2.31	2.34	4.18	0.09	1.72	0.49	0.15	1.13	2.99	0.89
43.00	9.90	6.61	6.01	1.21	4.22	3.40	0.00	3.60	0.15	2.01	1.25	1.14	0.00	0.99	2.70	0.00	2.08	0.00	0.49	0.00	1.95	0.99
44.00	9.89	6.59	5.99	3.82	1.30	3.87	0.00	1.13	0.37	4.58	0.29	3.97	0.28	1.44	4.50	0.00	2.80	2.25	0.02	1.22	2.05	0.00
45.00	9.90	6.61	6.01	3.80	1.66	2.85	0.00	4.45	0.00	3.92	0.00	1.93	1.04	3.45	3.67	0.99	2.65	0.00	0.00	1.51	0.73	0.07
46.00	9.90	6.59	5.99	3.60	2.92	3.07	0.00	0.98	0.04	4.80	0.22	4.00	1.60	3.23	3.94	0.00	1.25	0.49	1.21	1.79	1.75	0.82
47.00	9.89	6.61	6.01	4.58	1.58	0.49	0.00	1.08	1.04	4.57	0.77	4.30	1.93	1.12	2.85	0.41	0.59	1.17	0.49	1.01	0.00	0.69
48.00	9.90	6.59	6.01	3.91	5.05	2.78	0.00	2.89	2.64	4.80	1.77	1.42	2.14	1.04	4.96	0.99	3.52	0.41	1.04	0.00	1.05	0.78
49.00	9.90	6.61	5.99	1.15	1.22	2.76	0.00	0.00	0.38	3.06	0.00	2.27	1.85	1.64	2.63	0.49	1.72	0.05	0.12	0.61	1.42	0.67
50.00	9.89	6.59	6.01	0.93	5.50	0.94	0.00	1.67	0.00	4.78	0.02	3.40	2.30	0.69	4.51	0.26	3.17	1.25	0.02	0.20	2.59	1.24
