Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.818s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 80.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
30.00	7.20	6.61	6.30	0.00	0.07	2.25	2.16	0.49	1.74	4.46	2.04	1.68	1.07	4.10	4.47	4.04	1.10	0.04	3.62	0.00	0.15	0.00	0.82
31.00	7.21	6.59	6.30	0.00	1.02	0.86	3.23	0.75	0.57	4.78	1.91	0.49	1.38	2.61	4.18	2.43	3.05	0.19	1.34	1.22	1.44	0.01	0.49
32.00	7.20	6.61	6.30	0.00	0.04	0.93	3.93	0.65	1.22	4.18	1.94	0.11	2.05	1.60	3.12	1.52	3.06	0.18	0.65	0.69	1.91	1.68	0.67
33.00	7.21	6.59	6.30	0.00	1.22	2.74	2.40	0.00	0.00	2.79	2.03	1.00	1.61	2.60	3.33	1.88	2.92	0.49	0.00	1.20	1.72	0.37	0.05
34.00	7.20	6.61	6.30	0.00	1.18	1.94	3.67	0.00	0.80	4.23	1.88	0.02	1.02	3.17	4.50	3.86	3.90	0.25	0.49	0.00	0.75	0.74	0.38
35.00	7.21	6.59	6.30	0.00	0.00	3.77	1.74	0.00	1.57	2.52	2.56	2.32	1.21	4.02	4.50	1.70	3.91	0.04	3.76	0.00	1.07	2.87	1.32
36.00	7.20	6.61	6.30	0.00	0.04	4.15	2.96	0.12	0.49	4.96	0.75	0.27	0.67	4.49	3.44	0.62	3.87	0.12	3.60	0.00	0.00	2.01	1.37
37.00	7.20	6.59	6.30	0.00	0.00	1.66	0.74	0.45	1.70	4.79	1.01	0.40	3.43	1.68	3.26	0.79	2.04	0.07	2.89	0.18	0.00	1.26	0.19
38.00	7.21	6.61	6.30	0.00	0.06	3.85	2.25	1.34	0.52	3.62	0.77	1.04	1.40	0.31	3.05	3.46	2.20	1.22	2.40	0.19	3.00	0.92	1.13
39.00	7.20	6.59	6.30	0.00	1.14	2.21	2.52	0.00	1.39	4.98	2.60	0.82	1.26	2.96	3.57	2.57	1.86	0.27	0.00	1.26	2.05	1.01	1.22
40.00	7.21	6.61	6.30	0.00	0.46	3.60	0.18	0.00	1.77	4.25	2.00	0.78	0.08	1.52	3.47	0.52	3.24	0.05	0.00	0.60	1.99	0.00	1.44
41.00	7.20	6.59	6.30	0.00	0.00	1.72	1.86	0.00	2.81	3.29	2.63	0.46	2.08	2.03	4.49	3.46	3.45	0.11	0.00	1.18	1.47	1.21	0.60
42.00	7.20	6.59	6.30	0.00	0.07	0.99	5.70	0.00	4.96	4.89	2.74	0.11	3.05	4.51	4.50	2.00	3.90	1.22	0.99	0.00	1.33	1.85	1.30
43.00	7.21	6.61	6.30	0.00	0.04	1.68	1.84	0.29	2.00	3.62	2.37	1.26	3.51	2.20	3.51	1.47	2.04	0.48	0.00	0.07	1.00	0.91	0.48
44.00	7.20	6.59	6.30	0.00	0.84	1.31	4.82	1.79	0.28	4.83	3.47	0.65	1.21	1.59	4.50	0.72	3.90	0.08	2.96	0.00	0.49	0.14	2.14
45.00	7.21	6.61	6.30	0.00	0.05	2.86	2.37	0.00	0.00	3.77	0.25	0.32	1.08	1.34	3.30	2.68	0.64	0.00	0.55	0.00	0.00	0.46	1.32
46.00	7.20	6.59	6.30	0.00	0.42	2.36	4.59	0.16	0.15	3.17	0.98	0.09	0.09	1.34	4.43	3.47	3.90	0.95	0.00	0.51	1.50	0.49	1.30
47.00	7.21	6.61	6.30	0.00	1.30	0.65	4.10	0.87	0.73	1.19	2.03	0.01	4.19	2.38	3.74	1.55	3.38	2.28	2.87	0.68	2.25	0.93	0.35
48.00	7.20	6.59	6.30	0.00	2.43	3.31	0.19	0.58	1.70	5.08	1.70	3.37	2.86	3.86	3.42	2.98	2.77	0.00	0.69	0.44	0.99	0.72	0.05
49.00	7.20	6.61	6.30	0.00	0.38	0.49	4.52	0.00	0.67	2.39	0.41	0.80	1.48	0.99	1.77	0.65	1.79	0.89	3.17	1.79	1.95	0.40	0.98
50.00	7.21	6.59	6.30	0.00	0.00	3.36	1.11	0.00	0.74	5.10	2.00	0.49	1.32	0.67	4.50	2.26	3.90	0.07	1.41	0.89	0.71	1.88	0.28
