Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.410s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
65.00	1.99	1.90	2.12	1.32	0.00	2.00	1.99	1.79	1.31	0.00
66.00	2.00	2.00	1.84	0.80	0.73	2.00	2.00	1.92	1.30	0.04
67.00	1.98	1.97	1.86	1.71	0.07	2.00	1.94	1.71	1.67	0.14
68.00	2.03	2.01	2.00	0.00	0.00	2.00	2.00	2.14	0.98	0.00
69.00	1.99	2.00	1.52	0.00	0.00	1.99	2.00	2.00	0.28	0.00
70.00	2.00	2.00	2.17	0.00	0.00	2.00	2.00	2.00	0.31	0.00
71.00	2.00	1.79	1.80	0.00	0.00	2.00	2.00	1.78	0.00	0.00
72.00	1.99	2.18	1.81	0.00	0.15	2.00	1.99	1.47	0.73	0.38
73.00	2.00	1.84	1.48	0.64	0.00	2.00	2.00	1.73	0.98	0.00
74.00	2.00	1.74	1.78	0.33	0.45	2.00	1.92	1.64	1.20	0.21
75.00	1.99	1.79	1.41	1.06	0.00	1.99	2.00	1.73	0.65	0.00
76.00	2.00	1.91	0.20	0.15	0.00	2.00	2.00	1.86	0.00	0.00
77.00	1.50	2.00	1.00	1.12	0.09	2.00	1.55	1.73	0.29	0.02
78.00	2.47	1.79	1.41	0.15	0.01	2.00	1.93	1.74	0.89	0.01
79.00	1.99	1.93	1.75	0.81	0.04	2.00	1.99	1.39	0.11	0.00
80.00	2.03	2.05	1.91	1.30	0.00	2.00	1.53	1.94	1.57	0.28
81.00	1.99	2.00	0.97	0.00	0.00	1.99	2.00	1.93	1.67	0.00
82.00	1.98	2.00	1.45	0.00	0.33	2.00	1.95	1.94	0.84	0.67
83.00	2.03	1.97	0.89	0.52	0.32	2.00	2.00	1.83	1.32	0.26
84.00	2.00	1.81	2.18	0.00	0.31	2.00	1.95	1.80	1.34	0.00
85.00	2.00	1.99	1.47	1.26	0.72	2.00	1.90	1.86	0.59	0.28
86.00	1.45	1.40	0.95	0.93	0.00	2.00	1.35	1.32	0.74	0.49
87.00	1.54	1.37	1.12	0.18	0.06	1.99	1.47	0.95	0.93	0.29
88.00	2.00	2.12	1.32	0.31	0.00	2.00	1.87	1.61	1.07	0.19
89.00	1.90	1.81	0.89	0.72	0.00	2.00	1.93	0.68	0.39	0.00
90.00	2.01	2.01	0.91	0.08	0.00	2.00	1.98	0.98	0.24	0.00
91.00	2.00	1.64	1.53	0.00	0.00	2.00	2.00	1.60	0.47	0.00
92.00	1.98	1.74	0.57	0.00	0.00	2.00	1.97	0.58	0.16	0.31
93.00	2.01	1.95	1.63	0.37	0.00	1.99	2.01	1.88	1.32	0.06
