Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.398s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
55.00	2.05	2.05	0.72	0.00	0.00	0.05	2.00	1.93	2.18	2.00	0.00	0.05
56.00	1.90	1.95	0.31	0.00	0.00	0.00	2.00	2.00	1.88	0.13	0.00	0.00
57.00	1.99	1.99	0.00	0.00	0.00	0.31	1.99	2.00	1.78	0.00	0.00	0.31
58.00	1.94	1.93	0.00	0.00	0.00	0.14	2.00	1.99	1.77	0.49	0.00	0.14
59.00	0.58	0.61	0.00	0.00	0.00	1.26	2.00	1.78	0.33	0.34	0.21	1.26
60.00	1.07	1.53	0.05	0.00	0.00	0.52	2.00	1.48	1.39	0.00	1.28	1.14
61.00	1.79	1.79	0.26	0.00	0.00	0.31	2.00	1.60	1.78	0.00	0.00	0.31
62.00	2.00	1.99	0.00	0.00	0.00	0.00	2.00	2.00	1.99	0.00	0.00	0.00
63.00	1.88	1.99	0.00	0.00	0.00	0.15	1.99	2.00	2.00	0.00	0.00	0.15
64.00	1.90	1.94	0.00	0.00	0.00	0.45	2.00	2.00	1.92	0.00	0.00	0.48
65.00	1.87	1.88	0.00	0.00	0.00	0.00	2.00	2.00	1.93	0.00	0.00	0.00
66.00	2.00	2.00	0.00	0.00	0.00	1.61	2.00	2.00	1.95	0.00	0.00	1.58
67.00	1.97	1.87	0.57	0.00	0.00	0.12	2.00	1.86	1.38	0.00	0.00	0.13
68.00	1.92	1.94	0.18	0.00	0.00	0.00	2.00	1.59	0.20	0.00	0.00	0.00
69.00	1.98	1.88	0.55	0.00	0.00	0.00	1.99	1.87	0.93	0.00	0.00	0.00
70.00	1.99	1.95	0.00	0.00	0.00	0.07	2.00	1.99	1.22	0.00	0.00	0.06
71.00	2.01	2.00	0.00	0.00	0.00	0.91	2.00	2.00	2.00	0.00	1.10	0.91
72.00	1.86	1.85	0.00	0.00	0.00	0.27	2.00	2.00	1.94	0.80	0.32	0.28
73.00	1.88	2.00	1.20	0.00	0.00	0.38	2.00	1.99	1.97	1.00	0.00	0.47
74.00	1.93	1.94	0.42	0.00	0.00	0.00	2.00	1.98	0.48	1.22	0.00	0.13
75.00	1.91	2.06	0.24	0.00	0.00	0.25	1.99	1.97	1.72	0.28	0.00	0.25
