Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.363s)
CreateVariables () DONE !!!
Creating 27 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26
25.00	0.00	0.00	0.00	2.11	2.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.89	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	0.57
26.00	0.00	0.00	0.00	0.91	0.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	0.00	0.00	0.00
27.00	0.00	0.00	0.00	1.19	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00
28.00	0.00	0.00	0.00	1.46	1.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.00
29.00	0.00	0.00	0.00	2.12	2.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.00	0.00	0.00
30.00	0.00	0.00	0.00	0.13	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.00
31.00	0.00	0.00	0.00	1.30	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.01
32.00	0.00	0.00	0.00	1.77	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00
33.00	0.00	0.00	0.00	1.42	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00
34.00	0.00	0.00	0.00	1.78	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.90	0.00	0.00	0.00
35.00	0.00	0.00	0.00	1.81	1.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00
36.00	0.00	0.00	0.00	1.41	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.07	0.00	0.00	0.11
37.00	0.00	0.00	0.00	0.84	1.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.53	0.00	0.00	0.00
