75.00	196.43	0.00	5.400000
25.00	17.86	0.00	4.800000
75.00	160.71	0.00	4.800000
175.00	160.71	0.00	4.800000
125.00	17.86	0.00	4.500000
125.00	196.43	0.00	4.500000
175.00	125.00	0.00	4.500000
175.00	196.43	0.00	4.500000
25.00	160.71	0.00	4.200000
25.00	89.29	0.00	3.900000
75.00	17.86	0.00	3.900000
25.00	53.57	0.00	3.600000
75.00	89.29	0.00	3.600000
25.00	125.00	0.00	3.300000
25.00	196.43	0.00	3.000000
75.00	125.00	0.00	3.000000
125.00	53.57	0.00	3.000000
125.00	160.71	0.00	3.000000
175.00	53.57	0.00	3.000000
175.00	89.29	0.00	3.000000
125.00	125.00	0.00	2.700000
125.00	89.29	0.00	2.100000
75.00	53.57	0.00	1.800000
175.00	17.86	0.00	1.800000
