Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.468s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	1.98	1.99	0.00
3.00	2.00	2.00	1.99
4.00	2.00	2.00	2.00
5.00	2.00	2.00	2.00
6.00	2.00	2.00	2.00
7.00	1.99	2.00	1.99
8.00	2.00	1.99	2.00
9.00	2.00	2.00	2.00
10.00	2.00	2.00	2.00
11.00	2.00	2.00	2.00
12.00	2.00	2.00	2.00
13.00	2.00	2.00	1.99
14.00	1.99	1.99	2.00
15.00	2.00	2.00	2.00
16.00	2.00	2.00	2.00
17.00	2.00	2.00	2.00
18.00	2.00	2.00	2.00
19.00	2.00	2.00	1.99
20.00	1.99	1.99	2.00
21.00	2.00	2.00	2.00
22.00	2.00	2.00	2.00
23.00	2.00	2.00	2.00
24.00	2.00	2.00	2.00
25.00	2.00	2.00	1.99
26.00	1.99	1.99	2.00
27.00	2.00	2.00	2.00
28.00	2.00	2.00	2.00
29.00	2.00	2.00	2.00
30.00	2.00	2.00	2.00
31.00	2.00	2.00	2.00
32.00	1.99	1.99	1.99
33.00	2.00	2.00	2.00
34.00	2.00	2.00	2.00
35.00	2.00	2.00	2.00
36.00	2.00	2.00	2.00
37.00	2.00	2.00	2.00
38.00	1.99	1.99	1.99
39.00	2.00	2.00	2.00
40.00	2.00	2.00	2.00
41.00	2.00	2.00	2.00
42.00	2.00	2.00	2.00
43.00	2.00	2.00	2.00
44.00	1.99	1.99	1.99
45.00	2.00	2.00	2.00
46.00	2.00	2.00	2.00
47.00	2.00	2.00	2.00
48.00	2.00	2.00	2.00
49.00	2.00	2.00	2.00
50.00	1.99	2.00	1.99
51.00	2.00	1.99	2.00
52.00	2.00	2.00	2.00
53.00	2.00	2.00	2.00
54.00	2.00	2.00	2.00
55.00	2.00	2.00	2.00
56.00	2.00	2.00	1.99
57.00	1.99	1.99	2.00
58.00	2.00	2.00	2.00
59.00	2.00	2.00	2.00
60.00	2.00	2.00	2.00
61.00	2.00	2.00	2.00
62.00	2.00	2.00	1.99
63.00	1.99	1.99	2.00
64.00	2.00	2.00	2.00
65.00	2.00	2.00	2.00
66.00	2.00	2.00	2.00
67.00	2.00	2.00	2.00
68.00	2.00	2.00	1.99
69.00	1.99	1.99	2.00
70.00	2.00	2.00	2.00
71.00	2.00	2.00	2.00
72.00	2.00	2.00	2.00
73.00	2.00	2.00	2.00
74.00	2.00	2.00	1.99
75.00	1.99	1.99	2.00
76.00	2.00	2.00	2.00
77.00	2.00	2.00	2.00
78.00	2.00	2.00	2.00
79.00	2.00	2.00	2.00
80.00	2.00	2.00	1.99
81.00	1.99	1.99	2.00
82.00	2.00	2.00	2.00
83.00	2.00	2.00	2.00
84.00	2.00	2.00	2.00
85.00	2.00	2.00	2.00
86.00	2.00	2.00	2.00
87.00	1.99	1.99	1.99
88.00	2.00	2.00	2.00
89.00	1.99	2.00	2.00
90.00	2.00	2.00	2.00
91.00	2.00	2.00	2.00
92.00	2.00	2.00	2.00
93.00	1.99	1.99	1.99
94.00	2.00	2.00	2.00
95.00	2.00	2.00	2.00
96.00	2.00	2.00	2.00
97.00	2.00	2.00	2.00
98.00	2.00	2.00	2.00
99.00	1.99	2.00	1.99
100.00	2.00	1.99	2.00
101.00	2.00	2.00	2.00
102.00	2.00	2.00	2.00
103.00	2.00	2.00	2.00
104.00	2.00	2.00	2.00
105.00	2.00	2.00	1.99
106.00	1.99	1.99	2.00
107.00	2.00	2.00	2.00
108.00	2.00	2.00	2.00
109.00	2.00	2.00	2.00
110.00	2.00	2.00	2.00
111.00	2.00	2.00	1.99
112.00	1.99	1.99	2.00
113.00	2.00	2.00	2.00
114.00	2.00	2.00	2.00
115.00	0.21	2.00	2.00
116.00	0.00	2.00	2.00
117.00	0.00	2.00	2.00
118.00	0.00	1.99	1.99
119.00	0.00	2.00	2.00
120.00	0.00	2.00	2.00
121.00	0.00	2.00	2.00
122.00	0.00	2.00	2.00
123.00	0.00	2.00	2.00
124.00	0.00	1.99	1.99
125.00	0.00	2.00	2.00
126.00	0.00	2.00	2.00
127.00	0.00	2.00	2.00
128.00	0.00	2.00	2.00
129.00	0.00	2.00	2.00
130.00	0.00	1.99	1.99
131.00	0.00	2.00	2.00
132.00	0.00	2.00	2.00
133.00	0.00	2.00	2.00
134.00	0.00	2.00	2.00
135.00	0.00	2.00	2.00
136.00	0.00	1.99	1.99
137.00	0.00	2.00	2.00
138.00	0.00	2.00	2.00
139.00	0.00	2.00	2.00
140.00	0.00	2.00	2.00
141.00	0.00	2.00	2.00
142.00	0.00	2.00	1.99
143.00	0.00	1.99	2.00
144.00	0.00	2.00	2.00
145.00	0.00	2.00	2.00
146.00	0.00	2.00	2.00
147.00	0.00	2.00	2.00
148.00	0.00	2.00	2.00
149.00	0.00	1.99	1.99
150.00	0.00	2.00	2.00
151.00	0.00	2.00	2.00
152.00	0.00	2.00	2.00
153.00	0.00	2.00	2.00
154.00	0.00	2.00	2.00
155.00	0.00	1.99	1.99
156.00	0.00	2.00	2.00
157.00	0.00	2.00	2.00
158.00	0.00	2.00	2.00
159.00	0.00	2.00	2.00
160.00	0.00	2.00	2.00
161.00	0.00	1.99	1.99
162.00	0.00	2.00	2.00
163.00	0.00	2.00	2.00
164.00	0.00	2.00	2.00
165.00	0.00	2.00	2.00
166.00	0.00	2.00	2.00
167.00	0.00	1.99	1.99
168.00	0.00	2.00	2.00
169.00	0.00	2.00	2.00
170.00	0.00	2.00	2.00
171.00	0.00	2.00	2.00
172.00	0.00	2.00	2.00
173.00	0.00	1.99	1.99
174.00	0.00	2.00	2.00
175.00	0.00	2.00	2.00
176.00	0.00	2.00	2.00
177.00	0.00	2.00	2.00
178.00	0.00	2.00	2.00
179.00	0.00	1.99	1.99
10.1.1.1	1.29	185.36
10.2.1.2	2.04	7.98
10.1.1.3	2.03	618.76
