Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.289s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
42.00	2.00	1.64	1.52	0.97	0.33	0.00	0.00	0.00	2.00	1.95	1.46	1.25	0.00	0.00	0.00	0.00
43.00	0.71	1.67	1.19	1.01	0.00	0.00	0.00	0.00	2.00	1.67	1.66	0.24	0.00	0.00	0.00	0.00
44.00	0.00	2.00	0.59	0.00	0.00	0.00	0.00	0.00	1.99	1.97	1.90	0.75	0.00	0.00	0.00	0.00
45.00	0.00	1.92	2.13	1.14	0.00	0.00	0.00	0.59	2.00	0.84	1.52	0.22	0.00	0.00	0.00	0.04
46.00	0.00	1.95	1.83	0.00	0.00	0.00	0.58	0.67	2.00	0.00	2.08	0.00	0.00	0.00	0.00	0.59
47.00	0.00	1.93	1.38	0.00	0.06	0.00	0.27	0.12	2.00	0.00	1.73	0.13	0.67	0.00	0.00	0.09
48.00	0.00	1.92	1.70	0.91	0.00	0.00	0.60	0.49	2.00	0.00	2.00	0.81	1.01	0.00	0.00	0.52
49.00	0.00	1.88	1.39	1.37	0.34	0.00	0.44	0.13	2.00	1.04	1.58	0.52	0.49	0.00	0.00	0.47
50.00	0.00	2.01	1.46	0.00	0.00	0.00	0.00	0.00	2.00	0.98	0.71	0.00	0.00	0.00	0.00	0.00
51.00	0.00	0.68	0.79	0.61	0.00	0.00	0.00	0.00	1.99	0.19	1.15	0.00	0.00	0.00	0.00	0.00
52.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
53.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
54.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
55.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
56.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
57.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
58.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
59.00	1.31	0.00	1.32	1.30	0.00	0.00	0.00	0.00	2.00	0.00	1.25	1.21	1.25	0.00	0.00	0.00
60.00	2.00	0.00	1.87	1.87	0.00	0.00	0.00	0.00	2.00	0.00	1.88	1.88	1.87	0.00	0.00	0.00
61.00	1.85	0.00	1.41	1.39	0.00	0.00	0.00	0.00	2.00	0.00	0.99	0.84	0.94	0.00	0.00	0.00
62.00	1.01	0.00	1.54	1.33	0.00	0.00	0.00	0.00	2.00	0.00	1.54	2.32	0.31	0.00	0.00	0.00
63.00	2.33	0.00	1.84	1.65	0.00	0.00	0.00	0.00	1.99	0.00	1.70	1.72	0.64	0.00	0.00	0.12
64.00	2.00	0.00	1.70	0.80	0.00	0.00	0.00	0.00	2.00	0.00	1.75	1.25	2.01	0.00	0.00	0.22
65.00	2.00	0.00	0.91	1.08	0.00	0.00	0.00	0.00	2.00	0.00	2.01	0.89	0.42	0.00	0.00	0.00
66.00	1.99	0.00	1.50	0.55	0.00	0.00	0.00	0.00	2.00	0.00	1.45	0.06	0.00	0.00	0.00	0.01
67.00	2.01	0.00	1.90	1.78	0.00	0.00	0.00	0.00	2.00	0.00	2.01	1.70	0.00	0.00	0.00	0.00
68.00	1.99	0.00	1.99	1.42	0.00	0.00	0.00	0.00	2.00	0.00	1.99	1.91	1.67	0.00	0.00	0.53
69.00	0.46	0.00	0.32	0.34	0.00	0.00	0.00	0.00	1.99	0.00	0.42	0.02	0.29	0.00	0.00	0.05
70.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
71.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
72.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
73.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
75.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
76.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
77.00	1.12	1.04	0.95	0.00	0.45	0.00	0.00	0.00	2.00	1.48	0.58	0.26	0.49	0.00	0.00	0.25
78.00	1.92	1.79	1.44	0.00	0.51	0.00	0.00	0.00	2.00	2.00	0.57	0.13	0.41	0.00	0.00	0.00
79.00	1.98	2.05	2.01	0.00	0.01	0.00	0.00	0.00	2.00	1.92	1.91	1.59	0.27	0.00	0.00	0.31
80.00	1.99	1.93	1.90	0.00	0.46	0.00	0.00	0.00	2.00	1.87	1.38	1.21	0.12	0.00	0.00	0.18
81.00	2.00	1.60	1.31	0.06	0.35	0.00	0.00	0.00	1.99	2.00	0.91	0.58	0.00	0.00	0.00	0.00
82.00	2.00	1.95	1.83	0.79	0.31	0.00	0.00	0.00	2.00	1.86	1.18	1.01	0.62	0.00	0.00	0.00
83.00	1.97	1.83	1.61	0.21	0.14	0.00	0.00	0.00	2.00	2.00	0.86	0.22	0.26	0.00	0.00	0.13
84.00	1.61	1.70	1.55	0.54	0.00	0.00	0.00	0.00	2.00	1.93	2.11	0.66	0.00	0.00	0.00	0.00
85.00	2.00	2.00	0.81	0.97	0.00	0.00	0.00	0.00	2.00	1.99	1.80	0.80	0.00	0.00	0.00	0.00
86.00	2.00	1.99	0.00	2.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
87.00	0.95	0.98	0.00	1.05	0.00	0.00	0.00	0.00	1.99	1.00	1.00	0.00	0.00	0.00	0.00	0.00
88.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
89.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
90.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
91.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
92.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
93.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
