Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.360s)
CreateVariables () DONE !!!
Creating 27 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.60	0.00	0.00	0.00	0.00
6.00	0.00	0.00	0.00	0.00	0.27	0.24	0.00	0.02	0.00	0.00	0.00	0.00	0.34	2.00	0.00	0.00	0.08	0.00	0.00	0.20	0.00	0.19	0.16	0.27	0.00	0.00	0.00
7.00	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.02	0.00	0.13	0.06	0.00	0.00	0.79	0.00	0.00	0.00	0.00
8.00	0.00	0.00	0.00	0.00	0.27	0.24	0.29	0.54	0.00	0.00	0.00	0.00	1.31	1.99	0.00	0.00	0.57	0.00	0.04	0.01	0.00	0.01	1.46	2.07	0.00	0.42	0.00
9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.11	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	1.04	1.30	0.00	0.13	0.00
10.00	0.00	0.00	0.00	0.00	1.00	0.01	0.47	0.19	0.08	0.00	0.00	0.00	0.98	2.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.18	0.00	0.33	0.00
11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.15	2.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.24	0.18	0.00	0.00	0.00	0.00
12.00	0.00	0.00	0.00	0.00	0.00	0.61	0.29	0.05	0.00	0.00	0.00	0.00	0.15	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.42	0.26	0.00	0.00	0.00
13.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.34	2.00	0.00	0.00	0.00	0.00	0.37	0.15	0.00	0.65	1.01	0.00	0.00	0.00	0.00
14.00	0.00	0.00	0.00	0.00	0.86	0.00	0.00	0.26	0.00	0.00	0.00	0.00	1.48	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.00
15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.31	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00
